task,rmse,relative,runs
mAdd,217.1721820390386,1.69218467640484,1
mAdd2,0.2863677567931601,0.5074814431451539,1
mBackground,1.017995357668717,1.109534249545496,1
mBgModel,1020.208192174085,5.982464368405889,1
mConcatFit,192.3122753017664,5.270941748831514,1
mDiffFit,0.4890018561634728,0.6583485197652055,1
mImgtbl,5.241103975792041,2.172016738411348,1
mImgtbl2,0.3531464601578351,0.6661802242531445,1
mJPEG,0.5245482555656008,0.5277691022678458,1
mProjectPP,2.666598611500661,0.5422267035326204,1
mShrink,36.68394511241698,4.765630120614545,1
