task,rmse,absDivMean,relative,runs
mAdd,39.253478028295156,0.13436348059306966,0.20093821707780674,5
mAdd2,0.289898413407388,0.3881057445625755,0.42265904463817644,5
mBackground,0.9020736103138003,0.49557770875601725,0.846777876067085,5
mBgModel,369.6563491029791,0.34198433138149886,0.7245619366501881,5
mConcatFit,61.11617621595963,0.3033475028260434,0.32604327403767264,5
mDiffFit,0.37517903762640503,0.3525439381015422,0.44802503828580376,5
mImgtbl,4.594808212369406,0.588697697838009,1.3234301363645533,5
mImgtbl2,0.5382245185581808,0.8668833713108501,0.8296703931639631,5
mJPEG,0.33991894463587047,0.2781337398792305,0.30257233239013925,5
mProjectPP,1.5295348812201013,0.23365648167561673,0.24451738376079427,5
mShrink,23.798588820110236,0.41502227629709587,0.8255258392234699,5
