task,rmse,absDivMean,relative,runs
mAdd,35.8231611892373,0.11298929354085283,0.1660419127130203,5
mAdd2,0.4335215956904214,0.5507017565228043,0.4666559906248874,5
mBackground,0.9064157710921004,0.49312292552476766,0.8418895457350585,5
mBgModel,304.06289719176107,0.3322526771310862,0.45236974239285443,5
mConcatFit,48.41930649222115,0.32717202085405517,0.3930136372733791,5
mDiffFit,0.37913567907282203,0.3529555450689232,0.4481154599493176,5
mImgtbl,4.551136299599632,0.6053216619337642,1.4744355239934221,5
mImgtbl2,0.5590017126453951,0.7502568925571702,0.655162850520264,5
mJPEG,0.5522330103783061,0.38186822899398704,0.4063753685175954,5
mProjectPP,1.5407579741485282,0.23495866851807815,0.24684985407337362,5
mShrink,24.723865065281938,0.41285316366112923,0.9827233344508866,5
