task,rmse,absDivMean,relative,runs
mAdd,36.424650645196735,0.12007437109155403,0.2119867291037779,5
mAdd2,0.3675512051674704,0.4601770247515121,0.42888415520708334,5
mBackground,0.9078787800182205,0.49694835919690694,0.842872606759111,5
mBgModel,275.5875826407334,0.3849954983466045,0.4675597404929809,5
mConcatFit,83.17540213981547,0.36007004299258716,0.3749748870135246,5
mDiffFit,0.3758668339222243,0.3529742168230313,0.4498879294426552,5
mImgtbl,4.638412617166098,0.6242562439242839,1.369814525623687,5
mImgtbl2,0.5173397125928216,0.8299187620906437,0.6807686050762289,5
mJPEG,0.49204994408129626,0.3236710627699394,0.30768254757763414,5
mProjectPP,1.5332629822255843,0.23346518891368911,0.24541035648338844,5
mShrink,23.927674487943968,0.43719492851909303,1.132137451517116,5
