task,rmse,absDivMean,relative,runs
mAdd,38.568532675530534,0.11210839514643736,0.1966831939150508,5
mAdd2,0.42365444757210086,0.4941517417541837,0.44200776402739866,5
mBackground,0.9057534522881585,0.49449399870966493,0.8403852127147354,5
mBgModel,372.10439257142815,0.3733247416952664,0.43304391844265683,5
mConcatFit,63.124503042096265,0.28875652990224976,0.3132793511691048,5
mDiffFit,0.37737790238511487,0.35258297779043896,0.4483312625427091,5
mImgtbl,4.430827692142773,0.583588067588089,1.5696624340046421,5
mImgtbl2,0.7676755794081126,1.0172060309377078,0.8141112644755337,5
mJPEG,0.537851192156635,0.4120545727981022,0.43743320088801874,5
mProjectPP,1.5257059165684015,0.23297190455482902,0.24468245205771702,5
mShrink,22.397200339582263,0.41312238594251394,0.9270588007639766,5
