task,rmse,absDivMean,relative,runs
mAdd,38.196160369547,0.11824831557175405,0.21471025277021996,5
mAdd2,0.36938862476659406,0.4107933921152889,0.38674413819874254,5
mBackground,0.8995070262910918,0.49196024684137774,0.8353944430811596,5
mBgModel,403.45925553082134,0.311686441681406,0.3942737011537386,5
mConcatFit,82.93171868186005,0.32118153328599863,0.36048140465297196,5
mDiffFit,0.3761854184449323,0.35308707838949804,0.449959444517428,5
mImgtbl,4.800078544929519,0.608594466393315,1.4717815435268307,5
mImgtbl2,0.6676422750309924,0.7557515315791135,0.6534911039148745,5
mJPEG,0.42307732759319105,0.3056233312324649,0.3218751191861827,5
mProjectPP,1.5445555235045623,0.23524806802439638,0.24686775891365148,5
mShrink,24.22044874856723,0.4201819586418628,0.996219867824436,5
