task,rmse,absDivMean,relative,runs
mAdd,238.08543294457272,0.7587127298553424,1.3039601474825555,5
mAdd2,0.2504978526627213,0.5095893969502773,0.6445134626592758,5
mBackground,1.1923599372342477,0.7051676938242203,1.3547281529568749,5
mBgModel,598.4912877825415,0.9551582182017603,0.9457396635206947,5
mConcatFit,163.01222391321537,0.7191044665176751,0.6475410678764909,5
mDiffFit,0.5541212418759551,0.6784428798306793,0.9022370083719087,5
mImgtbl,5.336185713541426,0.7693050901854402,1.6353448010324372,5
mImgtbl2,0.6261344748893238,0.6861149352307054,0.7756436498530036,5
mJPEG,0.49683724879749,0.5057693509499164,0.5179063972548084,5
mProjectPP,2.802532204746221,0.5916719248256378,0.5994516544413134,5
mShrink,33.20971506366425,0.8542021810745117,2.742728021696773,5
