task,rmse,absDivMean,relative,runs
mAdd,225.80776529452334,0.7923526322757029,1.3609926765479265,5
mAdd2,0.3403495517547447,0.560497950088443,0.6233957269681966,5
mBackground,1.1856818448163218,0.7065142710423112,1.360182759559748,5
mBgModel,986.1845891075058,0.7254401898002769,0.7539998529229928,5
mConcatFit,171.8039591640213,0.673474479085522,0.5992993315923739,5
mDiffFit,0.5538929795475324,0.6777360346395672,0.9004792892032814,5
mImgtbl,5.659362015886268,0.7787253706077352,1.515799444767837,5
mImgtbl2,0.22404835222131908,0.7837121144240348,1.0524297191494234,5
mJPEG,0.5694697666030819,0.4994685102909102,0.5223686622197099,5
mProjectPP,2.7986542613190655,0.5919193019788375,0.60004713105164,5
mShrink,37.915481877116704,0.844954025780338,2.7370975277144063,5
