task,rmse,absDivMean,relative,runs
mAdd,36.626884680689585,0.12331648641977966,0.23593825593277523,5
mAdd2,0.38480431945431437,0.4149675419569824,0.344402494048344,5
mBackground,0.9115405826414843,0.4948991045976924,0.842189946519564,5
mBgModel,362.46616996565433,0.36558640347300847,0.7730102055676429,5
mConcatFit,88.64284437415175,0.30579062017166236,0.35599669944522655,5
mDiffFit,0.373010953657554,0.3520775429761759,0.4487359068892153,5
mImgtbl,4.9464862943088805,0.6026179587433169,1.3263827578659693,5
mImgtbl2,0.5448464176304728,0.5689951561776732,0.5379867266380975,5
mJPEG,0.35614744124910136,0.2582495905822544,0.2490480635538527,5
mProjectPP,1.5426119631205029,0.2349397880777869,0.24551411359407718,5
mShrink,25.1746913576931,0.42179766648149003,1.0700867940943195,5
