task,rmse,absDivMean,relative,runs
mAdd,36.85169428019573,0.11906939480497866,0.22701758611384076,5
mAdd2,0.3268095478646247,0.3807847525328157,0.34435424855625774,5
mBackground,0.8997603705441743,0.4951094370053788,0.8457672282431907,5
mBgModel,522.3536046378298,0.3514602245238688,0.4394841505103619,5
mConcatFit,57.22971883072571,0.32485060525251896,0.3686159516822787,5
mDiffFit,0.38382662447977284,0.3656601962569868,0.47019385405441894,5
mImgtbl,4.9423817486546655,0.6300778881203228,1.546004955673709,5
mImgtbl2,0.5461921618214135,0.7582384764542449,0.5889918560067084,5
mJPEG,0.5125793020658144,0.32324150944978636,0.32153682681230206,5
mProjectPP,1.544473092821279,0.23718524118865347,0.24815915365937805,5
mShrink,20.73168871670074,0.3765616241071118,0.6819523230268651,5
