task,rmse,absDivMean,relative,runs
mAdd,151.83658672526778,0.6409836476225987,5.232139439175692,5
mAdd2,0.41042728372224013,0.5066216928257045,0.4907358728163892,5
mBackground,0.9977728856035455,0.5888357188616089,1.09586887536934,5
mBgModel,788.173049629371,1.049551920623149,6.685019708909053,5
mConcatFit,161.591199203567,0.9243706146917336,7.402513558067199,5
mDiffFit,0.4188501935997911,0.4402156878809073,0.5754256030343485,5
mImgtbl,4.979607133931269,0.7786063351014816,2.63355335612036,5
mImgtbl2,0.3361887099331439,0.727103825428932,0.9045639471195027,5
mJPEG,0.5864386458607831,0.4788590934276954,0.4945050075706824,5
mProjectPP,1.8018183094838136,0.40272872411372607,0.4614665118900757,5
mShrink,33.220011011848364,0.733996807435158,4.8818946433944745,5
