task,rmse,absDivMean,relative,runs
mAdd,150.19178582899062,0.5353014701149533,4.4718139780934525,5
mAdd2,0.3017530272162004,0.4582198641931258,0.5002516460055173,5
mBackground,1.015543035617864,0.600056003726943,1.130559641837485,5
mBgModel,781.3678358731283,0.8800374920834152,7.201538235780103,5
mConcatFit,163.04027231150866,1.0061392393238182,6.331026733390383,5
mDiffFit,0.49832581572256285,0.5547805507744384,0.7156450226749685,5
mImgtbl,4.948741150090983,0.7171170260526338,2.190475185836712,5
mImgtbl2,0.1872652243445783,0.5934604919061199,0.7409830477093055,5
mJPEG,0.4806946441813908,0.4650088632354213,0.4914923029355428,5
mProjectPP,2.57957021158763,0.5652597696328142,0.5781675509794189,5
mShrink,31.31158027054307,0.8057857351260429,4.687985043204608,5
