task,rmse,absDivMean,relative,runs
mAdd,143.85656684216988,0.5282336110853317,6.7339768219511,5
mAdd2,0.28958151935859927,0.4655338487695838,0.5492847858183316,5
mBackground,0.9978605391717688,0.603636115343055,1.061648051487984,5
mBgModel,1085.3860396512487,0.8910448904991373,5.813132567640484,5
mConcatFit,191.57929851712208,0.8485221046178731,7.046099380958248,5
mDiffFit,0.4792251512142408,0.5294226719437441,0.6645282490711203,5
mImgtbl,5.198947227285609,0.770134179254995,2.118909498881833,5
mImgtbl2,0.37024466217727026,0.7535972663102338,0.8877276894929998,5
mJPEG,0.6101899326766003,0.4630945176498294,0.4748566022427882,5
mProjectPP,2.574027423385282,0.557260886318278,0.5817679173904652,5
mShrink,31.303166305183215,0.6923133899658523,4.066152868589349,5
