task,rmse,absDivMean,relative,runs
mAdd,164.52585264591247,0.5780254509960989,4.071527402048874,5
mAdd2,0.4012438571180838,0.5043192755505336,0.4961632762349241,5
mBackground,1.03115812828364,0.616309609012547,1.1451195448633857,5
mBgModel,1175.740252256764,0.9777231121691896,4.670512664739636,5
mConcatFit,183.74375935429447,0.7248954519067663,3.4559023597830105,5
mDiffFit,0.49988356032930364,0.5649980879667059,0.7308323362990864,5
mImgtbl,5.1470398338944925,0.7809521054267267,2.240555618499014,5
mImgtbl2,0.26592579068816535,0.9520045104844572,1.225841627257895,5
mJPEG,0.6508523627015295,0.5350054764692096,0.586481213694751,5
mProjectPP,2.7063613452411976,0.5649989650227872,0.5675225265544959,5
mShrink,35.515087179581556,0.7854717776672656,4.501609408138867,5
