task,rmse,absDivMean,relative,runs
mAdd,154.53459098943569,0.6148382551816811,3.867033690067543,5
mAdd2,0.3146051412607344,0.5249798866390035,0.5454211852547852,5
mBackground,1.0399100225510511,0.616889125552529,1.159599081110738,5
mBgModel,894.283492262118,1.052567998364178,5.897188960173465,5
mConcatFit,226.5252696857141,0.7096068743290401,3.4126945246205693,5
mDiffFit,0.5053237834778692,0.5707975109173404,0.7378350369308522,5
mImgtbl,5.144549028647364,0.7893440920218295,2.3133452659022615,5
mImgtbl2,0.21827261331234543,0.8179322196316147,1.0399104306491531,5
mJPEG,0.560594328920337,0.5314458179261997,0.5638547996472876,5
mProjectPP,2.7286961556611726,0.5655538780652802,0.5694429841838157,5
mShrink,30.550030136508315,0.7422211600030851,4.121032134782933,5
