task,rmse,absDivMean,relative,runs
mAdd,144.5908945545697,0.535520728835928,4.254052455380391,5
mAdd2,0.34018496161055467,0.4955827674174266,0.5317826413497357,5
mBackground,1.0573949285613902,0.6325664946800412,1.1589227938994948,5
mBgModel,901.5064609528275,0.8975674145379793,5.026104839474491,5
mConcatFit,161.79402369675785,0.9422389466864589,6.708128033888313,5
mDiffFit,0.4808830839343313,0.5350736076359153,0.6872944269812133,5
mImgtbl,4.6944897601368,0.7569386950631195,2.066001983220051,5
mImgtbl2,0.2541538130065696,0.8275246517459376,1.0482653651762879,5
mJPEG,0.5435973946222393,0.49973664516667055,0.5507387136284014,5
mProjectPP,2.569877140841321,0.5570968128236433,0.5833832614139144,5
mShrink,31.590324305824545,0.7429309564603037,4.728925610207766,5
