task,rmse,absDivMean,relative,runs
mAdd,229.9257116578844,0.7390424033606653,2.5120293074714937,5
mAdd2,0.26417967807923526,0.4810473197888954,0.5896962736190746,5
mBackground,1.1977221317593423,0.7082372885059769,1.3682568505384458,5
mBgModel,1145.9643877762883,0.8293192825638143,1.5426271962151452,5
mConcatFit,171.15369326138807,0.7571758209333044,1.8603027266009164,5
mDiffFit,0.5526991465138482,0.6783581356343802,0.9092495093508564,5
mImgtbl,5.196426796964236,0.8465701826012273,2.248388854491794,5
mImgtbl2,0.33519205271504804,0.6307885741293806,0.7960983339445626,5
mJPEG,0.47710821863182373,0.471581751415315,0.5068162075333402,5
mProjectPP,2.834569978192066,0.5915121033023947,0.5973950656069624,5
mShrink,37.42779020106748,0.8447828023900262,3.243938406939216,5
