task,rmse,absDivMean,relative,runs
mAdd,185.59572839968084,0.6989573258282443,1.6979350712150474,5
mAdd2,0.43015872909571773,0.5734436886110512,0.5978352735878694,5
mBackground,1.1931749844343331,0.7138750928207896,1.3969252137957953,5
mBgModel,1376.0760658530173,0.837467601955032,2.74457057104771,5
mConcatFit,181.09310682455697,0.7273413857844775,1.7123278592385613,5
mDiffFit,0.5534902168896382,0.6799494368555342,0.91481721767306,5
mImgtbl,5.045912025257439,0.8585499295996927,2.477676295863857,5
mImgtbl2,0.46155400273412495,0.7039903137089096,0.8692087601722296,5
mJPEG,0.5678198290528709,0.48986949246383693,0.5108428604787988,5
mProjectPP,2.807740049557574,0.5899971629659766,0.5984558012791672,5
mShrink,41.08733068474161,0.8616515187502118,3.2177229328702714,5
