task,rmse,absDivMean,relative,runs
mAdd,141.35283314763933,0.5093379461945067,6.210796626465897,5
mAdd2,0.38623433119960027,0.5609039117186112,0.6078161639881626,5
mBackground,1.0048435925922896,0.6031393483854324,1.0573531468020048,5
mBgModel,573.0545877144881,1.403892586138429,7.139051703083462,5
mConcatFit,182.62816225946364,0.7950780823179218,4.664012849524157,5
mDiffFit,0.48614278054192994,0.535092587977981,0.6838616679516281,5
mImgtbl,4.977282813388493,0.7553844115413224,2.041658886139653,5
mImgtbl2,0.2845296264989253,0.5141217180357194,0.5810711110754148,5
mJPEG,0.5960435171706309,0.5400060600007682,0.6244011547661896,5
mProjectPP,2.5805647153276707,0.5571919070810439,0.5818716381390948,5
mShrink,28.993128336848464,0.7117783199193699,3.8833359831381906,5
