task,rmse,absDivMean,relative,runs
mAdd,217.1721820390386,0.7419480817742989,1.692184676404848,1
mAdd2,0.3279577057097008,0.4733299986110717,0.522555743847631,1
mBackground,1.118901413217825,0.6817963574914864,1.286098195831127,1
mBgModel,771.285409668072,0.7155789901502784,7.661413825419242,1
mConcatFit,146.8792061208483,0.6345977562822562,7.066987901767264,1
mDiffFit,0.5064571072474007,0.5708441970015701,0.739266338258045,1
mImgtbl,5.241102765466037,0.8229491095098449,2.172019202707852,1
mImgtbl2,0.4035608840867541,0.6335554173022568,0.8256483433462928,1
mJPEG,0.544284858248515,0.455998242389806,0.4766267438376467,1
mProjectPP,2.199975852347508,0.5637863705924333,0.6206465295122904,1
mShrink,36.78186333560692,0.8719348878425522,4.460004809751853,1
