task,rmse,absDivMean,relative,runs
mAdd,217.1721820390385,0.7419480817742936,1.692184676404816,1
mAdd2,0.29536102827703,0.458780739641916,0.5227160928090882,1
mBackground,1.100161759216727,0.6635478534696575,1.266107577064358,1
mBgModel,992.1271407365292,0.8473847078257036,6.276582554761238,1
mConcatFit,187.482746189761,0.7517989360887163,5.61162669510201,1
mDiffFit,0.5039201789963201,0.5760282408426423,0.7487981903033278,1
mImgtbl,5.241103450165467,0.8229490315993708,2.172016368181466,1
mImgtbl2,0.3765323618968614,0.5737707110147814,0.7119555786495751,1
mJPEG,0.5407031623132883,0.4765830081564997,0.5208416367544473,1
mProjectPP,2.693547072290122,0.5614195496755388,0.5617833499039301,1
mShrink,36.78186333561131,0.8719348878424591,4.460004809734585,1
