task,rmse,absDivMean,relative,runs
mAdd,217.1721820390386,0.7419480817742974,1.69218467640484,1
mAdd2,0.2863677567931601,0.4465146736046803,0.5074814431451539,1
mBackground,1.017995357668717,0.6146871861704052,1.109534249545496,1
mBgModel,1020.208192174085,0.8707996619133717,5.982464368405889,1
mConcatFit,192.3122753017664,0.7632838344411091,5.270941748831514,1
mDiffFit,0.4890018561634728,0.530421994179521,0.6583485197652055,1
mImgtbl,5.241103975792041,0.8229490653782505,2.172016738411348,1
mImgtbl2,0.3531464601578351,0.5637625656443214,0.6661802242531445,1
mJPEG,0.5245482555656008,0.4795144176746282,0.5277691022678458,1
mProjectPP,2.666598611500661,0.5476623039613965,0.5422267035326204,1
mShrink,36.68394511241698,0.8716844178409486,4.765630120614545,1
