task,rmse,absDivMean,relative,runs
mAdd,217.1721820390387,0.7419480817742973,1.692184676404833,1
mAdd2,0.2950580448491852,0.458311936888473,0.5218554776269707,1
mBackground,1.103012634504242,0.6653245908647188,1.269249498766948,1
mBgModel,1036.388465048492,0.8282276117521762,5.058591154414821,1
mConcatFit,195.7042963807717,0.7283694940616796,4.325673979961797,1
mDiffFit,0.5042431474847672,0.5761734433487311,0.749004078956476,1
mImgtbl,5.241103456226677,0.8229490330855135,2.172016372920329,1
mImgtbl2,0.3764104701002973,0.573002353085353,0.7097758086907541,1
mJPEG,0.5405412429576362,0.4764178289569895,0.5207458419881493,1
mProjectPP,2.697459428708228,0.5616938015127868,0.5615881620031773,1
mShrink,36.70483450786926,0.8722939164262316,4.731567070379986,1
