task,rmse,absDivMean,relative,runs
mAdd,217.1721820390387,0.7419480817743019,1.692184676404857,1
mAdd2,0.3281193589117279,0.4727774030592701,0.5214047057211945,1
mBackground,1.128289622417327,0.6864337514111987,1.290925893116708,1
mBgModel,1038.410714925723,0.8339778416209536,5.132920321772216,1
mConcatFit,196.0013399513891,0.7324953782516966,4.425219248353969,1
mDiffFit,0.5053314503633897,0.5693998369129168,0.7367463810914021,1
mImgtbl,5.241102773650439,0.8229491114994607,2.172019207461732,1
mImgtbl2,0.4104343805673509,0.604963431780931,0.7441697454662131,1
mJPEG,0.5448499387468263,0.4647331818150242,0.4922461023362029,1
mProjectPP,2.727272812826432,0.5504561462584497,0.5474827493341498,1
mShrink,36.78186333560692,0.8719348878425515,4.460004809751804,1
