task,rmse,absDivMean,relative,runs
mAdd,139.4271898422479,0.4969388098590268,4.694653316194553,1
mAdd2,0.2866805214441333,0.4457842306074886,0.5116126085667352,1
mBackground,1.056274968675666,0.6328869637176955,1.153725555870629,1
mBgModel,1023.777994786102,0.8702881342838054,6.154716728356487,1
mConcatFit,193.3205376144121,0.766986979312849,5.507032292988233,1
mDiffFit,0.4833788619132888,0.54470817847043,0.7087510446985975,1
mImgtbl,4.866060495251507,0.7760814871037619,2.173037099697749,1
mImgtbl2,0.3541269093849735,0.5606307053643738,0.6614608624150208,1
mJPEG,0.5243606685723288,0.4849045156923097,0.5413096434538343,1
mProjectPP,2.570353098433217,0.576859696039228,0.6226778383760005,1
mShrink,30.84559666217402,0.6957748350900761,3.986879472836131,1
