task,rmse,absDivMean,relative,runs
mAdd,217.1721820390384,0.741948081774297,1.69218467640484,1
mAdd2,0.3509331106923643,0.4994921132332722,0.5614976157474156,1
mBackground,1.193209802846674,0.7089811565426173,1.376108786657076,1
mBgModel,1080.31741841075,0.7349933441595495,0.7340993018292479,1
mConcatFit,204.0252506064553,0.648371556077968,0.6817285398590639,1
mDiffFit,0.5539341899208092,0.6798495593083373,0.9143839541960398,1
mImgtbl,5.241034135897158,0.8229460774516525,2.171879181728436,1
mImgtbl2,0.4161679877003038,0.6537369007844908,0.8346051682622173,1
mJPEG,0.5485373463404504,0.4584208429225776,0.474814640291906,1
mProjectPP,2.815699864758545,0.5914742375586015,0.5995373270893599,1
mShrink,36.40134566895917,0.8495898499945707,3.196701268935683,1
