task,rmse,absDivMean,relative,runs
mAdd,217.1721820390386,0.7419480817742969,1.692184676404832,1
mAdd2,0.3018184947845693,0.4451092524061757,0.4957753808699304,1
mBackground,1.051172233718295,0.6530023161312651,1.153546226866356,1
mBgModel,1026.803020622923,0.8674920908772005,5.595204239996384,1
mConcatFit,193.6989106914044,0.7578600195899612,4.87887817586136,1
mDiffFit,0.4909942154411637,0.52899961725311,0.6411965940100638,1
mImgtbl,5.241104011005297,0.8229490745785918,2.172016797082925,1
mImgtbl2,0.390069902240252,0.5522037954122895,0.6145125639769838,1
mJPEG,0.5335888833771605,0.4702651130951462,0.5072811273189459,1
mProjectPP,2.687603808076004,0.5355137825880147,0.5170265389933376,1
mShrink,36.67563196884865,0.8714993313673658,4.777513145216314,1
