task,rmse,relative,runs
mAdd,37.6442556336857,0.19227107403103516,5
mAdd2,0.40356427573300485,0.4858636918002671,5
mBackground,0.908098680084902,0.8411351494066043,5
mBgModel,297.4628667473996,0.41762608896257547,5
mConcatFit,69.50416663010958,0.6669673924911272,5
mDiffFit,0.3778873554395625,0.45078230823012955,5
mImgtbl,4.910558380750207,1.6235223910602816,5
mImgtbl2,0.5579442320768556,0.6794408747914701,5
mJPEG,0.45248877479495714,0.3220690522910954,5
mProjectPP,1.5437666196141904,0.24615210662615367,5
mShrink,21.042879631645697,0.786517011895169,5
