atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,H,H,sassena_ID0000006,1,65,1.0,390.56,2.46,1.0,8194.52,714.19,1.0,5.53,0.0,1.0,268506.0,312.0,1.0,2796.0,27.0,1.0,260517853.0,210307.0,1.0,282860.0,1620.0,1.0,3636864.0,2320.0,1.0,510723980.0,0.0,1.0
L,H,H,H,sassena_ID0000006,1,60,0.92308,388.1,2.25,0.9937,7480.33,717.75,0.91285,5.53,0.0,1.0,268194.0,1100.0,0.99884,2769.0,139.0,0.99034,260307546.0,136113.0,0.99919,281240.0,1103.0,0.99427,3634544.0,2800.0,0.99936,510723980.0,188.0,1.0
L,H,H,H,sassena_ID0000006,1,55,0.84615,385.85,2.36,0.98794,6762.58,718.94,0.82526,5.53,0.0,1.0,267094.0,948.0,0.99474,2630.0,114.0,0.94063,260171433.0,212895.0,0.99867,280137.0,1701.0,0.99037,3631744.0,3380.0,0.99859,510723792.0,188.0,1.0
L,H,H,H,sassena_ID0000006,1,50,0.76923,383.49,2.8,0.9819,6043.64,718.45,0.73752,5.53,0.0,1.0,266146.0,1280.0,0.99121,2516.0,165.0,0.89986,259958538.0,136161.0,0.99785,278436.0,1110.0,0.98436,3628364.0,1672.0,0.99766,510723604.0,0.0,1.0
L,H,H,H,sassena_ID0000006,1,45,0.69231,380.69,3.24,0.97473,5325.19,718.26,0.64985,5.53,0.0,1.0,264866.0,1525.0,0.98644,2351.0,166.0,0.84084,259822377.0,291715.0,0.99733,277326.0,2430.0,0.98044,3626692.0,1892.0,0.9972,510723604.0,188.0,1.0
L,H,H,H,sassena_ID0000006,1,40,0.61538,377.45,4.0,0.96643,4606.93,717.27,0.5622,5.53,0.0,1.0,263341.0,856.0,0.98076,2185.0,108.0,0.78147,259530662.0,135757.0,0.99621,274896.0,1049.0,0.97184,3624800.0,2836.0,0.99668,510723416.0,0.0,1.0
L,H,H,H,sassena_ID0000006,1,35,0.53846,373.45,5.18,0.95619,3889.66,716.23,0.47467,5.53,0.0,1.0,262485.0,1720.0,0.97758,2077.0,185.0,0.74285,259394905.0,446241.0,0.99569,273847.0,3750.0,0.96814,3621964.0,1464.0,0.9959,510723416.0,12472.0,1.0
L,H,H,H,sassena_ID0000006,1,30,0.46154,368.27,6.92,0.94293,3173.43,714.24,0.38726,5.53,0.0,1.0,260765.0,1530.0,0.97117,1892.0,155.0,0.67668,258948664.0,292801.0,0.99398,270097.0,2440.0,0.95488,3620500.0,3652.0,0.9955,510710944.0,6144.0,0.99997
L,H,H,H,sassena_ID0000006,1,25,0.38462,361.35,10.75,0.92521,2459.19,710.42,0.3001,5.53,0.0,1.0,259235.0,1374.0,0.96547,1737.0,122.0,0.62124,258655863.0,292089.0,0.99285,267657.0,2381.0,0.94625,3616848.0,3704.0,0.9945,510704800.0,156.0,0.99996
L,H,H,H,sassena_ID0000006,1,20,0.30769,350.6,19.32,0.89769,1748.77,701.95,0.21341,5.53,0.0,1.0,257861.0,2922.0,0.96035,1615.0,210.0,0.57761,258363774.0,915037.0,0.99173,265276.0,7871.0,0.93783,3613144.0,1760.0,0.99348,510704644.0,36864.0,0.99996
