atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,H,L,namd_ID0000003,1,1498,1.0,810.46,0.19,1.0,427657.47,1441.98,1.0,23.41,0.0,1.0,170991055.0,672253.0,1.0,32214.0,105.0,1.0,63595197.0,78749.0,1.0,934476.0,341.0,1.0,6158356.0,0.0,1.0,995021428.0,0.0,1.0
L,H,H,L,namd_ID0000003,1,1493,0.99666,810.27,0.12,0.99977,426215.49,1442.01,0.99663,23.41,0.0,1.0,170318802.0,451609.0,0.99607,32109.0,106.0,0.99674,63516448.0,89044.0,0.99876,934135.0,376.0,0.99964,6158356.0,4.0,1.0,995021428.0,0.0,1.0
L,H,H,L,namd_ID0000003,1,1488,0.99332,810.15,0.18,0.99962,424773.48,1442.34,0.99326,23.41,0.0,1.0,169867193.0,671723.0,0.99343,32003.0,105.0,0.99345,63427404.0,77993.0,0.99736,933759.0,339.0,0.99923,6158352.0,260.0,1.0,995021428.0,0.0,1.0
L,H,H,L,namd_ID0000003,1,1483,0.98999,809.97,0.23,0.9994,423331.14,1441.91,0.98988,23.41,0.0,1.0,169195470.0,449642.0,0.9895,31898.0,82.0,0.99019,63349411.0,82795.0,0.99614,933420.0,349.0,0.99887,6158092.0,0.0,0.99996,995021428.0,0.0,1.0
L,H,H,L,namd_ID0000003,1,1478,0.98665,809.74,0.2,0.99911,421889.23,1442.01,0.98651,23.41,0.0,1.0,168745828.0,673292.0,0.98687,31816.0,118.0,0.98765,63266616.0,85623.0,0.99483,933071.0,367.0,0.9985,6158092.0,4.0,0.99996,995021428.0,0.0,1.0
L,H,H,L,namd_ID0000003,1,1473,0.98331,809.54,0.19,0.99886,420447.22,1442.16,0.98314,23.41,0.0,1.0,168072536.0,450651.0,0.98293,31698.0,96.0,0.98398,63180993.0,82681.0,0.99349,932704.0,352.0,0.9981,6158088.0,0.0,0.99996,995021428.0,0.0,1.0
L,H,H,L,namd_ID0000003,1,1468,0.97997,809.35,0.19,0.99863,419005.06,1442.13,0.97977,23.41,0.0,1.0,167621885.0,671629.0,0.9803,31602.0,103.0,0.981,63098312.0,77905.0,0.99219,932352.0,339.0,0.99773,6158088.0,0.0,0.99996,995021428.0,0.0,1.0
L,H,H,L,namd_ID0000003,1,1463,0.97664,809.16,0.19,0.9984,417562.93,1442.17,0.9764,23.41,0.0,1.0,166950256.0,450408.0,0.97637,31499.0,91.0,0.9778,63020407.0,87515.0,0.99096,932013.0,367.0,0.99736,6158088.0,16.0,0.99996,995021428.0,0.0,1.0
L,H,H,L,namd_ID0000003,1,1458,0.9733,808.97,0.17,0.99816,416120.76,1444.58,0.97302,23.41,0.0,1.0,166499848.0,673508.0,0.97373,31408.0,123.0,0.97498,62932892.0,80764.0,0.98959,931646.0,352.0,0.99697,6158072.0,12.0,0.99995,995021428.0,131072.0,1.0
L,H,H,L,namd_ID0000003,1,1453,0.96996,808.8,0.22,0.99795,414676.18,1442.54,0.96965,23.41,0.0,1.0,165826340.0,449606.0,0.9698,31285.0,82.0,0.97116,62852128.0,82634.0,0.98832,931294.0,349.0,0.99659,6158060.0,8.0,0.99995,994890356.0,0.0,0.99987
