atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,L,H,sassena_ID0000005,1,25,1.0,531.62,91.12,1.0,1715.8,629.92,1.0,1.79,0.0,1.0,238715.0,1602.0,1.0,1139.0,217.0,1.0,37469837.0,56336.0,1.0,116256.0,435.0,1.0,3411016.0,260.0,1.0,506434272.0,0.0,1.0
L,H,L,H,sassena_ID0000005,1,20,0.8,440.5,118.64,0.8286,1085.88,644.83,0.63287,1.79,0.0,1.0,237113.0,1872.0,0.99329,922.0,209.0,0.80948,37413501.0,57998.0,0.9985,115821.0,468.0,0.99626,3410756.0,5004.0,0.99992,506434272.0,0.0,1.0
L,H,L,H,sassena_ID0000005,1,15,0.6,321.86,288.5,0.60543,441.05,408.55,0.25705,1.79,1.52,1.0,235241.0,31369.0,0.98545,713.0,500.0,0.62599,37355503.0,31791976.0,0.99695,115353.0,101416.0,0.99223,3405752.0,2999224.0,0.99846,506434272.0,446478408.0,1.0
L,H,L,H,sassena_ID0000005,1,10,0.4,33.36,33.35,0.06275,32.5,32.5,0.01894,0.27,0.27,0.15084,203872.0,67237.0,0.85404,213.0,200.0,0.18701,5563527.0,5473113.0,0.14848,13937.0,13739.0,0.11988,406528.0,404252.0,0.11918,59955864.0,59833908.0,0.11839
L,H,L,H,sassena_ID0000005,1,0,0.0,0.01,0.01,2.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136635.0,136635.0,0.57238,13.0,13.0,0.01141,90414.0,90414.0,0.00241,198.0,198.0,0.0017,2276.0,2276.0,0.00067,121956.0,121956.0,0.00024
L,H,L,H,sassena_ID0000005,2,19,1.0,498.25,94.82,1.0,1536.04,626.46,1.0,19.78,0.0,1.0,237342.0,1661.0,1.0,1106.0,214.0,1.0,37465703.0,56587.0,1.0,116142.0,462.0,1.0,3410632.0,8.0,1.0,506434392.0,0.0,1.0
L,H,L,H,sassena_ID0000005,2,14,0.73684,403.43,137.88,0.80969,909.58,653.3,0.59216,19.78,0.0,1.0,235681.0,2574.0,0.993,892.0,228.0,0.80651,37409116.0,59444.0,0.99849,115680.0,441.0,0.99602,3410624.0,4976.0,1.0,506434392.0,0.0,1.0
L,H,L,H,sassena_ID0000005,2,9,0.47368,265.55,265.54,0.53297,256.28,256.28,0.16684,19.78,19.78,1.0,233107.0,96484.0,0.98216,664.0,651.0,0.60036,37349672.0,37259264.0,0.9969,115239.0,115041.0,0.99223,3405648.0,3403392.0,0.99854,506434392.0,506312308.0,1.0
L,H,L,H,sassena_ID0000005,2,0,0.0,0.01,0.01,2.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136623.0,136623.0,0.57564,13.0,13.0,0.01175,90408.0,90408.0,0.00241,198.0,198.0,0.0017,2256.0,2256.0,0.00066,122084.0,122084.0,0.00024
L,H,L,H,sassena_ID0000005,3,19,1.0,511.43,96.41,1.0,1525.82,624.84,1.0,3.34,0.0,1.0,237426.0,1752.0,1.0,1086.0,215.0,1.0,37463893.0,57023.0,1.0,116096.0,452.0,1.0,3409540.0,252.0,1.0,506499944.0,65536.0,1.0
L,H,L,H,sassena_ID0000005,3,14,0.73684,415.02,144.7,0.81149,900.98,653.98,0.59049,3.34,0.0,1.0,235674.0,3002.0,0.99262,871.0,266.0,0.80203,37406870.0,59744.0,0.99848,115644.0,489.0,0.99611,3409288.0,5216.0,0.99993,506434408.0,65536.0,0.99987
L,H,L,H,sassena_ID0000005,3,9,0.47368,270.32,270.32,0.52856,247.0,246.99,0.16188,3.34,3.34,1.0,232672.0,96055.0,0.97998,605.0,592.0,0.55709,37347126.0,37256722.0,0.99688,115155.0,114957.0,0.99189,3404072.0,3401804.0,0.9984,506368872.0,506312324.0,0.99974
L,H,L,H,sassena_ID0000005,3,0,0.0,0.0,0.0,0.0,0.01,0.01,1.0e-05,0.0,0.0,0.0,136617.0,136617.0,0.57541,13.0,13.0,0.01197,90404.0,90404.0,0.00241,198.0,198.0,0.00171,2268.0,2268.0,0.00067,56548.0,56548.0,0.00011
L,H,L,H,sassena_ID0000005,4,24,1.0,581.92,89.04,1.0,1992.39,632.07,1.0,2.45,0.0,1.0,245642.0,1658.0,1.0,1228.0,225.0,1.0,37513701.0,56608.0,1.0,116410.0,462.0,1.0,3411148.0,276.0,1.0,506827620.0,65536.0,1.0
L,H,L,H,sassena_ID0000005,4,19,0.79167,492.88,101.44,0.84699,1360.32,634.22,0.68276,2.45,0.0,1.0,243984.0,1672.0,0.99325,1003.0,192.0,0.81678,37457093.0,57421.0,0.99849,115948.0,439.0,0.99603,3410872.0,1944.0,0.99992,506762084.0,131072.0,0.99987
L,H,L,H,sassena_ID0000005,4,14,0.58333,391.44,238.19,0.67267,726.1,585.39,0.36444,2.45,0.93,1.0,242312.0,31731.0,0.98644,811.0,473.0,0.66042,37399672.0,16591956.0,0.99696,115509.0,56425.0,0.99226,3408928.0,1591352.0,0.99935,506631012.0,235859580.0,0.99961
L,H,L,H,sassena_ID0000005,4,9,0.375,153.25,153.24,0.26335,140.71,140.71,0.07062,1.52,1.52,0.62041,210581.0,73952.0,0.85727,338.0,325.0,0.27524,20807716.0,20717305.0,0.55467,59084.0,58886.0,0.50755,1817576.0,1815336.0,0.53283,270771432.0,270714884.0,0.53425
L,H,L,H,sassena_ID0000005,4,0,0.0,0.01,0.01,2.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136629.0,136629.0,0.55621,13.0,13.0,0.01059,90411.0,90411.0,0.00241,198.0,198.0,0.0017,2240.0,2240.0,0.00066,56548.0,56548.0,0.00011
L,H,L,H,sassena_ID0000005,5,24,1.0,557.12,89.18,1.0,2042.57,631.89,1.0,1.92,0.0,1.0,239191.0,1803.0,1.0,1152.0,234.0,1.0,37507968.0,56408.0,1.0,116363.0,450.0,1.0,3411464.0,524.0,1.0,506500500.0,0.0,1.0
L,H,L,H,sassena_ID0000005,5,19,0.79167,467.94,99.75,0.83993,1410.68,629.61,0.69064,1.92,0.0,1.0,237388.0,2226.0,0.99246,918.0,213.0,0.79688,37451560.0,59941.0,0.9985,115913.0,443.0,0.99613,3410940.0,2312.0,0.99985,506500500.0,0.0,1.0
L,H,L,H,sassena_ID0000005,5,14,0.58333,368.19,211.71,0.66088,781.07,604.28,0.3824,1.92,0.75,1.0,235162.0,92549.0,0.98316,705.0,663.0,0.61198,37391619.0,36961923.0,0.9969,115470.0,110456.0,0.99233,3408628.0,1882248.0,0.99917,506500500.0,195321176.0,1.0
L,H,L,H,sassena_ID0000005,5,8,0.33333,156.48,156.47,0.28087,176.79,176.79,0.08655,1.17,1.17,0.60937,142613.0,5980.0,0.59623,42.0,29.0,0.03646,429696.0,339283.0,0.01146,5014.0,4816.0,0.04309,1526380.0,1524124.0,0.44743,311179324.0,311057240.0,0.61437
L,H,L,H,sassena_ID0000005,5,0,0.0,0.01,0.01,2.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136633.0,136633.0,0.57123,13.0,13.0,0.01128,90413.0,90413.0,0.00241,198.0,198.0,0.0017,2256.0,2256.0,0.00066,122084.0,122084.0,0.00024
L,H,L,H,sassena_ID0000005,6,19,1.0,489.92,92.94,1.0,1588.18,628.28,1.0,50.16,0.0,1.0,236442.0,1802.0,1.0,976.0,212.0,1.0,37465950.0,57557.0,1.0,115997.0,421.0,1.0,3410036.0,52.0,1.0,506501004.0,65536.0,1.0
L,H,L,H,sassena_ID0000005,6,14,0.73684,396.98,136.79,0.8103,959.9,678.17,0.6044,50.16,1.03,1.0,234640.0,23178.0,0.99238,764.0,574.0,0.78279,37408393.0,34038720.0,0.99846,115576.0,96555.0,0.99637,3409984.0,504216.0,0.99998,506435468.0,7820124.0,0.99987
L,H,L,H,sassena_ID0000005,6,7,0.36842,260.19,260.18,0.53109,281.73,281.73,0.17739,49.13,49.13,0.97947,211462.0,74848.0,0.89435,190.0,177.0,0.19467,3369673.0,3279268.0,0.08994,19021.0,18823.0,0.16398,2905768.0,2903488.0,0.85212,498615344.0,498493388.0,0.98443
L,H,L,H,sassena_ID0000005,6,0,0.0,0.01,0.01,2.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136614.0,136614.0,0.57779,13.0,13.0,0.01332,90405.0,90405.0,0.00241,198.0,198.0,0.00171,2280.0,2280.0,0.00067,121956.0,121956.0,0.00024
