atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,L,L,namd_ID0000002,1,35,1.0,767.94,30.76,1.0,6581.96,1794.44,1.0,3.49,0.0,1.0,6603835.0,241341.0,1.0,9823.0,366.0,1.0,50898880.0,4187637.0,1.0,913003.0,34525.0,1.0,6150248.0,13496.0,1.0,985136772.0,202752.0,1.0
L,H,L,L,namd_ID0000002,1,30,0.85714,737.18,0.0,0.95994,4787.52,954.0,0.72737,3.49,0.0,1.0,6362494.0,235636.0,0.96345,9457.0,188.0,0.96274,46711243.0,1328962.0,0.91773,878478.0,9995.0,0.96219,6136752.0,0.0,0.99781,984934020.0,0.0,0.99979
L,H,L,L,namd_ID0000002,1,25,0.71429,737.18,44.53,0.95994,3833.52,1646.07,0.58243,3.49,0.01,1.0,6126858.0,773062.0,0.92777,9269.0,3021.0,0.9436,45382281.0,4551194.0,0.89162,868483.0,32613.0,0.95124,6136752.0,16596.0,0.99781,984934020.0,137216.0,0.99979
L,H,L,L,namd_ID0000002,1,20,0.57143,692.65,368.95,0.90196,2187.45,1608.79,0.33234,3.48,1.82,0.99713,5353796.0,862627.0,0.81071,6248.0,5439.0,0.63606,40831087.0,27415402.0,0.8022,835870.0,756193.0,0.91552,6120156.0,3233968.0,0.99511,984796804.0,462323876.0,0.99965
L,H,L,L,namd_ID0000002,1,15,0.42857,323.7,247.8,0.42152,578.66,513.53,0.08792,1.66,1.13,0.47564,4491169.0,0.0,0.68008,809.0,470.0,0.08236,13415685.0,9039994.0,0.26358,79677.0,76745.0,0.08727,2886188.0,2244904.0,0.46928,522472928.0,386007416.0,0.53036
L,H,L,L,namd_ID0000002,1,10,0.28571,75.9,75.88,0.09884,65.13,65.12,0.0099,0.53,0.53,0.15186,4491169.0,239553.0,0.68008,339.0,68.0,0.03451,4375691.0,178094.0,0.08597,2932.0,2227.0,0.00321,641284.0,639008.0,0.10427,136465512.0,136343560.0,0.13852
L,H,L,L,namd_ID0000002,1,0,0.0,0.02,0.02,3.0e-05,0.01,0.01,0.0,0.0,0.0,0.0,4251616.0,4251616.0,0.64381,271.0,271.0,0.02759,4197597.0,4197597.0,0.08247,705.0,705.0,0.00077,2276.0,2276.0,0.00037,121952.0,121952.0,0.00012
L,H,L,L,namd_ID0000002,2,24,1.0,700.82,16.47,1.0,5141.54,1425.86,1.0,2.92,0.0,1.0,6554450.0,459161.0,1.0,8951.0,208.0,1.0,40215458.0,102818.0,1.0,825465.0,447.0,1.0,6103676.0,304.0,1.0,984906132.0,131072.0,1.0
L,H,L,L,namd_ID0000002,2,19,0.79167,684.35,30.57,0.9765,3715.68,1411.52,0.72268,2.92,0.0,1.0,6095289.0,491200.0,0.92995,8743.0,1493.0,0.97676,40112640.0,796924.0,0.99744,825018.0,2479.0,0.99946,6103372.0,3184.0,0.99995,984775060.0,131072.0,0.99987
L,H,L,L,namd_ID0000002,2,14,0.58333,653.78,100.89,0.93288,2304.16,1571.53,0.44815,2.92,0.0,1.0,5604089.0,904274.0,0.85501,7250.0,4619.0,0.80997,39315716.0,1577058.0,0.97763,822539.0,4757.0,0.99646,6100188.0,16124.0,0.99943,984643988.0,0.0,0.99973
