atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,L,L,sassena_ID0000005,1,34,1.0,576.75,49.89,1.0,3614.4,671.31,1.0,10.19,0.0,1.0,247466.0,1462.0,1.0,1628.0,197.0,1.0,60870985.0,56276.0,1.0,122639.0,432.0,1.0,3502904.0,28.0,1.0,507095800.0,0.0,1.0
L,H,L,L,sassena_ID0000005,1,29,0.85294,526.86,51.55,0.9135,2943.09,669.44,0.81427,10.19,0.0,1.0,246004.0,1293.0,0.99409,1431.0,173.0,0.87899,60814709.0,55754.0,0.99908,122207.0,430.0,0.99648,3502876.0,32.0,0.99999,507095800.0,0.0,1.0
L,H,L,L,sassena_ID0000005,1,24,0.70588,475.31,54.83,0.82412,2273.65,666.3,0.62905,10.19,0.0,1.0,244711.0,1725.0,0.98887,1258.0,200.0,0.77273,60758955.0,57344.0,0.99816,121777.0,436.0,0.99297,3502844.0,508.0,0.99998,507095800.0,84112.0,1.0
L,H,L,L,sassena_ID0000005,1,19,0.55882,420.48,62.76,0.72905,1607.35,658.34,0.44471,10.19,0.0,1.0,242986.0,2050.0,0.9819,1058.0,200.0,0.64988,60701611.0,58350.0,0.99722,121341.0,434.0,0.98942,3502336.0,392.0,0.99984,507011688.0,407552.0,0.99983
L,H,L,L,sassena_ID0000005,1,14,0.41176,357.72,130.4,0.62023,949.01,683.38,0.26256,10.19,2.59,1.0,240936.0,37197.0,0.97361,858.0,732.0,0.52703,60643261.0,60045255.0,0.99626,120907.0,113778.0,0.98588,3501944.0,1314824.0,0.99973,506604136.0,62673568.0,0.99903
L,H,L,L,sassena_ID0000005,1,8,0.23529,227.32,227.32,0.39414,265.63,265.62,0.07349,7.6,7.6,0.74583,203739.0,67104.0,0.8233,126.0,113.0,0.0774,598006.0,507593.0,0.00982,7129.0,6931.0,0.05813,2187120.0,2184868.0,0.62437,443930568.0,443874020.0,0.87544
L,H,L,L,sassena_ID0000005,1,0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,136635.0,136635.0,0.55214,13.0,13.0,0.00799,90413.0,90413.0,0.00149,198.0,198.0,0.00161,2252.0,2252.0,0.00064,56548.0,56548.0,0.00011
L,H,L,L,sassena_ID0000005,2,35,1.0,575.57,50.11,1.0,3579.21,671.13,1.0,31.52,0.0,1.0,247109.0,1461.0,1.0,1761.0,197.0,1.0,62107480.0,56534.0,1.0,133136.0,456.0,1.0,3504316.0,1252.0,1.0,506900756.0,272.0,1.0
L,H,L,L,sassena_ID0000005,2,30,0.85714,525.46,51.85,0.91294,2908.08,669.62,0.81249,31.52,0.0,1.0,245648.0,1292.0,0.99409,1564.0,173.0,0.88813,62050946.0,55786.0,0.99909,132680.0,421.0,0.99657,3503064.0,264.0,0.99964,506900484.0,65536.0,1.0
L,H,L,L,sassena_ID0000005,2,25,0.71429,473.61,55.56,0.82285,2238.46,665.72,0.62541,31.52,0.0,1.0,244356.0,1834.0,0.98886,1391.0,227.0,0.78989,61995160.0,56928.0,0.99819,132259.0,437.0,0.99341,3502800.0,252.0,0.99957,506834948.0,6144.0,0.99987
L,H,L,L,sassena_ID0000005,2,20,0.57143,418.05,63.52,0.72632,1572.74,657.98,0.43941,31.52,0.01,1.0,242522.0,1991.0,0.98144,1164.0,203.0,0.66099,61938232.0,58153.0,0.99727,131822.0,465.0,0.99013,3502548.0,156.0,0.9995,506828804.0,354612.0,0.99986
L,H,L,L,sassena_ID0000005,2,15,0.42857,354.53,124.74,0.61596,914.76,682.56,0.25558,31.51,1.8,0.99968,240531.0,30201.0,0.97338,961.0,761.0,0.54571,61880079.0,58541671.0,0.99634,131357.0,112672.0,0.98664,3502392.0,784476.0,0.99945,506474192.0,28870212.0,0.99916
L,H,L,L,sassena_ID0000005,2,8,0.22857,229.79,229.78,0.39924,232.2,232.2,0.06487,29.71,29.71,0.94258,210330.0,73697.0,0.85116,200.0,187.0,0.11357,3338408.0,3247996.0,0.05375,18685.0,18487.0,0.14035,2717916.0,2715672.0,0.77559,477603980.0,477481896.0,0.9422
L,H,L,L,sassena_ID0000005,2,0,0.0,0.01,0.01,2.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136633.0,136633.0,0.55293,13.0,13.0,0.00738,90412.0,90412.0,0.00146,198.0,198.0,0.00149,2244.0,2244.0,0.00064,122084.0,122084.0,0.00024
L,H,L,L,sassena_ID0000005,3,35,1.0,593.65,51.55,1.0,3591.71,669.53,1.0,1.24,0.0,1.0,246000.0,1462.0,1.0,1796.0,197.0,1.0,61646153.0,56624.0,1.0,129281.0,462.0,1.0,3503356.0,768.0,1.0,507227260.0,65536.0,1.0
L,H,L,L,sassena_ID0000005,3,30,0.85714,542.1,52.2,0.91316,2922.18,668.86,0.81359,1.24,0.0,1.0,244538.0,1321.0,0.99406,1599.0,177.0,0.89031,61589529.0,55670.0,0.99908,128819.0,397.0,0.99643,3502588.0,752.0,0.99978,507161724.0,0.0,0.99987
L,H,L,L,sassena_ID0000005,3,25,0.71429,489.9,55.73,0.82523,2253.32,665.43,0.62737,1.24,0.0,1.0,243217.0,1461.0,0.98869,1422.0,197.0,0.79176,61533859.0,56570.0,0.99818,128422.0,453.0,0.99336,3501836.0,288.0,0.99957,507161724.0,0.0,0.99987
L,H,L,L,sassena_ID0000005,3,20,0.57143,434.17,64.85,0.73136,1587.89,656.21,0.4421,1.24,0.0,1.0,241756.0,1926.0,0.98275,1225.0,217.0,0.68207,61477289.0,57689.0,0.99726,127969.0,466.0,0.98985,3501548.0,72.0,0.99948,507161724.0,272528.0,0.99987
L,H,L,L,sassena_ID0000005,3,15,0.42857,369.32,116.63,0.62212,931.68,692.46,0.2594,1.24,0.0,1.0,239830.0,11865.0,0.97492,1008.0,250.0,0.56125,61419600.0,258697.0,0.99632,127503.0,1934.0,0.98625,3501476.0,51416.0,0.99946,506889196.0,7317792.0,0.99933
L,H,L,L,sassena_ID0000005,3,9,0.25714,252.69,252.68,0.42565,239.22,239.22,0.0666,1.24,1.24,1.0,227965.0,91330.0,0.92669,758.0,745.0,0.42205,61160903.0,61070483.0,0.99213,125569.0,125371.0,0.97129,3450060.0,3447816.0,0.98479,499571404.0,499449320.0,0.98491
L,H,L,L,sassena_ID0000005,3,0,0.0,0.01,0.01,2.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136635.0,136635.0,0.55543,13.0,13.0,0.00724,90420.0,90420.0,0.00147,198.0,198.0,0.00153,2244.0,2244.0,0.00064,122084.0,122084.0,0.00024
L,H,L,L,sassena_ID0000005,4,33,1.0,598.93,50.35,1.0,3628.06,670.73,1.0,4.95,0.0,1.0,251359.0,1288.0,1.0,1804.0,184.0,1.0,62645865.0,55916.0,1.0,137705.0,448.0,1.0,3503084.0,44.0,1.0,507030656.0,0.0,1.0
