atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,L,H,H,sassena_ID0000005,1,691,1.0,834.76,4.58,1.0,49207.05,356.05,1.0,9.24,0.0,1.0,2283735.0,0.0,1.0,5058.0,0.0,1.0,249483883.0,27753.0,1.0,160833.0,145.0,1.0,2061316.0,4.0,1.0,255569172.0,0.0,1.0
L,L,H,H,sassena_ID0000005,1,686,0.99276,830.18,4.67,0.99451,48851.0,355.93,0.99276,9.24,0.0,1.0,2283735.0,336.0,1.0,5058.0,48.0,1.0,249456130.0,27993.0,0.99989,160688.0,181.0,0.9991,2061312.0,0.0,1.0,255569172.0,0.0,1.0
L,L,H,H,sassena_ID0000005,1,681,0.98553,825.51,4.52,0.98892,48495.07,356.25,0.98553,9.24,0.0,1.0,2283399.0,320.0,0.99985,5010.0,35.0,0.99051,249428137.0,108803.0,0.99978,160507.0,880.0,0.99797,2061312.0,600.0,1.0,255569172.0,252.0,1.0
L,L,H,H,sassena_ID0000005,1,676,0.97829,820.99,4.37,0.9835,48138.82,356.24,0.97829,9.24,0.0,1.0,2283079.0,112.0,0.99971,4975.0,16.0,0.98359,249319334.0,27753.0,0.99934,159627.0,145.0,0.9925,2060712.0,800.0,0.99971,255568920.0,136.0,1.0
L,L,H,H,sassena_ID0000005,1,671,0.97106,816.62,4.78,0.97827,47782.58,357.38,0.97105,9.24,0.0,1.0,2282967.0,0.0,0.99966,4959.0,0.0,0.98043,249291581.0,27753.0,0.99923,159482.0,145.0,0.9916,2059912.0,0.0,0.99932,255568784.0,0.0,1.0
L,L,H,H,sassena_ID0000005,1,666,0.96382,811.84,4.29,0.97254,47425.2,357.42,0.96379,9.24,0.0,1.0,2282967.0,400.0,0.99966,4959.0,50.0,0.98043,249263828.0,105171.0,0.99912,159337.0,838.0,0.9907,2059912.0,148.0,0.99932,255568784.0,0.0,1.0
L,L,H,H,sassena_ID0000005,1,661,0.95658,807.55,4.78,0.9674,47067.78,355.84,0.95653,9.24,0.0,1.0,2282567.0,280.0,0.99949,4909.0,40.0,0.97054,249158657.0,27993.0,0.9987,158499.0,181.0,0.98549,2059764.0,0.0,0.99925,255568784.0,0.0,1.0
L,L,H,H,sassena_ID0000005,1,656,0.94935,802.77,4.45,0.96168,46711.94,356.16,0.94929,9.24,0.0,1.0,2282287.0,56.0,0.99937,4869.0,8.0,0.96263,249130664.0,27753.0,0.99858,158318.0,145.0,0.98436,2059764.0,0.0,0.99925,255568784.0,0.0,1.0
L,L,H,H,sassena_ID0000005,1,651,0.94211,798.32,4.88,0.95635,46355.78,355.85,0.94206,9.24,0.0,1.0,2282231.0,0.0,0.99934,4861.0,0.0,0.96105,249102911.0,27746.0,0.99847,158173.0,145.0,0.98346,2059764.0,0.0,0.99925,255568784.0,0.0,1.0
L,L,H,H,sassena_ID0000005,1,646,0.93488,793.44,4.69,0.9505,45999.93,355.93,0.93482,9.24,0.0,1.0,2282231.0,336.0,0.99934,4861.0,48.0,0.96105,249075165.0,27993.0,0.99836,158028.0,181.0,0.98256,2059764.0,0.0,0.99925,255568784.0,0.0,1.0
