atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,L,L,H,namd_ID0000002,1,45,1.0,375.51,1.33,1.0,6784.15,719.7,1.0,2.31,0.0,1.0,5980451.0,9620.0,1.0,10156.0,123.0,1.0,51568778.0,311080.0,1.0,916073.0,2331.0,1.0,3102668.0,288.0,1.0,493214748.0,327680.0,1.0
L,L,L,H,namd_ID0000002,1,40,0.88889,374.18,1.98,0.99646,6064.45,719.37,0.89391,2.31,0.0,1.0,5970831.0,12627.0,0.99839,10033.0,214.0,0.98789,51257698.0,2293542.0,0.99397,913742.0,18604.0,0.99746,3102380.0,2044.0,0.99991,492887068.0,18700.0,0.99934
L,L,L,H,namd_ID0000002,1,35,0.77778,372.2,2.78,0.99119,5345.08,817.44,0.78788,2.31,0.0,1.0,5958204.0,14135.0,0.99628,9819.0,237.0,0.96682,48964156.0,2849144.0,0.94949,895138.0,23208.0,0.97715,3100336.0,1956.0,0.99925,492868368.0,131336.0,0.9993
L,L,L,H,namd_ID0000002,1,30,0.66667,369.42,3.44,0.98378,4527.64,717.66,0.66739,2.31,0.0,1.0,5944069.0,242770.0,0.99392,9582.0,499.0,0.94348,46115012.0,5732913.0,0.89424,871930.0,46838.0,0.95181,3098380.0,2880.0,0.99862,492737032.0,36864.0,0.99903
L,L,L,H,namd_ID0000002,1,25,0.55556,365.98,4.19,0.97462,3809.98,716.9,0.5616,2.31,0.0,1.0,5701299.0,11931.0,0.95332,9083.0,181.0,0.89435,40382099.0,1480492.0,0.78307,825092.0,11932.0,0.90068,3095500.0,1152.0,0.99769,492700168.0,71948.0,0.99896
L,L,L,H,namd_ID0000002,1,20,0.44444,361.79,6.22,0.96346,3093.08,714.72,0.45593,2.31,0.0,1.0,5689368.0,17736.0,0.95133,8902.0,395.0,0.87653,38901607.0,5109266.0,0.75436,813160.0,41753.0,0.88766,3094348.0,2580.0,0.99732,492628220.0,6272.0,0.99881
L,L,L,H,namd_ID0000002,1,15,0.33333,355.57,10.69,0.9469,2378.36,710.47,0.35058,2.31,0.0,1.0,5671632.0,18487.0,0.94836,8507.0,397.0,0.83763,33792341.0,5443711.0,0.65529,771407.0,44445.0,0.84208,3091768.0,11424.0,0.99649,492621948.0,30988.0,0.9988
L,L,L,H,namd_ID0000002,1,10,0.22222,344.88,19.06,0.91843,1667.89,701.99,0.24585,2.31,0.0,1.0,5653145.0,466138.0,0.94527,8110.0,2402.0,0.79854,28348630.0,1252814.0,0.54972,726962.0,4020.0,0.79356,3080344.0,3732.0,0.9928,492590960.0,132.0,0.99874
L,L,L,H,namd_ID0000002,1,5,0.11111,325.82,86.72,0.86767,965.9,730.23,0.14238,2.31,0.1,1.0,5187007.0,724994.0,0.86733,5708.0,4021.0,0.56203,27095816.0,8223649.0,0.52543,722942.0,61943.0,0.78918,3076612.0,294476.0,0.9916,492590828.0,44583024.0,0.99873
L,L,L,H,namd_ID0000002,1,0,0.0,239.1,239.1,0.63673,235.67,235.67,0.03474,2.21,2.21,0.95671,4462013.0,4462013.0,0.7461,1687.0,1687.0,0.16611,18872167.0,18872167.0,0.36596,660999.0,660999.0,0.72156,2782136.0,2782136.0,0.89669,448007804.0,448007804.0,0.90834
L,L,L,H,namd_ID0000002,2,53,1.0,363.65,1.49,1.0,6735.1,719.45,1.0,5.64,0.0,1.0,5947323.0,9268.0,1.0,9107.0,112.0,1.0,32135823.0,57449.0,1.0,756468.0,248.0,1.0,3094380.0,528.0,1.0,493239008.0,65800.0,1.0
L,L,L,H,namd_ID0000002,2,48,0.90566,362.16,2.14,0.9959,6015.65,718.94,0.89318,5.64,0.0,1.0,5938055.0,9396.0,0.99844,8995.0,113.0,0.9877,32078374.0,63389.0,0.99821,756220.0,267.0,0.99967,3093852.0,12.0,0.99983,493173208.0,65800.0,0.99987
L,L,L,H,namd_ID0000002,2,43,0.81132,360.02,2.54,0.99002,5296.71,718.68,0.78643,5.64,0.0,1.0,5928659.0,9068.0,0.99686,8882.0,109.0,0.97529,32014985.0,57473.0,0.99624,755953.0,248.0,0.99932,3093840.0,12.0,0.99983,493107408.0,65800.0,0.99973
L,L,L,H,namd_ID0000002,2,38,0.71698,357.48,3.37,0.98303,4578.03,717.75,0.67973,5.64,0.0,1.0,5919591.0,234231.0,0.99534,8773.0,187.0,0.96332,31957512.0,68734.0,0.99445,755705.0,290.0,0.99899,3093828.0,316.0,0.99982,493041608.0,65668.0,0.9996
L,L,L,H,namd_ID0000002,2,33,0.62264,354.11,4.58,0.97377,3860.28,716.47,0.57316,5.64,0.0,1.0,5685360.0,9047.0,0.95595,8586.0,109.0,0.94279,31888778.0,57556.0,0.99231,755415.0,248.0,0.99861,3093512.0,8.0,0.99972,492975940.0,131072.0,0.99947
L,L,L,H,namd_ID0000002,2,28,0.5283,349.53,6.71,0.96117,3143.81,714.26,0.46678,5.64,0.0,1.0,5676313.0,9592.0,0.95443,8477.0,116.0,0.93082,31831222.0,63424.0,0.99052,755167.0,267.0,0.99828,3093504.0,0.0,0.99972,492844868.0,132.0,0.9992
L,L,L,H,namd_ID0000002,2,23,0.43396,342.82,11.29,0.94272,2429.55,709.8,0.36073,5.64,0.0,1.0,5666721.0,15116.0,0.95282,8361.0,295.0,0.91808,31767798.0,3854736.0,0.98855,754900.0,31453.0,0.99793,3093504.0,4168.0,0.99972,492844736.0,36996.0,0.9992
L,L,L,H,namd_ID0000002,2,18,0.33962,331.53,20.92,0.91167,1719.75,699.72,0.25534,5.64,0.0,1.0,5651605.0,338526.0,0.95028,8066.0,1917.0,0.88569,27913062.0,5076824.0,0.8686,723447.0,38040.0,0.95635,3089336.0,21208.0,0.99837,492807740.0,36864.0,0.99913
L,L,L,H,namd_ID0000002,2,13,0.24528,310.61,65.64,0.85415,1020.03,734.68,0.15145,5.64,0.0,1.0,5313079.0,817702.0,0.89336,6149.0,4137.0,0.67519,22836238.0,1417042.0,0.71062,685407.0,4218.0,0.90606,3068128.0,6740.0,0.99152,492770876.0,132944.0,0.99905
L,L,L,H,namd_ID0000002,2,8,0.15094,244.97,244.95,0.67364,285.35,285.34,0.04237,5.64,5.64,1.0,4495377.0,244095.0,0.75587,2012.0,1741.0,0.22093,21419196.0,17221831.0,0.66652,681189.0,680484.0,0.90049,3061388.0,3059188.0,0.98934,492637932.0,492515892.0,0.99878
L,L,L,H,namd_ID0000002,2,0,0.0,0.02,0.02,5.0e-05,0.01,0.01,0.0,0.0,0.0,0.0,4251282.0,4251282.0,0.71482,271.0,271.0,0.02976,4197365.0,4197365.0,0.13061,705.0,705.0,0.00093,2200.0,2200.0,0.00071,122040.0,122040.0,0.00025
L,L,L,H,namd_ID0000002,3,40,1.0,362.64,1.82,1.0,6015.99,719.21,1.0,1.73,0.0,1.0,5926973.0,9329.0,1.0,8606.0,114.0,1.0,23890303.0,57514.0,1.0,688919.0,248.0,1.0,3084884.0,516.0,1.0,492767400.0,0.0,1.0
L,L,L,H,namd_ID0000002,3,35,0.875,360.82,2.32,0.99498,5296.78,718.92,0.88045,1.73,0.0,1.0,5917644.0,11512.0,0.99843,8492.0,134.0,0.98675,23832789.0,68767.0,0.99759,688671.0,288.0,0.99964,3084368.0,260.0,0.99983,492767400.0,0.0,1.0
L,L,L,H,namd_ID0000002,3,30,0.75,358.5,2.9,0.98858,4577.86,718.17,0.76095,1.73,0.0,1.0,5906132.0,232776.0,0.99648,8358.0,173.0,0.97118,23764022.0,63622.0,0.99471,688383.0,272.0,0.99922,3084108.0,1372.0,0.99975,492767400.0,396.0,1.0
L,L,L,H,namd_ID0000002,3,25,0.625,355.6,4.18,0.98059,3859.69,717.03,0.64157,1.73,0.0,1.0,5673356.0,9334.0,0.95721,8185.0,114.0,0.95108,23700400.0,57583.0,0.99205,688111.0,248.0,0.99883,3082736.0,1816.0,0.9993,492767004.0,0.0,1.0
L,L,L,H,namd_ID0000002,3,20,0.5,351.42,6.01,0.96906,3142.66,714.94,0.52238,1.73,0.0,1.0,5664022.0,10324.0,0.95563,8071.0,124.0,0.93783,23642817.0,63542.0,0.98964,687863.0,270.0,0.99847,3080920.0,2088.0,0.99872,492767004.0,0.0,1.0
