atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,L,L,L,namd_ID0000002,1,55,1.0,361.07,1.43,1.0,7059.9,719.68,1.0,2.67,0.0,1.0,7528351.0,233699.0,1.0,9624.0,153.0,1.0,34873529.0,62848.0,1.0,778848.0,272.0,1.0,3100636.0,284.0,1.0,493018544.0,65536.0,1.0
L,L,L,L,namd_ID0000002,1,50,0.90909,359.64,1.71,0.99604,6340.22,719.22,0.89806,2.67,0.0,1.0,7294652.0,234723.0,0.96896,9471.0,182.0,0.9841,34810681.0,827997.0,0.9982,778576.0,6526.0,0.99965,3100352.0,300.0,0.99991,492953008.0,131340.0,0.99987
L,L,L,L,namd_ID0000002,1,45,0.81818,357.93,2.65,0.9913,5621.0,718.5,0.79619,2.67,0.0,1.0,7059929.0,238099.0,0.93778,9289.0,318.0,0.96519,33982684.0,4065160.0,0.97445,772050.0,33231.0,0.99127,3100052.0,4424.0,0.99981,492821668.0,71680.0,0.9996
L,L,L,L,namd_ID0000002,1,40,0.72727,355.28,3.23,0.98396,4902.5,717.96,0.69441,2.67,0.0,1.0,6821830.0,241495.0,0.90615,8971.0,370.0,0.93215,29917524.0,4683037.0,0.85789,738819.0,38285.0,0.9486,3095628.0,13736.0,0.99838,492749988.0,6144.0,0.99946
L,L,L,L,namd_ID0000002,1,35,0.63636,352.05,3.26,0.97502,4184.54,717.7,0.59272,2.67,0.0,1.0,6580335.0,233908.0,0.87407,8601.0,152.0,0.8937,25234487.0,68869.0,0.7236,700534.0,291.0,0.89945,3081892.0,280.0,0.99395,492743844.0,65536.0,0.99944
L,L,L,L,namd_ID0000002,1,30,0.54545,348.79,4.87,0.96599,3466.84,716.21,0.49106,2.67,0.0,1.0,6346427.0,233865.0,0.843,8449.0,154.0,0.87791,25165618.0,62959.0,0.72163,700243.0,272.0,0.89908,3081612.0,268.0,0.99386,492678308.0,132.0,0.99931
L,L,L,L,namd_ID0000002,1,25,0.45455,343.92,7.33,0.9525,2750.63,713.95,0.38961,2.67,0.0,1.0,6112562.0,233895.0,0.81194,8295.0,151.0,0.86191,25102659.0,68867.0,0.71982,699971.0,291.0,0.89873,3081344.0,532.0,0.99378,492678176.0,65672.0,0.99931
L,L,L,L,namd_ID0000002,1,20,0.36364,336.59,13.25,0.9322,2036.68,708.49,0.28849,2.67,0.0,1.0,5878667.0,598075.0,0.78087,8144.0,2003.0,0.84622,25033792.0,886578.0,0.71785,699680.0,2687.0,0.89835,3080812.0,2204.0,0.99361,492612504.0,1708.0,0.99918
L,L,L,L,namd_ID0000002,1,15,0.27273,323.34,35.0,0.89551,1328.19,747.07,0.18813,2.67,0.01,1.0,5280592.0,800331.0,0.70143,6141.0,4111.0,0.63809,24147214.0,2408564.0,0.69242,696993.0,12532.0,0.8949,3078608.0,33308.0,0.9929,492610796.0,3547276.0,0.99917
L,L,L,L,namd_ID0000002,1,9,0.16364,288.34,288.34,0.79857,581.12,581.1,0.08231,2.66,2.66,0.99625,4480261.0,228980.0,0.59512,2030.0,1759.0,0.21093,21738650.0,17541287.0,0.62336,684461.0,683756.0,0.87881,3045300.0,3043056.0,0.98215,489063520.0,488941568.0,0.99198
