atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,H,H,H,namd_ID0000003,1,1791,1.0,862.02,0.32,1.0,512940.36,1441.91,1.0,233.51,0.0,1.0,165629369.0,452508.0,1.0,24091.0,37.0,1.0,213585463.0,73088.0,1.0,2531364.0,311.0,1.0,6877356.0,0.0,1.0,1000308408.0,0.0,1.0
M,H,H,H,namd_ID0000003,1,1786,0.99721,861.7,0.3,0.99963,511498.45,1454.41,0.99719,233.51,0.0,1.0,165176861.0,452492.0,0.99727,24054.0,38.0,0.99846,213512375.0,73403.0,0.99966,2531053.0,313.0,0.99988,6877356.0,4.0,1.0,1000308408.0,0.0,1.0
M,H,H,H,namd_ID0000003,1,1781,0.99442,861.4,0.28,0.99928,510044.04,1442.17,0.99435,233.51,0.0,1.0,164724369.0,453807.0,0.99454,24016.0,58.0,0.99689,213438972.0,282253.0,0.99931,2530740.0,2003.0,0.99975,6877352.0,320.0,1.0,1000308408.0,6144.0,1.0
M,H,H,H,namd_ID0000003,1,1776,0.99162,861.12,0.33,0.99896,508601.87,1441.97,0.99154,233.51,0.0,1.0,164270562.0,453933.0,0.9918,23958.0,64.0,0.99448,213156719.0,427790.0,0.99799,2528737.0,3242.0,0.99896,6877032.0,1096.0,0.99995,1000302264.0,0.0,0.99999
M,H,H,H,namd_ID0000003,1,1771,0.98883,860.79,0.19,0.99857,507159.9,1465.3,0.98873,233.51,0.0,1.0,163816629.0,452486.0,0.98906,23894.0,37.0,0.99182,212728929.0,73174.0,0.99599,2525495.0,311.0,0.99768,6875936.0,4.0,0.99979,1000302264.0,0.0,0.99999
M,H,H,H,namd_ID0000003,1,1766,0.98604,860.6,0.29,0.99835,505694.6,1442.06,0.98587,233.51,0.0,1.0,163364143.0,453136.0,0.98632,23857.0,40.0,0.99029,212655755.0,74197.0,0.99565,2525184.0,315.0,0.99756,6875932.0,0.0,0.99979,1000302264.0,0.0,0.99999
M,H,H,H,namd_ID0000003,1,1761,0.98325,860.31,0.35,0.99802,504252.54,1442.29,0.98306,233.51,0.0,1.0,162911007.0,453628.0,0.98359,23817.0,52.0,0.98863,212581558.0,130062.0,0.9953,2524869.0,763.0,0.99743,6875932.0,820.0,0.99979,1000302264.0,132.0,0.99999
M,H,H,H,namd_ID0000003,1,1756,0.98046,859.96,0.25,0.99761,502810.25,1441.87,0.98025,233.51,0.0,1.0,162457379.0,454188.0,0.98085,23765.0,72.0,0.98647,212451496.0,631260.0,0.99469,2524106.0,4923.0,0.99713,6875112.0,1068.0,0.99967,1000302132.0,65536.0,0.99999
M,H,H,H,namd_ID0000003,1,1751,0.97767,859.71,0.31,0.99732,501368.38,1441.79,0.97744,233.51,0.0,1.0,162003191.0,452496.0,0.97811,23693.0,37.0,0.98348,211820236.0,73000.0,0.99174,2519183.0,311.0,0.99519,6874044.0,8.0,0.99952,1000236596.0,65536.0,0.99993
M,H,H,H,namd_ID0000003,1,1746,0.97487,859.4,0.28,0.99696,499926.59,1442.04,0.97463,233.51,0.0,1.0,161550695.0,452500.0,0.97537,23656.0,37.0,0.98194,211747236.0,73034.0,0.99139,2518872.0,311.0,0.99507,6874036.0,0.0,0.99952,1000171060.0,0.0,0.99986
