atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,H,H,H,sassena_ID0000006,1,134,1.0,396.5,0.93,1.0,18254.13,720.38,1.0,128.14,0.0,1.0,277417.0,232.0,1.0,3272.0,26.0,1.0,467487467.0,135733.0,1.0,390602.0,982.0,1.0,3838352.0,3292.0,1.0,511290940.0,0.0,1.0
M,H,H,H,sassena_ID0000006,1,129,0.96269,395.57,0.9,0.99765,17533.75,720.11,0.96054,128.14,0.0,1.0,277185.0,684.0,0.99916,3246.0,87.0,0.99205,467351734.0,136153.0,0.99971,389620.0,1045.0,0.99749,3835060.0,2392.0,0.99914,511290940.0,0.0,1.0
M,H,H,H,sassena_ID0000006,1,124,0.92537,394.67,0.91,0.99538,16813.64,720.47,0.92109,128.14,0.0,1.0,276501.0,684.0,0.9967,3159.0,87.0,0.96546,467215581.0,136145.0,0.99942,388575.0,1044.0,0.99481,3832668.0,944.0,0.99852,511290940.0,0.0,1.0
M,H,H,H,sassena_ID0000006,1,119,0.88806,393.76,1.7,0.99309,16093.17,718.68,0.88162,128.14,0.0,1.0,275817.0,20.0,0.99423,3072.0,3.0,0.93888,467079436.0,55323.0,0.99913,387531.0,293.0,0.99214,3831724.0,260.0,0.99827,511290940.0,0.0,1.0
M,H,H,H,sassena_ID0000006,1,114,0.85075,392.06,1.34,0.9888,15374.49,717.6,0.84225,128.14,0.0,1.0,275797.0,664.0,0.99416,3069.0,84.0,0.93796,467024113.0,136133.0,0.99901,387238.0,1042.0,0.99139,3831464.0,592.0,0.99821,511290940.0,184.0,1.0
M,H,H,H,sassena_ID0000006,1,109,0.81343,390.72,1.0,0.98542,14656.89,720.11,0.80294,128.14,0.0,1.0,275133.0,64.0,0.99177,2985.0,2.0,0.91229,466887980.0,135732.0,0.99872,386196.0,982.0,0.98872,3830872.0,132.0,0.99805,511290756.0,0.0,1.0
M,H,H,H,sassena_ID0000006,1,104,0.77612,389.72,0.93,0.9829,13936.78,720.43,0.76349,128.14,0.0,1.0,275069.0,652.0,0.99154,2983.0,86.0,0.91167,466752248.0,136009.0,0.99843,385214.0,1045.0,0.98621,3830740.0,876.0,0.99802,511290756.0,65536.0,1.0
M,H,H,H,sassena_ID0000006,1,99,0.73881,388.79,1.14,0.98055,13216.35,720.15,0.72402,128.14,0.0,1.0,274417.0,684.0,0.98919,2897.0,87.0,0.88539,466616239.0,136009.0,0.99814,384169.0,1045.0,0.98353,3829864.0,2344.0,0.99779,511225220.0,0.0,0.99987
M,H,H,H,sassena_ID0000006,1,94,0.70149,387.65,1.1,0.97768,12496.2,720.16,0.68457,128.14,0.0,1.0,273733.0,488.0,0.98672,2810.0,59.0,0.8588,466480230.0,136017.0,0.99785,383124.0,1046.0,0.98086,3827520.0,2044.0,0.99718,511225220.0,188.0,0.99987
M,H,H,H,sassena_ID0000006,1,89,0.66418,386.55,1.24,0.97491,11776.04,719.92,0.64512,128.14,0.0,1.0,273245.0,356.0,0.98496,2751.0,33.0,0.84077,466344213.0,213041.0,0.99755,382078.0,1643.0,0.97818,3825476.0,880.0,0.99665,511225032.0,0.0,0.99987
M,H,H,H,sassena_ID0000006,1,84,0.62687,385.31,1.18,0.97178,11056.12,720.12,0.60568,128.14,0.0,1.0,272889.0,748.0,0.98368,2718.0,89.0,0.83068,466131172.0,213461.0,0.9971,380435.0,1706.0,0.97397,3824596.0,2004.0,0.99642,511225032.0,0.0,0.99987
M,H,H,H,sassena_ID0000006,1,78,0.58209,384.13,1.3,0.9688,10336.0,719.84,0.56623,128.14,0.0,1.0,272141.0,748.0,0.98098,2629.0,89.0,0.80348,465917711.0,213551.0,0.99664,378729.0,1707.0,0.9696,3822592.0,884.0,0.99589,511225032.0,0.0,0.99987
M,H,H,H,sassena_ID0000006,1,73,0.54478,382.83,1.37,0.96552,9616.16,720.66,0.52679,128.14,0.0,1.0,271393.0,895.0,0.97829,2540.0,90.0,0.77628,465704160.0,136551.0,0.99619,377022.0,1048.0,0.96523,3821708.0,316.0,0.99566,511225032.0,6328.0,0.99987
M,H,H,H,sassena_ID0000006,1,68,0.50746,381.46,1.48,0.96207,8895.5,720.27,0.48731,128.14,0.0,1.0,270498.0,548.0,0.97506,2450.0,64.0,0.74878,465567609.0,214149.0,0.99589,375974.0,1732.0,0.96255,3821392.0,392.0,0.99558,511218704.0,0.0,0.99986
M,H,H,H,sassena_ID0000006,1,63,0.47015,379.98,1.92,0.95834,8175.23,791.42,0.44786,128.14,0.0,1.0,269950.0,2768.0,0.97308,2386.0,149.0,0.72922,465353460.0,1770335.0,0.99544,374242.0,14981.0,0.95812,3821000.0,3280.0,0.99548,511218704.0,37128.0,0.99986
