atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,H,H,L,namd_ID0000003,1,1894,1.0,882.68,0.21,1.0,543030.01,1442.15,1.0,4.87,0.0,1.0,350816182.0,1356368.0,1.0,41859.0,104.0,1.0,271011767.0,77559.0,1.0,2992630.0,341.0,1.0,6867584.0,8.0,1.0,1001370116.0,132.0,1.0
M,H,H,L,namd_ID0000003,1,1889,0.99736,882.47,0.28,0.99976,541587.86,1441.94,0.99734,4.87,0.0,1.0,349459814.0,909471.0,0.99613,41755.0,132.0,0.99752,270934208.0,648048.0,0.99971,2992289.0,4989.0,0.99989,6867576.0,708.0,1.0,1001369984.0,65536.0,1.0
M,H,H,L,namd_ID0000003,1,1884,0.99472,882.19,0.34,0.99944,540145.92,1441.99,0.99469,4.87,0.0,1.0,348550343.0,905057.0,0.99354,41623.0,76.0,0.99436,270286160.0,127973.0,0.99732,2987300.0,753.0,0.99822,6866868.0,16.0,0.9999,1001304448.0,0.0,0.99993
M,H,H,L,namd_ID0000003,1,1879,0.99208,881.85,0.26,0.99906,538703.93,1441.68,0.99203,4.87,0.0,1.0,347645286.0,904982.0,0.99096,41547.0,74.0,0.99255,270158187.0,77067.0,0.99685,2986547.0,333.0,0.99797,6866852.0,12.0,0.99989,1001304448.0,131072.0,0.99993
M,H,H,L,namd_ID0000003,1,1874,0.98944,881.59,0.3,0.99877,537262.25,1442.14,0.98938,4.87,0.0,1.0,346740304.0,905017.0,0.98838,41473.0,76.0,0.99078,270081120.0,78020.0,0.99657,2986214.0,337.0,0.99786,6866840.0,8.0,0.99989,1001173376.0,0.0,0.9998
M,H,H,L,namd_ID0000003,1,1869,0.9868,881.29,0.39,0.99843,535820.11,1442.14,0.98672,4.87,0.0,1.0,345835287.0,907804.0,0.9858,41397.0,122.0,0.98896,270003100.0,641760.0,0.99628,2985877.0,4962.0,0.99774,6866832.0,140.0,0.99989,1001173376.0,0.0,0.9998
M,H,H,L,namd_ID0000003,1,1864,0.98416,880.9,0.28,0.99798,534377.97,1441.9,0.98407,4.87,0.0,1.0,344927483.0,905665.0,0.98321,41275.0,76.0,0.98605,269361340.0,78155.0,0.99391,2980915.0,335.0,0.99609,6866692.0,8.0,0.99987,1001173376.0,0.0,0.9998
M,H,H,L,namd_ID0000003,1,1859,0.98152,880.62,0.41,0.99767,532936.07,1442.04,0.98141,4.87,0.0,1.0,344021818.0,905017.0,0.98063,41199.0,74.0,0.98423,269283185.0,77221.0,0.99362,2980580.0,333.0,0.99597,6866684.0,4.0,0.99987,1001173376.0,0.0,0.9998
M,H,H,L,namd_ID0000003,1,1854,0.97888,880.21,0.34,0.9972,531494.03,1441.97,0.97876,4.87,0.0,1.0,343116801.0,905872.0,0.97805,41125.0,85.0,0.98246,269205964.0,132772.0,0.99334,2980247.0,779.0,0.99586,6866680.0,0.0,0.99987,1001173376.0,0.0,0.9998
M,H,H,L,namd_ID0000003,1,1849,0.97624,879.87,0.34,0.99682,530052.06,1441.99,0.9761,4.87,0.0,1.0,342210929.0,906704.0,0.97547,41040.0,106.0,0.98043,269073192.0,434622.0,0.99285,2979468.0,3302.0,0.9956,6866680.0,268.0,0.99987,1001173376.0,0.0,0.9998
M,H,H,L,namd_ID0000003,1,1844,0.9736,879.53,0.3,0.99643,528610.07,1442.08,0.97345,4.87,0.0,1.0,341304225.0,904982.0,0.97289,40934.0,74.0,0.9779,268638570.0,77247.0,0.99124,2976166.0,333.0,0.9945,6866412.0,4.0,0.99983,1001173376.0,0.0,0.9998
M,H,H,L,namd_ID0000003,1,1839,0.97096,879.23,0.27,0.99609,527167.99,1442.2,0.97079,4.87,0.0,1.0,340399243.0,905585.0,0.97031,40860.0,76.0,0.97613,268561323.0,78039.0,0.99096,2975833.0,335.0,0.99439,6866408.0,268.0,0.99983,1001173376.0,0.0,0.9998
M,H,H,L,namd_ID0000003,1,1834,0.96832,878.96,0.23,0.99579,525725.79,1442.38,0.96813,4.87,0.0,1.0,339493658.0,907276.0,0.96773,40784.0,126.0,0.97432,268483284.0,1049254.0,0.99067,2975498.0,8314.0,0.99428,6866140.0,896.0,0.99979,1001173376.0,65536.0,0.9998
M,H,H,L,namd_ID0000003,1,1829,0.96568,878.73,0.35,0.99552,524283.41,1442.07,0.96548,4.87,0.0,1.0,338586382.0,907735.0,0.96514,40658.0,142.0,0.97131,267434030.0,1447452.0,0.9868,2967184.0,11627.0,0.9915,6865244.0,120.0,0.99966,1001107840.0,0.0,0.99974
M,H,H,L,namd_ID0000003,1,1824,0.96304,878.38,0.37,0.99513,522841.34,1442.07,0.96282,4.87,0.01,1.0,337678647.0,904977.0,0.96255,40516.0,74.0,0.96792,265986578.0,77138.0,0.98146,2955557.0,333.0,0.98761,6865124.0,8.0,0.99964,1001107840.0,65536.0,0.99974
M,H,H,L,namd_ID0000003,1,1819,0.9604,878.01,0.24,0.99471,521399.27,1442.13,0.96017,4.86,0.0,0.99795,336773670.0,905001.0,0.95997,40442.0,74.0,0.96615,265909440.0,77248.0,0.98117,2955224.0,333.0,0.9875,6865116.0,552.0,0.99964,1001042304.0,0.0,0.99967
M,H,H,L,namd_ID0000003,1,1814,0.95776,877.77,0.39,0.99444,519957.14,1441.97,0.95751,4.86,0.0,0.99795,335868669.0,907161.0,0.95739,40368.0,105.0,0.96438,265832192.0,490583.0,0.98089,2954891.0,3707.0,0.98739,6864564.0,620.0,0.99956,1001042304.0,0.0,0.99967
M,H,H,L,namd_ID0000003,1,1809,0.95512,877.38,0.29,0.994,518515.17,1442.16,0.95486,4.86,0.0,0.99795,334961508.0,906787.0,0.95481,40263.0,112.0,0.96187,265341609.0,685529.0,0.97908,2951184.0,5344.0,0.98615,6863944.0,40.0,0.99947,1001042304.0,0.0,0.99967
M,H,H,L,namd_ID0000003,1,1804,0.95248,877.09,0.26,0.99367,517073.01,1442.51,0.9522,4.86,0.0,0.99795,334054721.0,1356345.0,0.95222,40151.0,104.0,0.9592,264656080.0,77696.0,0.97655,2945840.0,341.0,0.98436,6863904.0,8.0,0.99946,1001042304.0,65536.0,0.99967
M,H,H,L,namd_ID0000003,1,1799,0.94984,876.83,0.28,0.99337,515630.5,1442.11,0.94954,4.86,0.0,0.99795,332698376.0,905000.0,0.94836,40047.0,74.0,0.95671,264578384.0,77176.0,0.97626,2945499.0,333.0,0.98425,6863896.0,0.0,0.99946,1000976768.0,0.0,0.99961
M,H,H,L,namd_ID0000003,1,1794,0.9472,876.55,0.4,0.99306,514188.39,1441.63,0.94689,4.86,0.0,0.99795,331793376.0,908417.0,0.94578,39973.0,125.0,0.95494,264501208.0,799759.0,0.97598,2945166.0,6226.0,0.98414,6863896.0,52.0,0.99946,1000976768.0,0.0,0.99961
M,H,H,L,namd_ID0000003,1,1789,0.94456,876.15,0.27,0.9926,512746.76,1441.98,0.94423,4.86,0.0,0.99795,330884959.0,906420.0,0.94319,39848.0,92.0,0.95196,263701449.0,178864.0,0.97303,2938940.0,1174.0,0.98206,6863844.0,12.0,0.99946,1000976768.0,65536.0,0.99961
M,H,H,L,namd_ID0000003,1,1784,0.94192,875.88,0.37,0.9923,511304.78,1441.85,0.94158,4.86,0.0,0.99795,329978539.0,904979.0,0.9406,39756.0,74.0,0.94976,263522585.0,77114.0,0.97237,2937766.0,333.0,0.98167,6863832.0,8.0,0.99945,1000911232.0,65536.0,0.99954
M,H,H,L,namd_ID0000003,1,1779,0.93928,875.51,0.25,0.99188,509862.93,1441.97,0.93892,4.86,0.0,0.99795,329073560.0,904988.0,0.93802,39682.0,75.0,0.94799,263445471.0,77456.0,0.97208,2937433.0,335.0,0.98156,6863824.0,0.0,0.99945,1000845696.0,0.0,0.99948
M,H,H,L,namd_ID0000003,1,1774,0.93664,875.26,0.32,0.99159,508420.96,1442.25,0.93627,4.86,0.0,0.99795,328168572.0,907509.0,0.93544,39607.0,114.0,0.9462,263368015.0,439286.0,0.9718,2937098.0,3357.0,0.98144,6863824.0,60.0,0.99945,1000845696.0,0.0,0.99948
