atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,H,L,L,namd_ID0000002,1,40,1.0,734.69,7.34,1.0,9374.42,1435.59,1.0,3.42,0.0,1.0,7841599.0,466411.0,1.0,28706.0,307.0,1.0,131922170.0,3002319.0,1.0,1951873.0,24495.0,1.0,6557496.0,1104.0,1.0,999215268.0,150172.0,1.0
M,H,L,L,namd_ID0000002,1,35,0.875,727.35,9.35,0.99001,7938.83,1432.82,0.84686,3.42,0.0,1.0,7375188.0,466443.0,0.94052,28399.0,347.0,0.98931,128919851.0,3403384.0,0.97724,1927378.0,27834.0,0.98745,6556392.0,2064.0,0.99983,999065096.0,266908.0,0.99985
M,H,L,L,namd_ID0000002,1,30,0.75,718.0,13.05,0.97728,6506.01,1444.87,0.69402,3.42,0.0,1.0,6908745.0,16775.0,0.88104,28052.0,405.0,0.97722,125516467.0,4695506.0,0.95144,1899544.0,38631.0,0.97319,6554328.0,4604.0,0.99952,998798188.0,172708.0,0.99958
M,H,L,L,namd_ID0000002,1,25,0.625,704.95,19.74,0.95952,5061.14,1423.66,0.53989,3.42,0.0,1.0,6891970.0,878625.0,0.8789,27647.0,3815.0,0.96311,120820961.0,13109286.0,0.91585,1860913.0,104105.0,0.9534,6549724.0,19284.0,0.99881,998625480.0,3616012.0,0.99941
M,H,L,L,namd_ID0000002,1,19,0.475,685.21,35.27,0.93265,3637.48,1406.12,0.38802,3.42,0.0,1.0,6013345.0,581604.0,0.76685,23832.0,4879.0,0.83021,107711675.0,15075982.0,0.81648,1756808.0,119497.0,0.90006,6530440.0,18936.0,0.99587,995009468.0,3119944.0,0.99579
M,H,L,L,namd_ID0000002,1,14,0.35,649.94,129.07,0.88465,2231.36,1664.04,0.23803,3.42,0.0,1.0,5431741.0,689127.0,0.69268,18953.0,11922.0,0.66025,92635693.0,47388652.0,0.7022,1637311.0,386053.0,0.83884,6511504.0,186268.0,0.99299,991889524.0,6563056.0,0.99267
M,H,L,L,namd_ID0000002,1,9,0.225,520.87,520.85,0.70897,567.32,567.31,0.06052,3.42,3.42,1.0,4742614.0,491029.0,0.6048,7031.0,6760.0,0.24493,45247041.0,41049458.0,0.34298,1251258.0,1250554.0,0.64106,6325236.0,6323032.0,0.96458,985326468.0,985204424.0,0.9861
M,H,L,L,namd_ID0000002,1,0,0.0,0.02,0.02,3.0e-05,0.01,0.01,0.0,0.0,0.0,0.0,4251585.0,4251585.0,0.54218,271.0,271.0,0.00944,4197583.0,4197583.0,0.03182,704.0,704.0,0.00036,2204.0,2204.0,0.00034,122044.0,122044.0,0.00012
M,H,L,L,namd_ID0000002,2,43,1.0,743.76,6.02,1.0,10813.29,1449.6,1.0,8.47,0.0,1.0,7846440.0,464286.0,1.0,28976.0,280.0,1.0,137224149.0,3210730.0,1.0,1995483.0,26262.0,1.0,6566892.0,908.0,1.0,999896044.0,133524.0,1.0
M,H,L,L,namd_ID0000002,2,38,0.88372,737.74,7.12,0.99191,9363.69,1435.47,0.86594,8.47,0.0,1.0,7382154.0,12390.0,0.94083,28696.0,268.0,0.99034,134013419.0,3256199.0,0.9766,1969221.0,26660.0,0.98684,6565984.0,2284.0,0.99986,999762520.0,68120.0,0.99987
M,H,L,L,namd_ID0000002,2,33,0.76744,730.62,9.41,0.98233,7928.22,1432.83,0.73319,8.47,0.0,1.0,7369764.0,466808.0,0.93925,28428.0,359.0,0.98109,130757220.0,3311648.0,0.95287,1942561.0,27129.0,0.97348,6563700.0,2664.0,0.99951,999694400.0,412320.0,0.9998
M,H,L,L,namd_ID0000002,2,28,0.65116,721.21,12.86,0.96968,6495.39,1429.61,0.60069,8.47,0.0,1.0,6902956.0,23910.0,0.87976,28069.0,628.0,0.9687,127445572.0,5641630.0,0.92874,1915432.0,46498.0,0.95988,6561036.0,7580.0,0.99911,999282080.0,1303476.0,0.99939
M,H,L,L,namd_ID0000002,2,23,0.53488,708.35,19.98,0.95239,5065.78,1428.61,0.46848,8.47,0.0,1.0,6879046.0,861966.0,0.87671,27441.0,3621.0,0.94703,121803942.0,12117521.0,0.88763,1868934.0,96648.0,0.93658,6553456.0,19308.0,0.99795,997978604.0,4157524.0,0.99808
M,H,L,L,namd_ID0000002,2,18,0.4186,688.37,35.03,0.92553,3637.17,1406.85,0.33636,8.47,0.0,1.0,6017080.0,562320.0,0.76685,23820.0,4936.0,0.82206,109686421.0,16068557.0,0.79932,1772286.0,127949.0,0.88815,6534148.0,26148.0,0.99501,993821080.0,2749352.0,0.99392
M,H,L,L,namd_ID0000002,2,13,0.30233,653.34,114.15,0.87843,2230.32,1554.73,0.20626,8.47,0.0,1.0,5454760.0,671624.0,0.69519,18884.0,10784.0,0.65171,93617864.0,41299337.0,0.68223,1644337.0,335286.0,0.82403,6508000.0,167328.0,0.99103,991071728.0,4942112.0,0.99117
M,H,L,L,namd_ID0000002,2,8,0.18605,539.19,539.18,0.72495,675.59,675.58,0.06248,8.47,8.47,1.0,4783136.0,531276.0,0.60959,8100.0,7828.0,0.27954,52318527.0,48120631.0,0.38126,1309051.0,1308344.0,0.65601,6340672.0,6338424.0,0.96555,986129616.0,986007664.0,0.98623
