atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,H,H,namd_ID0000003,1,1800,1.0,852.69,0.23,1.0,505697.37,1416.68,1.0,2.86,0.0,1.0,167933304.0,454092.0,1.0,25628.0,60.0,1.0,242767843.0,324717.0,1.0,2774237.0,2396.0,1.0,6760116.0,16.0,1.0,983062412.0,65536.0,1.0
M,L,H,H,namd_ID0000003,1,1795,0.99722,852.46,0.25,0.99973,504280.69,1417.13,0.9972,2.86,0.0,1.0,167479212.0,452490.0,0.9973,25568.0,38.0,0.99766,242443126.0,71641.0,0.99866,2771841.0,308.0,0.99914,6760100.0,0.0,1.0,982996876.0,0.0,0.99993
M,L,H,H,namd_ID0000003,1,1790,0.99444,852.21,0.35,0.99944,502863.56,1417.01,0.9944,2.86,0.0,1.0,167026722.0,452483.0,0.9946,25530.0,38.0,0.99618,242371485.0,71901.0,0.99837,2771533.0,308.0,0.99903,6760100.0,0.0,1.0,982996876.0,0.0,0.99993
M,L,H,H,namd_ID0000003,1,1785,0.99167,851.86,0.42,0.99903,501446.55,1417.08,0.99159,2.86,0.0,1.0,166574239.0,455574.0,0.99191,25492.0,97.0,0.99469,242299584.0,1040847.0,0.99807,2771225.0,8256.0,0.99891,6760100.0,76.0,1.0,982996876.0,0.0,0.99993
M,L,H,H,namd_ID0000003,1,1780,0.98889,851.44,0.3,0.99853,500029.47,1417.05,0.98879,2.86,0.0,1.0,166118665.0,453126.0,0.98919,25395.0,54.0,0.99091,241258737.0,426050.0,0.99378,2762969.0,3226.0,0.99594,6760024.0,108.0,0.99999,982996876.0,65536.0,0.99993
M,L,H,H,namd_ID0000003,1,1775,0.98611,851.14,0.26,0.99818,498612.42,1417.49,0.98599,2.86,0.0,1.0,165665539.0,452479.0,0.9865,25341.0,38.0,0.9888,240832687.0,71777.0,0.99203,2759743.0,308.0,0.99478,6759916.0,4.0,0.99997,982931340.0,0.0,0.99987
M,L,H,H,namd_ID0000003,1,1770,0.98333,850.88,0.34,0.99788,497194.93,1417.22,0.98319,2.86,0.0,1.0,165213060.0,452474.0,0.9838,25303.0,38.0,0.98732,240760910.0,71724.0,0.99173,2759435.0,308.0,0.99466,6759912.0,4.0,0.99997,982931340.0,0.0,0.99987
M,L,H,H,namd_ID0000003,1,1765,0.98056,850.54,0.38,0.99748,495777.71,1416.87,0.98038,2.86,0.0,1.0,164760586.0,454989.0,0.98111,25265.0,76.0,0.98584,240689186.0,434223.0,0.99144,2759127.0,3307.0,0.99455,6759908.0,48.0,0.99997,982931340.0,0.0,0.99987
M,L,H,H,namd_ID0000003,1,1760,0.97778,850.16,0.26,0.99703,494360.84,1416.97,0.97758,2.86,0.0,1.0,164305597.0,452743.0,0.9784,25189.0,45.0,0.98287,240254963.0,274275.0,0.98965,2755820.0,1985.0,0.99336,6759860.0,260.0,0.99996,982931340.0,0.0,0.99987
M,L,H,H,namd_ID0000003,1,1755,0.975,849.9,0.21,0.99673,492943.87,1416.85,0.97478,2.86,0.0,1.0,163852854.0,452811.0,0.9757,25144.0,39.0,0.98111,239980688.0,72662.0,0.98852,2753835.0,310.0,0.99265,6759600.0,260.0,0.99992,982931340.0,0.0,0.99987
M,L,H,H,namd_ID0000003,1,1750,0.97222,849.69,0.34,0.99648,491527.02,1417.11,0.97198,2.86,0.0,1.0,163400043.0,452806.0,0.97301,25105.0,39.0,0.97959,239908026.0,71722.0,0.98822,2753525.0,308.0,0.99253,6759340.0,0.0,0.99989,982931340.0,0.0,0.99987
M,L,H,H,namd_ID0000003,1,1745,0.96944,849.35,0.43,0.99608,490109.91,1417.21,0.96918,2.86,0.0,1.0,162947237.0,457510.0,0.97031,25066.0,156.0,0.97807,239836304.0,2413182.0,0.98792,2753217.0,19567.0,0.99242,6759340.0,640.0,0.99989,982931340.0,0.0,0.99987
M,L,H,H,namd_ID0000003,1,1740,0.96667,848.92,0.37,0.99558,488692.7,1417.12,0.96637,2.86,0.0,1.0,162489727.0,452551.0,0.96758,24910.0,39.0,0.97198,237423122.0,121939.0,0.97798,2733650.0,723.0,0.98537,6758700.0,272.0,0.99979,982931340.0,65536.0,0.99987
M,L,H,H,namd_ID0000003,1,1735,0.96389,848.55,0.24,0.99514,487275.58,1417.0,0.96357,2.86,0.0,1.0,162037176.0,452496.0,0.96489,24871.0,38.0,0.97046,237301183.0,71725.0,0.97748,2732927.0,308.0,0.98511,6758428.0,12.0,0.99975,982865804.0,0.0,0.9998
M,L,H,H,namd_ID0000003,1,1730,0.96111,848.31,0.36,0.99486,485858.58,1417.1,0.96077,2.86,0.0,1.0,161584680.0,453406.0,0.9622,24833.0,48.0,0.96898,237229458.0,126536.0,0.97719,2732619.0,741.0,0.985,6758416.0,268.0,0.99975,982865804.0,0.0,0.9998
M,L,H,H,namd_ID0000003,1,1725,0.95833,847.95,0.31,0.99444,484441.48,1416.83,0.95797,2.86,0.0,1.0,161131274.0,454630.0,0.9595,24785.0,82.0,0.96711,237102922.0,784256.0,0.97667,2731878.0,6177.0,0.98473,6758148.0,580.0,0.99971,982865804.0,0.0,0.9998
M,L,H,H,namd_ID0000003,1,1720,0.95556,847.64,0.25,0.99408,483024.65,1417.22,0.95517,2.86,0.0,1.0,160676644.0,452495.0,0.95679,24703.0,37.0,0.96391,236318666.0,71427.0,0.97343,2725701.0,306.0,0.9825,6757568.0,264.0,0.99962,982865804.0,0.0,0.9998
M,L,H,H,namd_ID0000003,1,1715,0.95278,847.39,0.35,0.99378,481607.43,1417.16,0.95236,2.86,0.0,1.0,160224149.0,903859.0,0.95409,24666.0,67.0,0.96246,236247239.0,71819.0,0.97314,2725395.0,314.0,0.98239,6757304.0,272.0,0.99958,982865804.0,0.0,0.9998
M,L,H,H,namd_ID0000003,1,1710,0.95,847.04,0.36,0.99337,480190.27,1417.4,0.94956,2.86,0.0,1.0,159320290.0,453899.0,0.94871,24599.0,61.0,0.95985,236175420.0,331306.0,0.97284,2725081.0,2423.0,0.98228,6757032.0,12.0,0.99954,982865804.0,65536.0,0.9998
M,L,H,H,namd_ID0000003,1,1705,0.94722,846.68,0.33,0.99295,478772.87,1416.96,0.94676,2.86,0.0,1.0,158866391.0,454461.0,0.94601,24538.0,63.0,0.95747,235844114.0,376133.0,0.97148,2722658.0,2819.0,0.98141,6757020.0,84.0,0.99954,982800268.0,0.0,0.99973
M,L,H,H,namd_ID0000003,1,1700,0.94444,846.35,0.23,0.99256,477355.91,1416.97,0.94396,2.86,0.0,1.0,158411930.0,452492.0,0.9433,24475.0,37.0,0.95501,235467981.0,71384.0,0.96993,2719839.0,306.0,0.98039,6756936.0,8.0,0.99953,982800268.0,0.0,0.99973
