atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,H,L,namd_ID0000003,1,1748,1.0,868.28,0.3,1.0,501269.56,1441.93,1.0,11.69,0.0,1.0,322235589.0,905632.0,1.0,37878.0,76.0,1.0,235888121.0,78307.0,1.0,2711585.0,335.0,1.0,6861072.0,0.0,1.0,1000044384.0,0.0,1.0
M,L,H,L,namd_ID0000003,1,1743,0.99714,867.98,0.32,0.99965,499827.63,1441.8,0.99712,11.69,0.0,1.0,321329957.0,905001.0,0.99719,37802.0,75.0,0.99799,235809814.0,77907.0,0.99967,2711250.0,335.0,0.99988,6861072.0,8.0,1.0,1000044384.0,0.0,1.0
M,L,H,L,namd_ID0000003,1,1738,0.99428,867.66,0.33,0.99929,498385.83,1442.36,0.99425,11.69,0.0,1.0,320424956.0,909398.0,0.99438,37727.0,172.0,0.99601,235731907.0,1911015.0,0.99934,2710915.0,15392.0,0.99975,6861064.0,104.0,1.0,1000044384.0,65536.0,1.0
M,L,H,L,namd_ID0000003,1,1733,0.99142,867.33,0.29,0.99891,496943.47,1442.02,0.99137,11.69,0.0,1.0,319515558.0,905236.0,0.99156,37555.0,82.0,0.99147,233820892.0,279942.0,0.99124,2695523.0,1995.0,0.99408,6860960.0,16.0,0.99998,999978848.0,65536.0,0.99993
M,L,H,L,namd_ID0000003,1,1728,0.98856,867.04,0.44,0.99857,495501.45,1441.82,0.98849,11.69,0.0,1.0,318610322.0,904949.0,0.98875,37473.0,74.0,0.98931,233540950.0,77531.0,0.99005,2693528.0,333.0,0.99334,6860944.0,268.0,0.99998,999913312.0,65536.0,0.99987
M,L,H,L,namd_ID0000003,1,1723,0.9857,866.6,0.33,0.99807,494059.63,1442.18,0.98562,11.69,0.0,1.0,317705373.0,905987.0,0.98594,37399.0,82.0,0.98735,233463419.0,81173.0,0.98972,2693195.0,347.0,0.99322,6860676.0,8.0,0.99994,999847776.0,0.0,0.9998
M,L,H,L,namd_ID0000003,1,1718,0.98284,866.27,0.31,0.99769,492617.45,1441.93,0.98274,11.69,0.01,1.0,316799386.0,907316.0,0.98313,37317.0,115.0,0.98519,233382246.0,588475.0,0.98938,2692848.0,4589.0,0.99309,6860668.0,272.0,0.99994,999847776.0,65536.0,0.9998
M,L,H,L,namd_ID0000003,1,1713,0.97998,865.96,0.28,0.99733,491175.52,1442.02,0.97986,11.68,0.0,0.99914,315892070.0,904966.0,0.98031,37202.0,74.0,0.98215,232793771.0,77486.0,0.98688,2688259.0,333.0,0.9914,6860396.0,4.0,0.9999,999782240.0,0.0,0.99974
M,L,H,L,namd_ID0000003,1,1708,0.97712,865.68,0.23,0.99701,489733.5,1442.56,0.97699,11.68,0.0,0.99914,314987104.0,904953.0,0.97751,37128.0,74.0,0.9802,232716285.0,77314.0,0.98655,2687926.0,333.0,0.99127,6860392.0,8.0,0.9999,999782240.0,0.0,0.99974
M,L,H,L,namd_ID0000003,1,1703,0.97426,865.45,0.34,0.99674,488290.94,1442.22,0.97411,11.68,0.0,0.99914,314082151.0,906286.0,0.9747,37054.0,99.0,0.97825,232638971.0,488604.0,0.98623,2687593.0,3699.0,0.99115,6860384.0,72.0,0.9999,999782240.0,65536.0,0.99974
M,L,H,L,namd_ID0000003,1,1698,0.9714,865.11,0.53,0.99635,486848.72,1442.02,0.97123,11.68,0.0,0.99914,313175865.0,911442.0,0.97188,36955.0,237.0,0.97563,232150367.0,3683201.0,0.98415,2683894.0,30031.0,0.98979,6860312.0,328.0,0.99989,999716704.0,0.0,0.99967
M,L,H,L,namd_ID0000003,1,1693,0.96854,864.58,0.29,0.99574,485406.7,1441.96,0.96835,11.68,0.0,0.99914,312264423.0,904988.0,0.96906,36718.0,74.0,0.96938,228467166.0,77503.0,0.96854,2653863.0,333.0,0.97871,6859984.0,4.0,0.99984,999716704.0,0.0,0.99967
M,L,H,L,namd_ID0000003,1,1688,0.96568,864.29,0.29,0.9954,483964.74,1442.08,0.96548,11.68,0.0,0.99914,311359435.0,904994.0,0.96625,36644.0,74.0,0.96742,228389663.0,77446.0,0.96821,2653530.0,333.0,0.97859,6859980.0,8.0,0.99984,999716704.0,0.0,0.99967
