atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,H,L,sassena_ID0000006,1,1027,1.0,217.46,0.05,1.0,73903.28,360.58,1.0,14.31,0.0,1.0,3542087.0,0.0,1.0,8430.0,0.0,1.0,868862958.0,27801.0,1.0,191678.0,145.0,1.0,4577016.0,0.0,1.0,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,1022,0.99513,217.41,0.06,0.99977,73542.7,360.53,0.99512,14.31,0.0,1.0,3542087.0,168.0,1.0,8430.0,24.0,1.0,868835157.0,27921.0,0.99997,191533.0,163.0,0.99924,4577016.0,0.0,1.0,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,1017,0.99026,217.35,0.07,0.99949,73182.17,361.28,0.99024,14.31,0.0,1.0,3541919.0,28.0,0.99995,8406.0,4.0,0.99715,868807236.0,27801.0,0.99994,191370.0,145.0,0.99839,4577016.0,0.0,1.0,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,1012,0.98539,217.28,0.1,0.99917,72820.89,360.48,0.98535,14.31,0.0,1.0,3541891.0,476.0,0.99994,8402.0,68.0,0.99668,868779435.0,28161.0,0.9999,191225.0,199.0,0.99764,4577016.0,0.0,1.0,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,1007,0.98053,217.18,0.1,0.99871,72460.41,360.54,0.98048,14.31,0.0,1.0,3541415.0,0.0,0.99981,8334.0,0.0,0.98861,868751274.0,27801.0,0.99987,191026.0,145.0,0.9966,4577016.0,200.0,1.0,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,1002,0.97566,217.08,0.09,0.99825,72099.87,360.53,0.9756,14.31,0.0,1.0,3541415.0,0.0,0.99981,8334.0,0.0,0.98861,868723473.0,27794.0,0.99984,190881.0,145.0,0.99584,4576816.0,0.0,0.99996,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,997,0.97079,216.99,0.16,0.99784,71739.34,360.5,0.97072,14.31,0.0,1.0,3541415.0,0.0,0.99981,8334.0,0.0,0.98861,868695679.0,27729.0,0.99981,190736.0,145.0,0.99509,4576816.0,0.0,0.99996,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,992,0.96592,216.83,0.18,0.9971,71378.84,358.26,0.96584,14.31,0.0,1.0,3541415.0,132.0,0.99981,8334.0,19.0,0.98861,868667950.0,27869.0,0.99978,190591.0,166.0,0.99433,4576816.0,0.0,0.99996,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,987,0.96105,216.65,0.07,0.99628,71020.58,359.78,0.96099,14.31,0.0,1.0,3541283.0,204.0,0.99977,8315.0,29.0,0.98636,868640081.0,27829.0,0.99974,190425.0,160.0,0.99346,4576816.0,260.0,0.99996,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,982,0.95618,216.58,0.09,0.99595,70660.8,360.51,0.95613,14.31,0.0,1.0,3541079.0,336.0,0.99972,8286.0,48.0,0.98292,868612252.0,27969.0,0.99971,190265.0,181.0,0.99263,4576556.0,0.0,0.9999,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,977,0.95131,216.49,0.09,0.99554,70300.29,360.49,0.95125,14.31,0.0,1.0,3540743.0,0.0,0.99962,8238.0,0.0,0.97722,868584283.0,27729.0,0.99968,190084.0,145.0,0.99168,4576556.0,0.0,0.9999,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,972,0.94645,216.4,0.08,0.99513,69939.8,360.46,0.94637,14.31,0.0,1.0,3540743.0,0.0,0.99962,8238.0,0.0,0.97722,868556554.0,27729.0,0.99965,189939.0,145.0,0.99093,4576556.0,0.0,0.9999,257822644.0,0.0,1.0
M,L,H,L,sassena_ID0000006,1,967,0.94158,216.32,0.07,0.99476,69579.34,360.49,0.94149,14.31,0.0,1.0,3540743.0,0.0,0.99962,8238.0,0.0,0.97722,868528825.0,27729.0,0.99962,189794.0,145.0,0.99017,4576556.0,0.0,0.9999,257822644.0,0.0,1.0
