atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,L,H,namd_ID0000003,1,187,1.0,768.61,0.44,1.0,51145.12,1441.62,1.0,2.3,0.0,1.0,20515864.0,452453.0,1.0,5907.0,38.0,1.0,85900689.0,72926.0,1.0,1574900.0,313.0,1.0,6811944.0,12.0,1.0,989107152.0,65536.0,1.0
M,L,L,H,namd_ID0000003,1,182,0.97326,768.17,0.42,0.99943,49703.5,1448.57,0.97181,2.3,0.0,1.0,20063411.0,452459.0,0.97795,5869.0,38.0,0.99357,85827763.0,72701.0,0.99915,1574587.0,313.0,0.9998,6811932.0,24.0,1.0,989041616.0,65536.0,0.99993
M,L,L,H,namd_ID0000003,1,177,0.94652,767.75,0.73,0.99888,48254.93,1448.61,0.94349,2.3,0.0,1.0,19610952.0,458691.0,0.95589,5831.0,192.0,0.98713,85755062.0,3219417.0,0.9983,1574274.0,26122.0,0.9996,6811908.0,1352.0,0.99999,988976080.0,77824.0,0.99987
M,L,L,H,namd_ID0000003,1,172,0.91979,767.02,0.6,0.99793,46806.32,1445.57,0.91517,2.3,0.0,1.0,19152261.0,452533.0,0.93353,5639.0,39.0,0.95463,82535645.0,122925.0,0.96083,1548152.0,727.0,0.98302,6810556.0,28.0,0.9998,988898256.0,131072.0,0.99979
M,L,L,H,namd_ID0000003,1,167,0.89305,766.42,0.47,0.99715,45360.75,1441.68,0.8869,2.3,0.0,1.0,18699728.0,452777.0,0.91148,5600.0,39.0,0.94803,82412720.0,73681.0,0.9594,1547425.0,315.0,0.98255,6810528.0,24.0,0.99979,988767184.0,131072.0,0.99966
M,L,L,H,namd_ID0000003,1,162,0.86631,765.95,0.5,0.99654,43919.07,1441.8,0.85871,2.3,0.0,1.0,18246951.0,452768.0,0.88941,5561.0,39.0,0.94143,82339039.0,72747.0,0.95854,1547110.0,313.0,0.98235,6810504.0,32.0,0.99979,988636112.0,131072.0,0.99952
M,L,L,H,namd_ID0000003,1,157,0.83957,765.45,0.77,0.99589,42477.27,1442.44,0.83052,2.3,0.0,1.0,17794183.0,456707.0,0.86734,5522.0,130.0,0.93482,82266292.0,1799818.0,0.95769,1546797.0,14572.0,0.98216,6810472.0,188.0,0.99978,988505040.0,196608.0,0.99939
M,L,L,H,namd_ID0000003,1,152,0.81283,764.68,0.61,0.99489,41034.83,1458.1,0.80232,2.3,0.0,1.0,17337476.0,452593.0,0.84508,5392.0,41.0,0.91282,80466474.0,173671.0,0.93674,1532225.0,1147.0,0.9729,6810284.0,24.0,0.99976,988308432.0,65536.0,0.99919
M,L,L,H,namd_ID0000003,1,147,0.7861,764.07,0.52,0.99409,39576.73,1441.53,0.77381,2.3,0.0,1.0,16884883.0,452454.0,0.82302,5351.0,38.0,0.90587,80292803.0,72685.0,0.93472,1531078.0,313.0,0.97217,6810260.0,24.0,0.99975,988242896.0,131072.0,0.99913
M,L,L,H,namd_ID0000003,1,142,0.75936,763.55,0.64,0.99342,38135.2,1442.65,0.74563,2.3,0.0,1.0,16432429.0,452461.0,0.80096,5313.0,38.0,0.89944,80220118.0,72801.0,0.93387,1530765.0,313.0,0.97198,6810236.0,24.0,0.99975,988111824.0,131072.0,0.99899
