atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,L,H,sassena_ID0000005,1,140,1.0,1314.34,40.57,1.0,9062.77,320.08,1.0,10.1,0.0,1.0,208255.0,840.0,1.0,3926.0,120.0,1.0,52543325.0,28586.0,1.0,75577.0,253.0,1.0,1810704.0,16.0,1.0,254431396.0,0.0,1.0
M,L,L,H,sassena_ID0000005,1,135,0.96429,1273.77,38.38,0.96913,8742.69,322.23,0.96468,10.1,0.0,1.0,207415.0,896.0,0.99597,3806.0,128.0,0.96943,52514739.0,28346.0,0.99946,75324.0,217.0,0.99665,1810688.0,16.0,0.99999,254431396.0,131072.0,1.0
M,L,L,H,sassena_ID0000005,1,130,0.92857,1235.39,39.43,0.93993,8420.46,321.1,0.92913,10.1,0.0,1.0,206519.0,762.0,0.99166,3678.0,97.0,0.93683,52486393.0,28880.0,0.99892,75107.0,219.0,0.99378,1810672.0,4.0,0.99998,254300324.0,65536.0,0.99948
M,L,L,H,sassena_ID0000005,1,125,0.89286,1195.96,40.24,0.90993,8099.36,320.33,0.8937,10.1,0.0,1.0,205757.0,929.0,0.98801,3581.0,121.0,0.91212,52457513.0,28460.0,0.99837,74888.0,235.0,0.99088,1810668.0,12.0,0.99998,254234788.0,132.0,0.99923
M,L,L,H,sassena_ID0000005,1,120,0.85714,1155.72,39.9,0.87932,7779.03,320.67,0.85835,10.1,0.0,1.0,204828.0,756.0,0.98354,3460.0,108.0,0.8813,52429053.0,28472.0,0.99783,74653.0,235.0,0.98777,1810656.0,4.0,0.99997,254234656.0,65536.0,0.99923
M,L,L,H,sassena_ID0000005,1,115,0.82143,1115.82,39.85,0.84896,7458.36,320.76,0.82297,10.1,0.0,1.0,204072.0,952.0,0.97991,3352.0,136.0,0.8538,52400581.0,28580.0,0.99728,74418.0,253.0,0.98466,1810652.0,0.0,0.99997,254169120.0,0.0,0.99897
M,L,L,H,sassena_ID0000005,1,110,0.78571,1075.97,41.37,0.81864,7137.6,319.26,0.78757,10.1,0.0,1.0,203120.0,728.0,0.97534,3216.0,104.0,0.81915,52372001.0,28278.0,0.99674,74165.0,217.0,0.98132,1810652.0,0.0,0.99997,254169120.0,0.0,0.99897
M,L,L,H,sassena_ID0000005,1,105,0.75,1034.6,41.12,0.78716,6818.34,319.37,0.75235,10.1,0.0,1.0,202392.0,756.0,0.97185,3112.0,108.0,0.79266,52343723.0,28268.0,0.9962,73948.0,217.0,0.97845,1810652.0,8.0,0.99997,254169120.0,0.0,0.99897
M,L,L,H,sassena_ID0000005,1,100,0.71429,993.48,38.81,0.75588,6498.97,321.82,0.71711,10.1,0.0,1.0,201636.0,700.0,0.96822,3004.0,100.0,0.76516,52315455.0,28388.0,0.99566,73731.0,235.0,0.97557,1810644.0,4.0,0.99997,254169120.0,65536.0,0.99897
M,L,L,H,sassena_ID0000005,1,95,0.67857,954.67,41.08,0.72635,6177.15,319.39,0.6816,10.1,0.0,1.0,200936.0,1036.0,0.96486,2904.0,148.0,0.73968,52287067.0,28520.0,0.99512,73496.0,253.0,0.97247,1810640.0,12.0,0.99996,254103584.0,0.0,0.99871
M,L,L,H,sassena_ID0000005,1,90,0.64286,913.59,40.98,0.69509,5857.76,319.52,0.64635,10.1,0.0,1.0,199900.0,840.0,0.95988,2756.0,120.0,0.70199,52258547.0,28388.0,0.99458,73243.0,235.0,0.96912,1810628.0,4.0,0.99996,254103584.0,65536.0,0.99871
M,L,L,H,sassena_ID0000005,1,85,0.60714,872.61,39.7,0.66391,5538.24,320.85,0.6111,10.1,0.0,1.0,199060.0,879.0,0.95585,2636.0,102.0,0.67142,52230159.0,28802.0,0.99404,73008.0,219.0,0.96601,1810624.0,16.0,0.99996,254038048.0,0.0,0.99845
M,L,L,H,sassena_ID0000005,1,80,0.57143,832.91,40.51,0.63371,5217.39,320.0,0.57569,10.1,0.0,1.0,198181.0,756.0,0.95163,2534.0,108.0,0.64544,52201357.0,28268.0,0.99349,72789.0,217.0,0.96311,1810608.0,4.0,0.99995,254038048.0,65536.0,0.99845
M,L,L,H,sassena_ID0000005,1,75,0.53571,792.4,40.53,0.60289,4897.39,320.27,0.54039,10.1,0.0,1.0,197425.0,812.0,0.948,2426.0,116.0,0.61793,52173089.0,28388.0,0.99295,72572.0,235.0,0.96024,1810604.0,16.0,0.99994,253972512.0,0.0,0.9982
