atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,L,L,namd_ID0000003,1,205,1.0,765.34,0.39,1.0,57106.71,1442.73,1.0,5.82,0.0,1.0,35446234.0,904956.0,1.0,7040.0,75.0,1.0,84996040.0,77429.0,1.0,1565794.0,335.0,1.0,6802964.0,0.0,1.0,988279684.0,0.0,1.0
M,L,L,L,namd_ID0000003,1,200,0.97561,764.95,0.51,0.99949,55663.98,1442.64,0.97474,5.82,0.0,1.0,34541278.0,906905.0,0.97447,6965.0,104.0,0.98935,84918611.0,385110.0,0.99909,1565459.0,2846.0,0.99979,6802964.0,276.0,1.0,988279684.0,0.0,1.0
M,L,L,L,namd_ID0000003,1,195,0.95122,764.44,0.67,0.99882,54221.34,1442.55,0.94947,5.82,0.0,1.0,33634373.0,458454.0,0.94888,6861.0,191.0,0.97457,84533501.0,3522608.0,0.99456,1562613.0,28634.0,0.99797,6802688.0,1096.0,0.99996,988279684.0,65536.0,1.0
M,L,L,L,namd_ID0000003,1,190,0.92683,763.77,0.56,0.99795,52778.79,1442.4,0.92421,5.82,0.0,1.0,33175919.0,903817.0,0.93595,6670.0,66.0,0.94744,81010893.0,72202.0,0.95311,1533979.0,317.0,0.97968,6801592.0,28.0,0.9998,988214148.0,0.0,0.99993
M,L,L,L,namd_ID0000003,1,185,0.90244,763.21,0.43,0.99722,51336.39,1442.08,0.89896,5.82,0.0,1.0,32272102.0,905588.0,0.91045,6604.0,76.0,0.93807,80938691.0,77798.0,0.95226,1533662.0,335.0,0.97948,6801564.0,24.0,0.99979,988214148.0,131072.0,0.99993
M,L,L,L,namd_ID0000003,1,180,0.87805,762.78,0.5,0.99666,49894.31,1444.68,0.8737,5.82,0.0,1.0,31366514.0,904974.0,0.8849,6528.0,75.0,0.92727,80860893.0,77274.0,0.95135,1533327.0,335.0,0.97926,6801540.0,272.0,0.99979,988083076.0,0.0,0.9998
M,L,L,L,namd_ID0000003,1,175,0.85366,762.28,0.58,0.996,48449.63,1441.59,0.84841,5.82,0.0,1.0,30461540.0,458709.0,0.85937,6453.0,167.0,0.91662,80783619.0,2410200.0,0.95044,1532992.0,19470.0,0.97905,6801268.0,2696.0,0.99975,988083076.0,65536.0,0.9998
M,L,L,L,namd_ID0000003,1,170,0.82927,761.7,0.58,0.99524,47008.04,1443.3,0.82316,5.82,0.0,1.0,30002831.0,905921.0,0.84643,6286.0,131.0,0.8929,78373419.0,1644176.0,0.92208,1513522.0,13245.0,0.96662,6798572.0,928.0,0.99935,988017540.0,71680.0,0.99973
M,L,L,L,namd_ID0000003,1,165,0.80488,761.12,0.59,0.99449,45564.74,1441.88,0.79789,5.82,0.0,1.0,29096910.0,904928.0,0.82087,6155.0,74.0,0.87429,76729243.0,76803.0,0.90274,1500277.0,333.0,0.95816,6797644.0,8.0,0.99922,987945860.0,65668.0,0.99966
M,L,L,L,namd_ID0000003,1,160,0.78049,760.53,0.53,0.99372,44122.86,1441.99,0.77264,5.82,0.0,1.0,28191982.0,904898.0,0.79534,6081.0,74.0,0.86378,76652440.0,76873.0,0.90184,1499944.0,333.0,0.95794,6797636.0,260.0,0.99922,987880192.0,0.0,0.9996
M,L,L,L,namd_ID0000003,1,155,0.7561,760.0,0.51,0.99302,42680.87,1442.46,0.74739,5.82,0.0,1.0,27287084.0,905588.0,0.76982,6007.0,78.0,0.85327,76575567.0,78703.0,0.90093,1499611.0,339.0,0.95773,6797376.0,28.0,0.99918,987880192.0,0.0,0.9996
M,L,L,L,namd_ID0000003,1,150,0.73171,759.49,0.96,0.99236,41238.41,1452.9,0.72213,5.82,0.0,1.0,26381496.0,461478.0,0.74427,5929.0,279.0,0.84219,76496864.0,4943533.0,0.90001,1499272.0,40300.0,0.95752,6797348.0,1124.0,0.99917,987880192.0,180224.0,0.9996
M,L,L,L,namd_ID0000003,1,145,0.70732,758.53,0.5,0.9911,39785.51,1442.79,0.69669,5.82,0.0,1.0,25920018.0,904940.0,0.73125,5650.0,74.0,0.80256,71553331.0,76963.0,0.84184,1458972.0,333.0,0.93178,6796224.0,16.0,0.99901,987699968.0,65800.0,0.99941
M,L,L,L,namd_ID0000003,1,140,0.68293,758.03,0.68,0.99045,38342.72,1442.7,0.67142,5.82,0.0,1.0,25015078.0,904944.0,0.70572,5576.0,75.0,0.79205,71476368.0,77376.0,0.84094,1458639.0,335.0,0.93157,6796208.0,20.0,0.99901,987634168.0,65536.0,0.99935
