atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,L,L,sassena_ID0000006,1,109,1.0,195.97,0.46,1.0,7349.81,360.19,1.0,7.15,0.0,1.0,215063.0,1064.0,1.0,4166.0,152.0,1.0,95202124.0,28489.0,1.0,82156.0,271.0,1.0,1960336.0,0.0,1.0,253696940.0,0.0,1.0
M,L,L,L,sassena_ID0000006,1,104,0.95413,195.51,0.42,0.99765,6989.62,360.33,0.95099,7.15,0.0,1.0,213999.0,1316.0,0.99505,4014.0,188.0,0.96351,95173635.0,28539.0,0.9997,81885.0,289.0,0.9967,1960336.0,236.0,1.0,253696940.0,0.0,1.0
M,L,L,L,sassena_ID0000006,1,99,0.90826,195.09,0.43,0.99551,6629.29,360.19,0.90197,7.15,0.0,1.0,212683.0,1411.0,0.98893,3826.0,178.0,0.91839,95145096.0,29071.0,0.9994,81596.0,291.0,0.99318,1960100.0,0.0,0.99988,253696940.0,0.0,1.0
M,L,L,L,sassena_ID0000006,1,94,0.86239,194.66,0.46,0.99332,6269.1,360.04,0.85296,7.15,0.0,1.0,211272.0,1064.0,0.98237,3648.0,152.0,0.87566,95116025.0,28298.0,0.9991,81305.0,253.0,0.98964,1960100.0,0.0,0.99988,253696940.0,0.0,1.0
M,L,L,L,sassena_ID0000006,1,89,0.81651,194.2,0.46,0.99097,5909.06,360.09,0.80397,7.15,0.0,1.0,210208.0,1204.0,0.97743,3496.0,172.0,0.83917,95087727.0,28418.0,0.9988,81052.0,271.0,0.98656,1960100.0,508.0,0.99988,253696940.0,0.0,1.0
M,L,L,L,sassena_ID0000006,1,84,0.77064,193.74,0.54,0.98862,5548.97,360.09,0.75498,7.15,0.0,1.0,209004.0,1260.0,0.97183,3324.0,180.0,0.79789,95059309.0,28418.0,0.9985,80781.0,271.0,0.98326,1959592.0,0.0,0.99962,253696940.0,0.0,1.0
M,L,L,L,sassena_ID0000006,1,79,0.72477,193.2,0.55,0.98587,5188.88,360.08,0.70599,7.15,0.0,1.0,207744.0,1204.0,0.96597,3144.0,172.0,0.75468,95030891.0,28538.0,0.9982,80510.0,289.0,0.97996,1959592.0,272.0,0.99962,253696940.0,0.0,1.0
M,L,L,L,sassena_ID0000006,1,74,0.6789,192.65,0.65,0.98306,4828.8,360.04,0.657,7.15,0.0,1.0,206540.0,1176.0,0.96037,2972.0,168.0,0.71339,95002353.0,28298.0,0.9979,80221.0,253.0,0.97645,1959320.0,0.0,0.99948,253696940.0,0.0,1.0
M,L,L,L,sassena_ID0000006,1,69,0.63303,192.0,0.6,0.97974,4468.76,360.01,0.60801,7.15,0.0,1.0,205364.0,1327.0,0.9549,2804.0,166.0,0.67307,94974055.0,28951.0,0.9976,79968.0,273.0,0.97337,1959320.0,0.0,0.99948,253696940.0,140.0,1.0
M,L,L,L,sassena_ID0000006,1,64,0.58716,191.4,0.71,0.97668,4108.75,359.76,0.55903,7.15,0.0,1.0,204037.0,1288.0,0.94873,2638.0,184.0,0.63322,94945104.0,28538.0,0.9973,79695.0,289.0,0.97004,1959320.0,0.0,0.99948,253696800.0,0.0,1.0
