"","time","atoms","cores","timesteps","outfreq","task","stime","utime","iowait","write_bytes","read_bytes","syscw","syscr","vmSize","vmRSS"
"1",1,"L","L","L","L","namd_ID0000002",336.59,2036.68,2.67,5878667,25033792,8144,699680,492612504,3080812
"2",2,"L","L","L","L","namd_ID0000002",21.34,3584.32,0,1181262,8948892,1145,72370,209164,19240
"3",3,"L","L","L","L","namd_ID0000002",3.14,1438.9,0,468422,890845,335,6798,196876,584
"4",1,"L","L","L","L","namd_ID0000002",357.41,3218.01,6.94,6341842,27469196,8378,719255,492568856,3081952
"5",2,"L","L","L","L","namd_ID0000002",12.18,2872.6,0,942270,5276163,836,42306,102540,12856
"6",1,"L","L","L","L","namd_ID0000002",0.02,0,0,4251272,4198082,271,708,56504,2228
"7",2,"L","L","L","L","namd_ID0000002",352.67,3104.8,5.4,2095700,28580526,8338,762171,482419516,3030344
"8",3,"L","L","L","L","namd_ID0000002",11.62,3519.3,0,945642,329269,728,1396,328480,1900
"9",1,"L","L","L","L","namd_ID0000002",352.47,3019.12,1.96,6350621,31703148,8609,753937,492763764,3097488
"10",2,"L","L","L","L","namd_ID0000002",14.03,3591.44,0,1168757,325517,763,1402,197004,1884
"11",1,"L","L","L","L","namd_ID0000003",670.56,3411.07,2.14,5495902,45540714,2644,881371,984676120,6119664
"12",2,"L","L","L","L","namd_ID0000003",53.91,7165.95,0,2695544,402857,494,1743,196744,876
"13",3,"L","L","L","L","namd_ID0000003",11.74,6197.13,0,2902772,331471,411,1431,65536,572
"14",4,"L","L","L","L","namd_ID0000003",8.35,8019.09,0,2711088,474377,602,2056,327680,2176
"15",5,"L","L","L","L","namd_ID0000003",4.31,7214.23,0,2918753,414340,523,1788,393216,892
"16",6,"L","L","L","L","namd_ID0000003",3.19,7230.68,0,2919614,415026,538,1791,131072,1108
"17",7,"L","L","L","L","namd_ID0000003",0.48,1441.8,0,448462,77236,74,333,132,292
