atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,H,H,namd_ID0000003,1,1504,1.0,813.94,0.11,1.0,428946.42,1442.14,1.0,8.4,0.0,1.0,86230245.0,224280.0,1.0,19117.0,37.0,1.0,81080014.0,72865.0,1.0,1085823.0,311.0,1.0,6192332.0,4.0,1.0,995119460.0,0.0,1.0
L,H,H,H,namd_ID0000003,1,1499,0.99668,813.83,0.16,0.99986,427504.28,1441.99,0.99664,8.4,0.0,1.0,86005965.0,224264.0,0.9974,19080.0,37.0,0.99806,81007149.0,72821.0,0.9991,1085512.0,311.0,0.99971,6192328.0,0.0,1.0,995119460.0,0.0,1.0
L,H,H,H,namd_ID0000003,1,1493,0.99269,813.67,0.2,0.99967,426062.29,1442.08,0.99328,8.4,0.0,1.0,85781701.0,226018.0,0.9948,19043.0,58.0,0.99613,80934328.0,79162.0,0.9982,1085201.0,338.0,0.99943,6192328.0,272.0,1.0,995119460.0,0.0,1.0
L,H,H,H,namd_ID0000003,1,1488,0.98936,813.47,0.21,0.99942,424620.21,1442.48,0.98991,8.4,0.0,1.0,85555683.0,226268.0,0.99218,18985.0,52.0,0.9931,80855166.0,78358.0,0.99723,1084863.0,329.0,0.99912,6192056.0,12.0,0.99996,995119460.0,65536.0,1.0
L,H,H,H,namd_ID0000003,1,1483,0.98604,813.26,0.16,0.99916,423177.73,1442.67,0.98655,8.4,0.0,1.0,85329415.0,447372.0,0.98955,18933.0,67.0,0.99038,80776808.0,73173.0,0.99626,1084534.0,319.0,0.99881,6192044.0,12.0,0.99995,995053924.0,65536.0,0.99993
L,H,H,H,namd_ID0000003,1,1478,0.98271,813.1,0.15,0.99897,421735.06,1442.15,0.98319,8.4,0.0,1.0,84882043.0,225061.0,0.98437,18866.0,45.0,0.98687,80703635.0,77146.0,0.99536,1084215.0,327.0,0.99852,6192032.0,4.0,0.99995,994988388.0,65536.0,0.99987
L,H,H,H,namd_ID0000003,1,1473,0.97939,812.95,0.2,0.99878,420292.91,1442.24,0.97983,8.4,0.0,1.0,84656982.0,225521.0,0.98176,18821.0,55.0,0.98452,80626489.0,74747.0,0.99441,1083888.0,322.0,0.99822,6192028.0,0.0,0.99995,994922852.0,0.0,0.9998
L,H,H,H,namd_ID0000003,1,1468,0.97606,812.75,0.21,0.99854,418850.67,1442.52,0.97646,8.4,0.0,1.0,84431461.0,225371.0,0.97914,18766.0,46.0,0.98164,80551742.0,78080.0,0.99348,1083566.0,329.0,0.99792,6192028.0,12.0,0.99995,994922852.0,0.0,0.9998
L,H,H,H,namd_ID0000003,1,1463,0.97274,812.54,0.13,0.99828,417408.15,1442.28,0.9731,8.4,0.0,1.0,84206090.0,224239.0,0.97653,18720.0,38.0,0.97923,80473662.0,73153.0,0.99252,1083237.0,313.0,0.99762,6192016.0,4.0,0.99995,994922852.0,65536.0,0.9998
L,H,H,H,namd_ID0000003,1,1458,0.96941,812.41,0.26,0.99812,415965.87,1442.53,0.96974,8.4,0.0,1.0,83981851.0,449424.0,0.97393,18682.0,91.0,0.97725,80400509.0,78946.0,0.99162,1082924.0,342.0,0.99733,6192012.0,0.0,0.99995,994857316.0,0.0,0.99974
