atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,H,H,sassena_ID0000005,1,186,1.0,692.64,9.25,1.0,24604.72,696.92,1.0,2.77,0.0,1.0,292310.0,560.0,1.0,3732.0,80.0,1.0,250374938.0,54178.0,1.0,191797.0,346.0,1.0,4007864.0,0.0,1.0,498505552.0,0.0,1.0
L,H,H,H,sassena_ID0000005,1,181,0.97312,683.39,9.05,0.98665,23907.8,697.13,0.97168,2.77,0.0,1.0,291750.0,28.0,0.99808,3652.0,4.0,0.97856,250320760.0,53758.0,0.99978,191451.0,283.0,0.9982,4007864.0,0.0,1.0,498505552.0,0.0,1.0
L,H,H,H,sassena_ID0000005,1,176,0.94624,674.34,8.74,0.97358,23210.67,697.52,0.94334,2.77,0.0,1.0,291722.0,560.0,0.99799,3648.0,80.0,0.97749,250267002.0,54178.0,0.99957,191168.0,346.0,0.99672,4007864.0,0.0,1.0,498505552.0,0.0,1.0
L,H,H,H,sassena_ID0000005,1,171,0.91935,665.6,9.31,0.96096,22513.15,697.0,0.91499,2.77,0.0,1.0,291162.0,84.0,0.99607,3568.0,12.0,0.95606,250212824.0,53918.0,0.99935,190822.0,307.0,0.99492,4007864.0,12.0,1.0,498505552.0,0.0,1.0
L,H,H,H,sassena_ID0000005,1,166,0.89247,656.29,9.11,0.94752,21816.15,697.08,0.88667,2.77,0.0,1.0,291078.0,792.0,0.99579,3556.0,81.0,0.95284,250158906.0,286074.0,0.99914,190515.0,2307.0,0.99332,4007852.0,460.0,1.0,498505552.0,0.0,1.0
L,H,H,H,sassena_ID0000005,1,161,0.86559,647.18,8.97,0.93437,21119.07,697.2,0.85833,2.77,0.0,1.0,290286.0,180.0,0.99308,3475.0,15.0,0.93114,249872832.0,134650.0,0.99799,188208.0,1007.0,0.98129,4007392.0,108.0,0.99988,498505552.0,65536.0,1.0
L,H,H,H,sassena_ID0000005,1,156,0.83871,638.21,8.86,0.92142,20421.87,697.33,0.83,2.77,0.0,1.0,290106.0,504.0,0.99246,3460.0,72.0,0.92712,249738182.0,53998.0,0.99746,187201.0,319.0,0.97604,4007284.0,4.0,0.99986,498440016.0,65536.0,0.99987
L,H,H,H,sassena_ID0000005,1,151,0.81183,629.35,8.92,0.90862,19724.54,697.27,0.80166,2.77,0.0,1.0,289602.0,168.0,0.99074,3388.0,24.0,0.90782,249684184.0,53978.0,0.99724,186882.0,316.0,0.97437,4007280.0,0.0,0.99985,498374480.0,0.0,0.99974
L,H,H,H,sassena_ID0000005,1,146,0.78495,620.43,9.1,0.89575,19027.27,697.03,0.77332,2.77,0.0,1.0,289434.0,420.0,0.99016,3364.0,60.0,0.90139,249630206.0,53958.0,0.99703,186566.0,313.0,0.97273,4007280.0,0.0,0.99985,498374480.0,0.0,0.99974
L,H,H,H,sassena_ID0000005,1,141,0.75806,611.33,9.49,0.88261,18330.24,696.96,0.74499,2.77,0.0,1.0,289014.0,280.0,0.98872,3304.0,40.0,0.88532,249576248.0,53978.0,0.99681,186253.0,316.0,0.97109,4007280.0,0.0,0.99985,498374480.0,0.0,0.99974
