atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,H,L,namd_ID0000002,1,215,1.0,761.5,0.39,1.0,59750.75,1431.71,1.0,4.04,0.0,1.0,15981214.0,234605.0,1.0,16611.0,163.0,1.0,63611740.0,102306.0,1.0,1002102.0,436.0,1.0,6139192.0,292.0,1.0,981025408.0,0.0,1.0
L,H,H,L,namd_ID0000002,1,210,0.97674,761.11,0.33,0.99949,58319.04,1431.68,0.97604,4.04,0.0,1.0,15746609.0,235840.0,0.98532,16448.0,179.0,0.99019,63509434.0,103418.0,0.99839,1001666.0,443.0,0.99956,6138900.0,40.0,0.99995,981025408.0,131072.0,1.0
L,H,H,L,namd_ID0000002,1,205,0.95349,760.78,0.44,0.99905,56887.36,1431.9,0.95208,4.04,0.0,1.0,15510769.0,235476.0,0.97056,16269.0,172.0,0.97941,63406016.0,107190.0,0.99677,1001223.0,454.0,0.99912,6138860.0,20.0,0.99995,980894336.0,196608.0,0.99987
L,H,H,L,namd_ID0000002,1,200,0.93023,760.34,0.18,0.99848,55455.46,1432.86,0.92811,4.04,0.0,1.0,15275293.0,235258.0,0.95583,16097.0,165.0,0.96906,63298826.0,103216.0,0.99508,1000769.0,438.0,0.99867,6138840.0,0.0,0.99994,980697728.0,0.0,0.99967
L,H,H,L,namd_ID0000002,1,195,0.90698,760.16,0.52,0.99824,54022.6,1432.27,0.90413,4.04,0.0,1.0,15040035.0,236687.0,0.94111,15932.0,188.0,0.95912,63195610.0,108180.0,0.99346,1000331.0,461.0,0.99823,6138840.0,268.0,0.99994,980697728.0,0.0,0.99967
L,H,H,L,namd_ID0000002,1,190,0.88372,759.64,1.78,0.99756,52590.33,1431.21,0.88016,4.04,0.0,1.0,14803348.0,245194.0,0.9263,15744.0,494.0,0.94781,63087430.0,7899761.0,0.99176,999870.0,64504.0,0.99777,6138572.0,17164.0,0.9999,980697728.0,6280.0,0.99967
L,H,H,L,namd_ID0000002,1,185,0.86047,757.86,0.4,0.99522,51159.12,1437.36,0.85621,4.04,0.0,1.0,14558154.0,235636.0,0.91095,15250.0,177.0,0.91807,55187669.0,102388.0,0.86757,935366.0,439.0,0.9334,6121408.0,548.0,0.9971,980691448.0,65668.0,0.99966
L,H,H,L,namd_ID0000002,1,180,0.83721,757.46,0.46,0.99469,49721.76,1431.98,0.83215,4.04,0.0,1.0,14322518.0,236776.0,0.89621,15073.0,183.0,0.90741,55085281.0,113438.0,0.86596,934927.0,476.0,0.93297,6120860.0,280.0,0.99701,980625780.0,65668.0,0.99959
L,H,H,L,namd_ID0000002,1,175,0.81395,757.0,0.51,0.99409,48289.78,1432.09,0.80819,4.04,0.0,1.0,14085742.0,234622.0,0.88139,14890.0,163.0,0.89639,54971843.0,102381.0,0.86418,934451.0,436.0,0.93249,6120580.0,20.0,0.99697,980560112.0,65536.0,0.99953
L,H,H,L,namd_ID0000002,1,170,0.7907,756.49,0.46,0.99342,46857.69,1435.59,0.78422,4.04,0.0,1.0,13851120.0,459802.0,0.86671,14727.0,217.0,0.88658,54869462.0,108334.0,0.86257,934015.0,467.0,0.93206,6120560.0,548.0,0.99697,980494576.0,65536.0,0.99946
L,H,H,L,namd_ID0000002,1,165,0.76744,756.03,0.43,0.99282,45422.1,1432.28,0.76019,4.04,0.0,1.0,13391318.0,234612.0,0.83794,14510.0,163.0,0.87352,54761128.0,102261.0,0.86087,933548.0,436.0,0.93159,6120012.0,268.0,0.99688,980429040.0,0.0,0.99939
