atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,H,L,sassena_ID0000006,1,135,1.0,398.7,0.55,1.0,18186.63,720.57,1.0,2.53,0.0,1.0,331301.0,560.0,1.0,4982.0,80.0,1.0,476117381.0,55317.0,1.0,190906.0,352.0,1.0,4903840.0,0.0,1.0,509621896.0,0.0,1.0
L,H,H,L,sassena_ID0000006,1,130,0.96296,398.15,0.46,0.99862,17466.06,720.86,0.96038,2.53,0.0,1.0,330741.0,460.0,0.99831,4902.0,55.0,0.98394,476062064.0,132665.0,0.99988,190554.0,998.0,0.99816,4903840.0,252.0,1.0,509621896.0,252.0,1.0
L,H,H,L,sassena_ID0000006,1,125,0.92593,397.69,0.62,0.99747,16745.2,720.41,0.92074,2.53,0.0,1.0,330281.0,612.0,0.99692,4847.0,66.0,0.9729,475929399.0,213313.0,0.99961,189556.0,1684.0,0.99293,4903588.0,1204.0,0.99995,509621644.0,500.0,1.0
L,H,H,L,sassena_ID0000006,1,120,0.88889,397.07,0.57,0.99591,16024.79,720.52,0.88113,2.53,0.0,1.0,329669.0,628.0,0.99507,4781.0,79.0,0.95965,475716086.0,132671.0,0.99916,187872.0,1011.0,0.98411,4902384.0,448.0,0.9997,509621144.0,0.0,1.0
L,H,H,L,sassena_ID0000006,1,115,0.85185,396.5,0.65,0.99448,15304.27,720.52,0.84151,2.53,0.0,1.0,329041.0,392.0,0.99318,4702.0,56.0,0.9438,475583415.0,55097.0,0.99888,186861.0,319.0,0.97881,4901936.0,4.0,0.99961,509621144.0,0.0,1.0
L,H,H,L,sassena_ID0000006,1,110,0.81481,395.85,0.65,0.99285,14583.75,720.53,0.80189,2.53,0.0,1.0,328649.0,280.0,0.992,4646.0,40.0,0.93256,475528318.0,55099.0,0.99876,186542.0,322.0,0.97714,4901932.0,12.0,0.99961,509621144.0,0.0,1.0
L,H,H,L,sassena_ID0000006,1,105,0.77778,395.2,0.74,0.99122,13863.22,720.78,0.76228,2.53,0.0,1.0,328369.0,588.0,0.99115,4606.0,84.0,0.92453,475473219.0,55175.0,0.99865,186220.0,352.0,0.97545,4901920.0,4.0,0.99961,509621144.0,0.0,1.0
L,H,H,L,sassena_ID0000006,1,100,0.74074,394.46,0.65,0.98937,13142.44,720.49,0.72264,2.53,0.0,1.0,327781.0,640.0,0.98938,4522.0,70.0,0.90767,475418044.0,213233.0,0.99853,185868.0,1695.0,0.97361,4901916.0,872.0,0.99961,509621144.0,252.0,1.0
L,H,H,L,sassena_ID0000006,1,95,0.7037,393.81,0.78,0.98774,12421.95,720.52,0.68303,2.53,0.0,1.0,327141.0,528.0,0.98744,4452.0,54.0,0.89362,475204811.0,210011.0,0.99808,184173.0,1676.0,0.96473,4901044.0,448.0,0.99943,509620892.0,0.0,1.0
L,H,H,L,sassena_ID0000006,1,90,0.66667,393.03,0.73,0.98578,11701.43,720.25,0.64341,2.53,0.0,1.0,326613.0,532.0,0.98585,4398.0,76.0,0.88278,474994800.0,54973.0,0.99764,182497.0,322.0,0.95595,4900596.0,516.0,0.99934,509620892.0,0.0,1.0
