atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,L,H,namd_ID0000002,1,25,1.0,701.73,18.71,1.0,5093.21,1423.47,1.0,4.26,0.0,1.0,5878411.0,17614.0,1.0,8890.0,317.0,1.0,44397068.0,4181577.0,1.0,860159.0,34034.0,1.0,6133068.0,13700.0,1.0,984944932.0,83972.0,1.0
L,H,L,H,namd_ID0000002,1,20,0.8,683.02,33.98,0.97334,3669.74,1408.17,0.72052,4.26,0.0,1.0,5860797.0,266080.0,0.997,8573.0,1408.0,0.96434,40215491.0,777911.0,0.90581,826125.0,2411.0,0.96043,6119368.0,3868.0,0.99777,984860960.0,65536.0,0.99991
L,H,L,H,namd_ID0000002,1,15,0.6,649.04,124.07,0.92491,2261.57,1666.42,0.44404,4.26,0.0,1.0,5594717.0,892915.0,0.95174,7165.0,4541.0,0.80596,39437580.0,1557442.0,0.88829,823714.0,4691.0,0.95763,6115500.0,15952.0,0.99714,984795424.0,65536.0,0.99985
L,H,L,H,namd_ID0000002,1,9,0.36,524.97,524.97,0.74811,595.15,595.12,0.11685,4.26,4.26,1.0,4701802.0,450208.0,0.79984,2624.0,2352.0,0.29516,37880138.0,33682559.0,0.85321,819023.0,818321.0,0.95218,6099548.0,6097344.0,0.99453,984729888.0,984673380.0,0.99978
L,H,L,H,namd_ID0000002,1,0,0.0,0.0,0.0,0.0,0.03,0.03,1.0e-05,0.0,0.0,0.0,4251594.0,4251594.0,0.72326,272.0,272.0,0.0306,4197579.0,4197579.0,0.09455,702.0,702.0,0.00082,2204.0,2204.0,0.00036,56508.0,56508.0,6.0e-05
L,H,L,H,namd_ID0000002,2,25,1.0,688.89,17.19,1.0,5191.93,1424.93,1.0,1.29,0.0,1.0,5899045.0,12403.0,1.0,9070.0,149.0,1.0,43714726.0,103057.0,1.0,854237.0,439.0,1.0,6110644.0,1784.0,1.0,984694900.0,0.0,1.0
L,H,L,H,namd_ID0000002,2,20,0.8,671.7,32.02,0.97505,3767.0,1410.27,0.72555,1.29,0.0,1.0,5886642.0,197277.0,0.9979,8921.0,1069.0,0.98357,43611669.0,554222.0,0.99764,853798.0,1761.0,0.99949,6108860.0,3132.0,0.99971,984694900.0,0.0,1.0
L,H,L,H,namd_ID0000002,2,15,0.6,639.68,95.7,0.92857,2356.73,1506.41,0.45392,1.29,0.0,1.0,5689365.0,935156.0,0.96446,7852.0,4856.0,0.86571,43057447.0,4652095.0,0.98496,852037.0,29569.0,0.99742,6105728.0,22392.0,0.9992,984694900.0,6144.0,1.0
L,H,L,H,namd_ID0000002,2,9,0.36,543.98,543.98,0.78965,850.32,850.3,0.16378,1.29,1.29,1.0,4754209.0,502595.0,0.80593,2996.0,2725.0,0.33032,38405352.0,34207754.0,0.87854,822468.0,821763.0,0.96281,6083336.0,6081064.0,0.99553,984688756.0,984566804.0,0.99999
L,H,L,H,namd_ID0000002,2,0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,4251614.0,4251614.0,0.72073,271.0,271.0,0.02988,4197598.0,4197598.0,0.09602,705.0,705.0,0.00083,2272.0,2272.0,0.00037,121952.0,121952.0,0.00012
