atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,L,L,namd_ID0000003,1,156,1.0,763.27,0.54,1.0,42505.47,1442.14,1.0,4.87,0.0,1.0,20316359.0,450256.0,1.0,5133.0,84.0,1.0,40791579.0,82897.0,1.0,833800.0,351.0,1.0,6136288.0,20.0,1.0,986591908.0,65536.0,1.0
L,H,L,L,namd_ID0000003,1,151,0.96795,762.73,0.44,0.99929,41063.33,1442.47,0.96607,4.87,0.0,1.0,19866103.0,671606.0,0.97784,5049.0,104.0,0.98364,40708682.0,77617.0,0.99797,833449.0,341.0,0.99958,6136268.0,288.0,1.0,986526372.0,0.0,0.99993
L,H,L,L,namd_ID0000003,1,146,0.9359,762.29,0.58,0.99872,39620.86,1445.93,0.93214,4.87,0.0,1.0,19194497.0,451652.0,0.94478,4945.0,108.0,0.96337,40631065.0,88297.0,0.99607,833108.0,376.0,0.99917,6135980.0,1332.0,0.99995,986526372.0,0.0,0.99993
L,H,L,L,namd_ID0000003,1,141,0.90385,761.71,0.49,0.99796,38174.93,1442.54,0.89812,4.87,0.0,1.0,18742845.0,448463.0,0.92255,4837.0,75.0,0.94233,40542768.0,77514.0,0.9939,832732.0,335.0,0.99872,6134648.0,1088.0,0.99973,986526372.0,65536.0,0.99993
L,H,L,L,namd_ID0000003,1,136,0.87179,761.22,0.54,0.99731,36732.39,1443.99,0.86418,4.87,0.0,1.0,18294382.0,673324.0,0.90048,4762.0,114.0,0.92772,40465254.0,83364.0,0.992,832397.0,359.0,0.99832,6133560.0,312.0,0.99956,986460836.0,131072.0,0.99987
L,H,L,L,namd_ID0000003,1,131,0.83974,760.68,0.56,0.99661,35288.4,1441.98,0.83021,4.87,0.0,1.0,17621058.0,450513.0,0.86733,4648.0,100.0,0.90551,40381890.0,83516.0,0.98996,832038.0,360.0,0.99789,6133248.0,40.0,0.9995,986329764.0,131072.0,0.99973
L,H,L,L,namd_ID0000003,1,126,0.80769,760.12,0.55,0.99587,33846.42,1442.15,0.79628,4.87,0.0,1.0,17170545.0,672694.0,0.84516,4548.0,111.0,0.88603,40298374.0,82015.0,0.98791,831678.0,355.0,0.99746,6133208.0,324.0,0.9995,986198692.0,131072.0,0.9996
L,H,L,L,namd_ID0000003,1,121,0.77564,759.57,0.82,0.99515,32404.27,1484.21,0.76236,4.87,0.0,1.0,16497851.0,448463.0,0.81205,4437.0,74.0,0.86441,40216359.0,77077.0,0.9859,831323.0,333.0,0.99703,6132884.0,548.0,0.99945,986067620.0,131072.0,0.99947
L,H,L,L,namd_ID0000003,1,116,0.74359,758.75,1.55,0.99408,30920.06,2853.83,0.72744,4.87,0.0,1.0,16049388.0,688348.0,0.78997,4363.0,214.0,0.84999,40139282.0,159020.0,0.98401,830990.0,686.0,0.99663,6132336.0,72.0,0.99936,985936548.0,65536.0,0.99934
L,H,L,L,namd_ID0000003,1,111,0.71154,757.2,0.0,0.99205,28066.23,0.0,0.6603,4.87,0.0,1.0,15361040.0,435492.0,0.75609,4149.0,0.0,0.8083,39980262.0,0.0,0.98011,830304.0,0.0,0.99581,6132264.0,0.0,0.99934,985871012.0,0.0,0.99927
L,H,L,L,namd_ID0000003,1,106,0.67949,757.2,0.75,0.99205,28066.23,1441.91,0.6603,4.87,0.0,1.0,14925548.0,671569.0,0.73466,4149.0,103.0,0.8083,39980262.0,76877.0,0.98011,830304.0,339.0,0.99581,6132264.0,32.0,0.99934,985871012.0,0.0,0.99927
L,H,L,L,namd_ID0000003,1,101,0.64744,756.45,0.91,0.99106,26624.32,1441.36,0.62637,4.87,0.0,1.0,14253979.0,450430.0,0.7016,4046.0,92.0,0.78823,39903385.0,86336.0,0.97823,829965.0,367.0,0.9954,6132232.0,300.0,0.99934,985871012.0,65536.0,0.99927
L,H,L,L,namd_ID0000003,1,96,0.61538,755.54,1.06,0.98987,25182.96,1441.68,0.59246,4.87,0.0,1.0,13803549.0,450307.0,0.67943,3954.0,93.0,0.77031,39817049.0,79702.0,0.97611,829598.0,346.0,0.99496,6131932.0,1076.0,0.99929,985805476.0,131072.0,0.9992
L,H,L,L,namd_ID0000003,1,91,0.58333,754.48,0.83,0.98848,23741.28,1441.4,0.55855,4.87,0.0,1.0,13353242.0,672663.0,0.65727,3861.0,111.0,0.75219,39737347.0,81556.0,0.97416,829252.0,355.0,0.99455,6130856.0,56.0,0.99911,985674404.0,196608.0,0.99907
L,H,L,L,namd_ID0000003,1,86,0.55128,753.65,1.48,0.9874,22299.88,1517.07,0.52464,4.87,0.0,1.0,12680579.0,448433.0,0.62416,3750.0,75.0,0.73057,39655791.0,77258.0,0.97216,828897.0,335.0,0.99412,6130800.0,544.0,0.99911,985477796.0,0.0,0.99887
L,H,L,L,namd_ID0000003,1,81,0.51923,752.17,1.3,0.98546,20782.81,1441.21,0.48894,4.87,0.0,1.0,12232146.0,629136.0,0.60208,3675.0,113.0,0.71596,39578533.0,83202.0,0.97026,828562.0,362.0,0.99372,6130256.0,300.0,0.99902,985477796.0,0.0,0.99887
