atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,H,L,L,sassena_ID0000006,1,19,1.0,325.13,50.18,1.0,1087.55,723.24,1.0,2.23,0.0,1.0,242961.0,2573.0,1.0,1065.0,226.0,1.0,61206922.0,59329.0,1.0,125677.0,463.0,1.0,3508404.0,5560.0,1.0,506702348.0,239616.0,1.0
L,H,L,L,sassena_ID0000006,1,13,0.68421,274.95,274.94,0.84566,364.31,364.31,0.33498,2.23,2.23,1.0,240388.0,103503.0,0.98941,839.0,825.0,0.78779,61147593.0,61056652.0,0.99903,125214.0,125013.0,0.99632,3502844.0,3500588.0,0.99842,506462732.0,506406184.0,0.99953
L,H,L,L,sassena_ID0000006,1,5,0.26316,0.01,0.0,3.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136885.0,260.0,0.5634,14.0,1.0,0.01315,90941.0,533.0,0.00149,201.0,3.0,0.0016,2256.0,12.0,0.00064,56548.0,0.0,0.00011
L,H,L,L,sassena_ID0000006,1,0,0.0,0.01,0.01,3.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136625.0,136625.0,0.56233,13.0,13.0,0.01221,90408.0,90408.0,0.00148,198.0,198.0,0.00158,2244.0,2244.0,0.00064,56548.0,56548.0,0.00011
L,H,L,L,sassena_ID0000006,2,14,1.0,323.19,119.61,1.0,913.29,698.13,1.0,30.69,6.34,1.0,238154.0,95494.0,1.0,861.0,816.0,1.0,61776857.0,61282272.0,1.0,130568.0,124519.0,1.0,3505668.0,1652940.0,1.0,506713188.0,115196468.0,1.0
L,H,L,L,sassena_ID0000006,2,7,0.5,203.58,203.57,0.62991,215.16,215.15,0.23559,24.35,24.35,0.79342,142660.0,6027.0,0.59902,45.0,32.0,0.05226,494585.0,404174.0,0.00801,6049.0,5851.0,0.04633,1852728.0,1850472.0,0.52849,391516720.0,391460172.0,0.77266
L,H,L,L,sassena_ID0000006,2,0,0.0,0.01,0.01,3.0e-05,0.01,0.01,1.0e-05,0.0,0.0,0.0,136633.0,136633.0,0.57372,13.0,13.0,0.0151,90411.0,90411.0,0.00146,198.0,198.0,0.00152,2256.0,2256.0,0.00064,56548.0,56548.0,0.00011
L,H,L,L,sassena_ID0000006,3,14,1.0,318.27,63.92,1.0,1010.84,733.68,1.0,31.22,0.01,1.0,241371.0,7109.0,1.0,932.0,245.0,1.0,61179571.0,244669.0,1.0,125489.0,1979.0,1.0,3506204.0,44168.0,1.0,506761948.0,331056.0,1.0
L,H,L,L,sassena_ID0000006,3,9,0.64286,254.35,254.34,0.79916,277.16,277.16,0.27419,31.21,31.21,0.99968,234262.0,97647.0,0.97055,687.0,674.0,0.73712,60934902.0,60844499.0,0.996,123510.0,123312.0,0.98423,3462036.0,3459788.0,0.9874,506430892.0,506308936.0,0.99935
L,H,L,L,sassena_ID0000006,3,0,0.0,0.01,0.01,3.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136615.0,136615.0,0.566,13.0,13.0,0.01395,90403.0,90403.0,0.00148,198.0,198.0,0.00158,2248.0,2248.0,0.00064,121956.0,121956.0,0.00024
L,H,L,L,sassena_ID0000006,4,5,1.0,322.3,63.37,1.0,1004.19,736.43,1.0,2.63,0.12,1.0,240479.0,11710.0,1.0,1028.0,253.0,1.0,61325767.0,242550.0,1.0,126814.0,1883.0,1.0,3508204.0,53908.0,1.0,506810884.0,7430560.0,1.0
L,H,L,L,sassena_ID0000006,4,0,0.0,258.93,258.93,0.80338,267.76,267.76,0.26664,2.51,2.51,0.95437,228769.0,228769.0,0.95131,775.0,775.0,0.75389,61083217.0,61083217.0,0.99604,124931.0,124931.0,0.98515,3454296.0,3454296.0,0.98463,499380324.0,499380324.0,0.98534
L,H,L,L,sassena_ID0000006,5,10,1.0,327.49,51.49,1.0,1166.09,728.41,1.0,5.36,0.16,1.0,240323.0,81409.0,1.0,978.0,477.0,1.0,61407571.0,5855380.0,1.0,127433.0,16603.0,1.0,3507524.0,207400.0,1.0,506839472.0,4246404.0,1.0
L,H,L,L,sassena_ID0000006,5,5,0.5,276.0,266.27,0.84277,437.68,420.9,0.37534,5.2,4.95,0.97015,158914.0,21773.0,0.66125,501.0,486.0,0.51227,55552191.0,55451116.0,0.90465,110830.0,110529.0,0.86971,3300124.0,3204408.0,0.94087,502593068.0,478030752.0,0.99162
L,H,L,L,sassena_ID0000006,5,0,0.0,9.73,9.73,0.02971,16.78,16.78,0.01439,0.25,0.25,0.04664,137141.0,137141.0,0.57065,15.0,15.0,0.01534,101075.0,101075.0,0.00165,301.0,301.0,0.00236,95716.0,95716.0,0.02729,24562316.0,24562316.0,0.04846
