atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,L,H,H,namd_ID0000003,1,1465,1.0,794.49,0.2,1.0,418830.72,1446.52,1.0,3.29,0.0,1.0,84854429.0,227447.0,1.0,17871.0,71.0,1.0,60325563.0,83982.0,1.0,916819.0,354.0,1.0,6160780.0,0.0,1.0,995136924.0,0.0,1.0
L,L,H,H,namd_ID0000003,1,1460,0.99659,794.29,0.19,0.99975,417384.2,1442.2,0.99655,3.29,0.0,1.0,84626982.0,447385.0,0.99732,17800.0,66.0,0.99603,60241581.0,72829.0,0.99861,916465.0,317.0,0.99961,6160780.0,268.0,1.0,995136924.0,0.0,1.0
L,L,H,H,namd_ID0000003,1,1455,0.99317,794.1,0.16,0.99951,415942.0,1442.65,0.9931,3.29,0.0,1.0,84179597.0,224280.0,0.99205,17734.0,38.0,0.99233,60168752.0,73266.0,0.9974,916148.0,313.0,0.99927,6160512.0,16.0,0.99996,995136924.0,0.0,1.0
L,L,H,H,namd_ID0000003,1,1450,0.98976,793.94,0.16,0.99931,414499.35,1443.69,0.98966,3.29,0.0,1.0,83955317.0,225317.0,0.9894,17696.0,50.0,0.99021,60095486.0,79213.0,0.99619,915835.0,335.0,0.99893,6160496.0,8.0,0.99995,995136924.0,131072.0,1.0
L,L,H,H,namd_ID0000003,1,1445,0.98635,793.78,0.21,0.99911,413055.66,1441.94,0.98621,3.29,0.0,1.0,83730000.0,225269.0,0.98675,17646.0,50.0,0.98741,60016273.0,72959.0,0.99487,915500.0,314.0,0.99856,6160488.0,528.0,0.99995,995005852.0,0.0,0.99987
L,L,H,H,namd_ID0000003,1,1440,0.98294,793.57,0.21,0.99884,411613.72,1442.07,0.98277,3.29,0.0,1.0,83504731.0,225694.0,0.98409,17596.0,47.0,0.98461,59943314.0,78989.0,0.99366,915186.0,331.0,0.99822,6159960.0,0.0,0.99987,995005852.0,0.0,0.99987
L,L,H,H,namd_ID0000003,1,1435,0.97952,793.36,0.23,0.99858,410171.65,1442.22,0.97933,3.29,0.0,1.0,83279037.0,447706.0,0.98143,17549.0,68.0,0.98198,59864325.0,73331.0,0.99235,914855.0,319.0,0.99786,6159960.0,264.0,0.99987,995005852.0,0.0,0.99987
L,L,H,H,namd_ID0000003,1,1430,0.97611,793.13,0.13,0.99829,408729.43,1442.25,0.97588,3.29,0.0,1.0,82831331.0,226298.0,0.97616,17481.0,62.0,0.97818,59790994.0,78831.0,0.99114,914536.0,336.0,0.99751,6159696.0,0.0,0.99982,995005852.0,0.0,0.99987
L,L,H,H,namd_ID0000003,1,1425,0.9727,793.0,0.14,0.99812,407287.18,1442.37,0.97244,3.29,0.0,1.0,82605033.0,224256.0,0.97349,17419.0,38.0,0.97471,59712163.0,73242.0,0.98983,914200.0,313.0,0.99714,6159696.0,12.0,0.99982,995005852.0,0.0,0.99987
L,L,H,H,namd_ID0000003,1,1420,0.96928,792.86,0.25,0.99795,405844.81,1442.84,0.96899,3.29,0.0,1.0,82380777.0,225381.0,0.97085,17381.0,47.0,0.97258,59638921.0,78410.0,0.98862,913887.0,331.0,0.9968,6159684.0,12.0,0.99982,995005852.0,65536.0,0.99987
L,L,H,H,namd_ID0000003,1,1415,0.96587,792.61,0.09,0.99763,404401.97,1443.17,0.96555,3.29,0.0,1.0,82155396.0,449441.0,0.96819,17334.0,91.0,0.96995,59560511.0,78893.0,0.98732,913556.0,342.0,0.99644,6159672.0,4.0,0.99982,994940316.0,65536.0,0.9998
L,L,H,H,namd_ID0000003,1,1410,0.96246,792.52,0.13,0.99752,402958.8,1444.22,0.9621,3.29,0.0,1.0,81705955.0,224254.0,0.9629,17243.0,37.0,0.96486,59481618.0,72821.0,0.98601,913214.0,311.0,0.99607,6159668.0,4.0,0.99982,994874780.0,0.0,0.99974
L,L,H,H,namd_ID0000003,1,1405,0.95904,792.39,0.22,0.99736,401514.58,1442.43,0.95866,3.29,0.0,1.0,81481701.0,224242.0,0.96025,17206.0,38.0,0.96279,59408797.0,73192.0,0.9848,912903.0,313.0,0.99573,6159664.0,0.0,0.99982,994874780.0,0.0,0.99974
L,L,H,H,namd_ID0000003,1,1400,0.95563,792.17,0.15,0.99708,400072.15,1442.12,0.95521,3.29,0.0,1.0,81257459.0,226096.0,0.95761,17168.0,60.0,0.96066,59335605.0,79126.0,0.98359,912590.0,338.0,0.99539,6159664.0,264.0,0.99982,994874780.0,0.0,0.99974
