atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,L,H,H,sassena_ID0000006,1,264,1.0,198.53,0.19,1.0,18529.75,360.53,1.0,10.46,0.0,1.0,239217.0,516.0,1.0,5162.0,63.0,1.0,238878980.0,105177.0,1.0,95741.0,838.0,1.0,2402288.0,532.0,1.0,254724832.0,0.0,1.0
L,L,H,H,sassena_ID0000006,1,259,0.98106,198.34,0.17,0.99904,18169.22,360.4,0.98054,10.46,0.0,1.0,238701.0,616.0,0.99784,5099.0,88.0,0.9878,238773803.0,28239.0,0.99956,94903.0,217.0,0.99125,2401756.0,0.0,0.99978,254724832.0,0.0,1.0
L,L,H,H,sassena_ID0000006,1,254,0.96212,198.17,0.17,0.99819,17808.82,364.22,0.96109,10.46,0.0,1.0,238085.0,516.0,0.99527,5011.0,63.0,0.97075,238745564.0,105451.0,0.99944,94686.0,842.0,0.98898,2401756.0,488.0,0.99978,254724832.0,0.0,1.0
L,L,H,H,sassena_ID0000006,1,249,0.94318,198.0,0.19,0.99733,17444.6,360.46,0.94144,10.46,0.0,1.0,237569.0,420.0,0.99311,4948.0,60.0,0.95854,238640113.0,28119.0,0.999,93844.0,199.0,0.98019,2401268.0,0.0,0.99958,254724832.0,0.0,1.0
L,L,H,H,sassena_ID0000006,1,244,0.92424,197.81,0.26,0.99637,17084.14,360.28,0.92198,10.46,0.0,1.0,237149.0,616.0,0.99136,4888.0,88.0,0.94692,238611994.0,28239.0,0.99888,93645.0,217.0,0.97811,2401268.0,0.0,0.99958,254724832.0,0.0,1.0
L,L,H,H,sassena_ID0000006,1,239,0.9053,197.55,0.21,0.99506,16723.86,360.37,0.90254,10.46,0.0,1.0,236533.0,480.0,0.98878,4800.0,58.0,0.92987,238583755.0,105177.0,0.99876,93428.0,838.0,0.97584,2401268.0,352.0,0.99958,254724832.0,0.0,1.0
L,L,H,H,sassena_ID0000006,1,234,0.88636,197.34,0.17,0.99401,16363.49,360.48,0.88309,10.46,0.0,1.0,236053.0,484.0,0.98677,4742.0,69.0,0.91864,238478578.0,27999.0,0.99832,92590.0,181.0,0.96709,2400916.0,0.0,0.99943,254724832.0,0.0,1.0
L,L,H,H,sassena_ID0000006,1,229,0.86742,197.17,0.23,0.99315,16003.01,360.37,0.86364,10.46,0.0,1.0,235569.0,672.0,0.98475,4673.0,96.0,0.90527,238450579.0,28239.0,0.99821,92409.0,217.0,0.9652,2400916.0,0.0,0.99943,254724832.0,188.0,1.0
L,L,H,H,sassena_ID0000006,1,224,0.84848,196.94,0.22,0.99199,15642.64,360.44,0.84419,10.46,0.0,1.0,234897.0,432.0,0.98194,4577.0,51.0,0.88667,238422340.0,105691.0,0.99809,92192.0,878.0,0.96293,2400916.0,304.0,0.99943,254724644.0,0.0,1.0
L,L,H,H,sassena_ID0000006,1,219,0.82955,196.72,0.14,0.99088,15282.2,360.41,0.82474,10.46,0.0,1.0,234465.0,440.0,0.98014,4526.0,63.0,0.87679,238316649.0,27999.0,0.99765,91314.0,181.0,0.95376,2400612.0,400.0,0.9993,254724644.0,184.0,1.0
