atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,L,H,L,namd_ID0000003,1,1495,1.0,810.31,0.21,1.0,427592.29,1441.95,1.0,4.68,0.0,1.0,169446296.0,449627.0,1.0,32686.0,82.0,1.0,83451681.0,82637.0,1.0,1098511.0,349.0,1.0,6187832.0,0.0,1.0,995868340.0,0.0,1.0
L,L,H,L,namd_ID0000003,1,1490,0.99666,810.1,0.18,0.99974,426150.34,1442.1,0.99663,4.68,0.0,1.0,168996669.0,673310.0,0.99735,32604.0,118.0,0.99749,83369044.0,85382.0,0.99901,1098162.0,367.0,0.99968,6187832.0,0.0,1.0,995868340.0,0.0,1.0
L,L,H,L,namd_ID0000003,1,1485,0.99331,809.92,0.19,0.99952,424708.24,1442.37,0.99326,4.68,0.0,1.0,168323359.0,450654.0,0.99337,32486.0,97.0,0.99388,83283662.0,83033.0,0.99799,1097795.0,354.0,0.99935,6187832.0,12.0,1.0,995868340.0,0.0,1.0
L,L,H,L,namd_ID0000003,1,1480,0.98997,809.73,0.2,0.99928,423265.87,1442.12,0.98988,4.68,0.0,1.0,167872705.0,671644.0,0.99071,32389.0,103.0,0.99091,83200629.0,77697.0,0.99699,1097441.0,339.0,0.99903,6187820.0,264.0,1.0,995868340.0,65536.0,1.0
L,L,H,L,namd_ID0000003,1,1475,0.98662,809.53,0.16,0.99904,421823.75,1442.17,0.98651,4.68,0.0,1.0,167201061.0,673816.0,0.98675,32286.0,124.0,0.98776,83122932.0,89341.0,0.99606,1097102.0,381.0,0.99872,6187556.0,0.0,0.99996,995802804.0,0.0,0.99993
L,L,H,L,namd_ID0000003,1,1470,0.98328,809.37,0.19,0.99884,420381.58,1442.01,0.98314,4.68,0.0,1.0,166527245.0,450199.0,0.98277,32162.0,90.0,0.98397,83033591.0,78619.0,0.99499,1096721.0,338.0,0.99837,6187556.0,4.0,0.99996,995802804.0,0.0,0.99993
L,L,H,L,namd_ID0000003,1,1465,0.97993,809.18,0.21,0.99861,418939.57,1442.21,0.97976,4.68,0.0,1.0,166077046.0,672790.0,0.98012,32072.0,111.0,0.98122,82954972.0,82676.0,0.99405,1096383.0,355.0,0.99806,6187552.0,0.0,0.99995,995802804.0,0.0,0.99993
L,L,H,L,namd_ID0000003,1,1460,0.97659,808.97,0.2,0.99835,417497.36,1441.97,0.97639,4.68,0.0,1.0,165404256.0,449639.0,0.97615,31961.0,84.0,0.97782,82872296.0,83330.0,0.99306,1096028.0,353.0,0.99774,6187552.0,0.0,0.99995,995802804.0,0.0,0.99993
L,L,H,L,namd_ID0000003,1,1455,0.97324,808.77,0.22,0.9981,416055.39,1442.35,0.97302,4.68,0.0,1.0,164954617.0,673619.0,0.97349,31877.0,126.0,0.97525,82788966.0,83719.0,0.99206,1095675.0,364.0,0.99742,6187552.0,4.0,0.99995,995802804.0,0.0,0.99993
L,L,H,L,namd_ID0000003,1,1450,0.9699,808.55,0.11,0.99783,414613.04,1443.11,0.96965,4.68,0.0,1.0,164280998.0,449217.0,0.96952,31751.0,78.0,0.97139,82705247.0,78608.0,0.99106,1095311.0,335.0,0.99709,6187548.0,0.0,0.99995,995802804.0,0.0,0.99993
