atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,L,H,L,sassena_ID0000006,1,527,1.0,216.39,0.1,1.0,37973.99,360.57,1.0,12.18,0.0,1.0,272277.0,476.0,1.0,6386.0,68.0,1.0,469725042.0,27788.0,1.0,131730.0,163.0,1.0,3141404.0,540.0,1.0,255961256.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,522,0.99051,216.29,0.07,0.99954,37613.42,360.4,0.9905,12.18,0.0,1.0,271801.0,140.0,0.99825,6318.0,20.0,0.98935,469697254.0,27788.0,0.99994,131567.0,163.0,0.99876,3140864.0,0.0,0.99983,255961256.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,517,0.98102,216.22,0.11,0.99921,37253.02,360.56,0.98101,12.18,0.0,1.0,271661.0,364.0,0.99774,6298.0,52.0,0.98622,469669466.0,28028.0,0.99988,131404.0,199.0,0.99753,3140864.0,472.0,0.99983,255961256.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,512,0.97154,216.11,0.15,0.99871,36892.46,360.56,0.97152,12.18,0.0,1.0,271297.0,264.0,0.9964,6246.0,27.0,0.97808,469641438.0,105022.0,0.99982,131205.0,804.0,0.99601,3140392.0,312.0,0.99968,255961256.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,507,0.96205,215.96,0.1,0.99801,36531.9,360.64,0.96202,12.18,0.0,1.0,271033.0,140.0,0.99543,6219.0,20.0,0.97385,469536416.0,27788.0,0.9996,130401.0,163.0,0.98991,3140080.0,0.0,0.99958,255961256.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,502,0.95256,215.86,0.1,0.99755,36171.26,360.44,0.95253,12.18,0.0,1.0,270893.0,252.0,0.99492,6199.0,36.0,0.97072,469508628.0,28028.0,0.99954,130238.0,199.0,0.98867,3140080.0,4.0,0.99958,255961256.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,497,0.94307,215.76,0.14,0.99709,35810.82,360.49,0.94304,12.18,0.0,1.0,270641.0,460.0,0.99399,6163.0,55.0,0.96508,469480600.0,105232.0,0.99948,130039.0,824.0,0.98716,3140076.0,152.0,0.99958,255961256.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,492,0.93359,215.62,0.07,0.99644,35450.33,360.39,0.93354,12.18,0.0,1.0,270181.0,168.0,0.9923,6108.0,24.0,0.95647,469375368.0,27788.0,0.99926,129215.0,163.0,0.98091,3139924.0,44.0,0.99953,255961256.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,487,0.9241,215.55,0.21,0.99612,35089.94,360.41,0.92405,12.18,0.0,1.0,270013.0,252.0,0.99168,6084.0,36.0,0.95271,469347580.0,27908.0,0.9992,129052.0,181.0,0.97967,3139880.0,16.0,0.99951,255961256.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,482,0.91461,215.34,0.09,0.99515,34729.53,360.55,0.91456,12.18,0.0,1.0,269761.0,224.0,0.99076,6048.0,32.0,0.94707,469319672.0,27788.0,0.99914,128871.0,163.0,0.9783,3139864.0,0.0,0.99951,255961256.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,477,0.90512,215.25,0.17,0.99473,34368.98,360.33,0.90507,12.18,0.0,1.0,269537.0,280.0,0.98994,6016.0,40.0,0.94206,469291884.0,27788.0,0.99908,128708.0,163.0,0.97706,3139864.0,0.0,0.99951,255961256.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,472,0.89564,215.08,0.09,0.99395,34008.65,360.5,0.89558,12.18,0.0,1.0,269257.0,336.0,0.98891,5976.0,48.0,0.9358,469264096.0,27908.0,0.99902,128545.0,181.0,0.97582,3139864.0,264.0,0.99951,255961256.0,252.0,1.0
L,L,H,L,sassena_ID0000006,1,467,0.88615,214.99,0.09,0.99353,33648.15,360.47,0.88608,12.18,0.0,1.0,268921.0,308.0,0.98767,5928.0,44.0,0.92828,469236188.0,27908.0,0.99896,128364.0,181.0,0.97445,3139600.0,120.0,0.99943,255961004.0,252.0,1.0
L,L,H,L,sassena_ID0000006,1,462,0.87666,214.9,0.11,0.99311,33287.68,360.52,0.87659,12.18,0.0,1.0,268613.0,56.0,0.98654,5884.0,8.0,0.92139,469208280.0,27788.0,0.9989,128183.0,163.0,0.97307,3139480.0,76.0,0.99939,255960752.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,457,0.86717,214.79,0.14,0.99261,32927.16,360.39,0.8671,12.18,0.0,1.0,268557.0,320.0,0.98634,5876.0,35.0,0.92014,469180492.0,105262.0,0.99884,128020.0,840.0,0.97184,3139404.0,468.0,0.99936,255960752.0,252.0,1.0
L,L,H,L,sassena_ID0000006,1,452,0.85769,214.65,0.09,0.99196,32566.77,360.53,0.85761,12.18,0.0,1.0,268237.0,392.0,0.98516,5841.0,56.0,0.91466,469075230.0,27788.0,0.99862,127180.0,163.0,0.96546,3138936.0,0.0,0.99921,255960500.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,447,0.8482,214.56,0.16,0.99154,32206.24,362.3,0.84811,12.18,0.0,1.0,267845.0,56.0,0.98372,5785.0,8.0,0.90589,469047442.0,27788.0,0.99856,127017.0,163.0,0.96422,3138936.0,0.0,0.99921,255960500.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,442,0.83871,214.4,0.12,0.9908,31843.94,360.4,0.83857,12.18,0.0,1.0,267789.0,488.0,0.98352,5777.0,59.0,0.90464,469019654.0,105472.0,0.9985,126854.0,860.0,0.96298,3138936.0,140.0,0.99921,255960500.0,248.0,1.0
L,L,H,L,sassena_ID0000006,1,437,0.82922,214.28,0.12,0.99025,31483.54,360.52,0.82908,12.18,0.0,1.0,267301.0,252.0,0.98172,5718.0,36.0,0.8954,468914182.0,27668.0,0.99827,125994.0,145.0,0.95646,3138796.0,0.0,0.99917,255960252.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,432,0.81973,214.16,0.19,0.98969,31123.02,360.43,0.81959,12.18,0.0,1.0,267049.0,112.0,0.9808,5682.0,16.0,0.88976,468886514.0,27908.0,0.99821,125849.0,181.0,0.95536,3138796.0,0.0,0.99917,255960252.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,427,0.81025,213.97,0.08,0.98882,30762.59,360.4,0.8101,12.18,0.0,1.0,266937.0,336.0,0.98039,5666.0,48.0,0.88725,468858606.0,27908.0,0.99816,125668.0,181.0,0.95398,3138796.0,0.0,0.99917,255960252.0,0.0,1.0
L,L,H,L,sassena_ID0000006,1,422,0.80076,213.89,0.14,0.98845,30402.19,360.42,0.80061,12.18,0.0,1.0,266601.0,280.0,0.97915,5618.0,40.0,0.87974,468830698.0,27668.0,0.9981,125487.0,145.0,0.95261,3138796.0,0.0,0.99917,255960252.0,0.0,1.0
