atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,L,L,H,namd_ID0000003,1,155,1.0,760.52,0.56,1.0,42792.78,1441.74,1.0,3.83,0.0,1.0,12232407.0,224240.0,1.0,3628.0,38.0,1.0,40877037.0,72778.0,1.0,835201.0,313.0,1.0,6127668.0,284.0,1.0,986297156.0,65536.0,1.0
L,L,L,H,namd_ID0000003,1,150,0.96774,759.96,0.57,0.99926,41351.04,1441.82,0.96631,3.83,0.0,1.0,12008167.0,225789.0,0.98167,3590.0,54.0,0.98953,40804259.0,76759.0,0.99822,834888.0,330.0,0.99963,6127384.0,544.0,0.99995,986231620.0,131072.0,0.99993
L,L,L,H,namd_ID0000003,1,145,0.93548,759.39,0.62,0.99851,39909.22,1441.66,0.93262,3.83,0.0,1.0,11782378.0,224727.0,0.96321,3536.0,46.0,0.97464,40727500.0,74272.0,0.99634,834558.0,319.0,0.99923,6126840.0,292.0,0.99986,986100548.0,65536.0,0.9998
L,L,L,H,namd_ID0000003,1,140,0.90323,758.77,0.6,0.9977,38467.56,1441.9,0.89893,3.83,0.0,1.0,11557651.0,449076.0,0.94484,3490.0,78.0,0.96196,40653228.0,78687.0,0.99452,834239.0,339.0,0.99885,6126548.0,308.0,0.99982,986035012.0,65536.0,0.99973
L,L,L,H,namd_ID0000003,1,135,0.87097,758.17,0.63,0.99691,37025.66,1442.03,0.86523,3.83,0.0,1.0,11108575.0,224234.0,0.90813,3412.0,38.0,0.94046,40574541.0,72553.0,0.9926,833900.0,313.0,0.99844,6126240.0,816.0,0.99977,985969476.0,65536.0,0.99967
L,L,L,H,namd_ID0000003,1,130,0.83871,757.54,0.56,0.99608,35583.63,1441.63,0.83153,3.83,0.0,1.0,10884341.0,226270.0,0.8898,3374.0,62.0,0.92999,40501988.0,78215.0,0.99082,833587.0,336.0,0.99807,6125424.0,540.0,0.99963,985903940.0,0.0,0.9996
L,L,L,H,namd_ID0000003,1,125,0.80645,756.98,0.69,0.99535,34142.0,1441.75,0.79784,3.83,0.0,1.0,10658071.0,224224.0,0.8713,3312.0,37.0,0.9129,40423773.0,72353.0,0.98891,833251.0,311.0,0.99767,6124884.0,272.0,0.99955,985903940.0,0.0,0.9996
L,L,L,H,namd_ID0000003,1,120,0.77419,756.29,0.66,0.99444,32700.25,1441.51,0.76415,3.83,0.0,1.0,10433847.0,224228.0,0.85297,3275.0,38.0,0.9027,40351420.0,72616.0,0.98714,832940.0,313.0,0.99729,6124612.0,8.0,0.9995,985903940.0,0.0,0.9996
L,L,L,H,namd_ID0000003,1,115,0.74194,755.63,0.76,0.99357,31258.74,1441.58,0.73047,3.83,0.0,1.0,10209619.0,227296.0,0.83464,3237.0,69.0,0.89223,40278804.0,82437.0,0.98537,832627.0,350.0,0.99692,6124604.0,8.0,0.9995,985903940.0,0.0,0.9996
L,L,L,H,namd_ID0000003,1,110,0.70968,754.87,0.74,0.99257,29817.16,1441.7,0.69678,3.83,0.0,1.0,9982323.0,447476.0,0.81606,3168.0,68.0,0.87321,40196367.0,73410.0,0.98335,832277.0,321.0,0.9965,6124596.0,40.0,0.9995,985903940.0,0.0,0.9996
L,L,L,H,namd_ID0000003,1,105,0.67742,754.13,0.94,0.9916,28375.46,1441.9,0.66309,3.83,0.0,1.0,9534847.0,224214.0,0.77947,3100.0,38.0,0.85447,40122957.0,72427.0,0.98155,831956.0,313.0,0.99611,6124556.0,572.0,0.99949,985903940.0,65536.0,0.9996
L,L,L,H,namd_ID0000003,1,100,0.64516,753.19,1.07,0.99036,26933.56,1708.86,0.62939,3.83,0.0,1.0,9310633.0,224230.0,0.76114,3062.0,38.0,0.84399,40050530.0,72435.0,0.97978,831643.0,313.0,0.99574,6123984.0,284.0,0.9994,985838404.0,262144.0,0.99953
L,L,L,H,namd_ID0000003,1,94,0.60645,752.12,1.15,0.98895,25224.7,1441.21,0.58946,3.83,0.0,1.0,9086403.0,226926.0,0.74281,3024.0,64.0,0.83352,39978095.0,78845.0,0.97801,831330.0,338.0,0.99537,6123700.0,288.0,0.99935,985576260.0,0.0,0.99927
L,L,L,H,namd_ID0000003,1,89,0.57419,750.97,0.97,0.98744,23783.49,1441.1,0.55578,3.83,0.0,1.0,8859477.0,224238.0,0.72426,2960.0,37.0,0.81588,39899250.0,71941.0,0.97608,830992.0,311.0,0.99496,6123412.0,36.0,0.99931,985576260.0,65536.0,0.99927
L,L,L,H,namd_ID0000003,1,84,0.54194,750.0,1.32,0.98617,22342.39,1441.06,0.52211,3.83,0.0,1.0,8635239.0,448468.0,0.70593,2923.0,76.0,0.80568,39827309.0,77541.0,0.97432,830681.0,337.0,0.99459,6123376.0,288.0,0.9993,985510724.0,196608.0,0.9992
L,L,L,H,namd_ID0000003,1,79,0.50968,748.68,1.42,0.98443,20901.33,1440.58,0.48843,3.83,0.0,1.0,8186771.0,226296.0,0.66927,2847.0,63.0,0.78473,39749768.0,78300.0,0.97242,830344.0,338.0,0.99418,6123088.0,288.0,0.99925,985314116.0,65536.0,0.999
L,L,L,H,namd_ID0000003,1,74,0.47742,747.26,1.49,0.98256,19460.75,1441.21,0.45477,3.83,0.0,1.0,7960475.0,224246.0,0.65077,2784.0,37.0,0.76736,39671468.0,72018.0,0.97051,830006.0,311.0,0.99378,6122800.0,12.0,0.99921,985248580.0,65536.0,0.99894
L,L,L,H,namd_ID0000003,1,69,0.44516,745.77,1.82,0.98061,18019.54,1440.33,0.42109,3.83,0.0,1.0,7736229.0,224252.0,0.63244,2747.0,38.0,0.75717,39599450.0,72351.0,0.96875,829695.0,313.0,0.99341,6122788.0,556.0,0.9992,985183044.0,0.0,0.99887
L,L,L,H,namd_ID0000003,1,64,0.4129,743.95,2.16,0.97821,16579.21,1440.01,0.38743,3.83,0.0,1.0,7511977.0,226257.0,0.6141,2709.0,62.0,0.74669,39527099.0,78232.0,0.96698,829382.0,338.0,0.99303,6122232.0,300.0,0.99911,985183044.0,65536.0,0.99887
L,L,L,H,namd_ID0000003,1,59,0.38065,741.79,2.45,0.97537,15139.2,1439.71,0.35378,3.83,0.0,1.0,7285720.0,448509.0,0.59561,2647.0,75.0,0.7296,39448867.0,76845.0,0.96506,829044.0,333.0,0.99263,6121932.0,300.0,0.99906,985117508.0,196608.0,0.9988
L,L,L,H,namd_ID0000003,1,54,0.34839,739.34,2.84,0.97215,13699.49,1439.39,0.32014,3.83,0.0,1.0,6837211.0,225042.0,0.55894,2572.0,41.0,0.70893,39372022.0,73262.0,0.96318,828711.0,315.0,0.99223,6121632.0,804.0,0.99901,984920900.0,0.0,0.9986
L,L,L,H,namd_ID0000003,1,49,0.31613,736.5,3.56,0.96842,12260.1,1438.66,0.2865,3.83,0.0,1.0,6612169.0,224376.0,0.54055,2531.0,39.0,0.69763,39298760.0,72483.0,0.96139,828396.0,313.0,0.99185,6120828.0,540.0,0.99888,984920900.0,65536.0,0.9986
L,L,L,H,namd_ID0000003,1,44,0.28387,732.94,4.47,0.96374,10821.44,1437.82,0.25288,3.83,0.0,1.0,6387793.0,226444.0,0.5222,2492.0,63.0,0.68688,39226277.0,78041.0,0.95962,828083.0,336.0,0.99148,6120288.0,756.0,0.9988,984855364.0,0.0,0.99854
L,L,L,H,namd_ID0000003,1,39,0.25161,728.47,5.94,0.95786,9383.62,1436.77,0.21928,3.83,0.0,1.0,6161349.0,224392.0,0.50369,2429.0,38.0,0.66951,39148236.0,72087.0,0.95771,827747.0,311.0,0.99108,6119532.0,12.0,0.99867,984855364.0,65536.0,0.99854
L,L,L,H,namd_ID0000003,1,34,0.21935,722.53,8.0,0.95005,7946.85,1434.12,0.18571,3.83,0.0,1.0,5936957.0,448954.0,0.48535,2391.0,79.0,0.65904,39076149.0,78035.0,0.95594,827436.0,337.0,0.9907,6119520.0,548.0,0.99867,984789828.0,0.0,0.99847
L,L,L,H,namd_ID0000003,1,29,0.1871,714.53,11.63,0.93953,6512.73,1430.66,0.15219,3.83,0.0,1.0,5488003.0,226618.0,0.44864,2312.0,64.0,0.63727,38998114.0,78236.0,0.95403,827099.0,336.0,0.9903,6118972.0,1572.0,0.99858,984789828.0,0.0,0.99847
L,L,L,H,namd_ID0000003,1,24,0.15484,702.9,18.43,0.92424,5082.07,1423.78,0.11876,3.83,0.0,1.0,5261385.0,224558.0,0.43012,2248.0,39.0,0.61963,38919878.0,72224.0,0.95212,826763.0,311.0,0.9899,6117400.0,1064.0,0.99832,984789828.0,0.0,0.99847
L,L,L,H,namd_ID0000003,1,18,0.11613,684.47,34.13,0.9,3658.29,1408.08,0.08549,3.83,0.0,1.0,5036827.0,224526.0,0.41176,2209.0,40.0,0.60888,38847654.0,72614.0,0.95035,826452.0,313.0,0.98952,6116336.0,1332.0,0.99815,984789828.0,65668.0,0.99847
L,L,L,H,namd_ID0000003,1,13,0.08387,650.34,126.18,0.85513,2250.21,1632.57,0.05258,3.83,0.01,1.0,4812301.0,262333.0,0.39341,2169.0,1130.0,0.59785,38775040.0,22277756.0,0.94858,826139.0,182406.0,0.98915,6115004.0,115028.0,0.99793,984724160.0,284540.0,0.99841
L,L,L,H,namd_ID0000003,1,8,0.05161,524.16,524.14,0.68921,617.64,617.64,0.01443,3.82,3.82,0.99739,4549968.0,298368.0,0.37196,1039.0,767.0,0.28638,16497284.0,12299698.0,0.40358,643733.0,643030.0,0.77075,5999976.0,5997760.0,0.97916,984439620.0,984317576.0,0.99812
L,L,L,H,namd_ID0000003,1,0,0.0,0.02,0.02,3.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,4251600.0,4251600.0,0.34757,272.0,272.0,0.07497,4197586.0,4197586.0,0.10269,703.0,703.0,0.00084,2216.0,2216.0,0.00036,122044.0,122044.0,0.00012
L,L,L,H,namd_ID0000003,2,146,1.0,761.1,0.58,1.0,39634.49,1441.68,1.0,5.38,0.0,1.0,12253236.0,225341.0,1.0,4228.0,46.0,1.0,52192215.0,77952.0,1.0,928289.0,329.0,1.0,6133684.0,268.0,1.0,986604132.0,0.0,1.0
L,L,L,H,namd_ID0000003,2,141,0.96575,760.52,0.59,0.99924,38192.81,1442.12,0.96363,5.38,0.0,1.0,12027895.0,226294.0,0.98161,4182.0,62.0,0.98912,52114263.0,78722.0,0.99851,927960.0,336.0,0.99965,6133416.0,20.0,0.99996,986604132.0,65536.0,1.0
L,L,L,H,namd_ID0000003,2,136,0.93151,759.93,0.58,0.99846,36750.69,1445.82,0.92724,5.38,0.0,1.0,11801601.0,447351.0,0.96314,4120.0,66.0,0.97446,52035541.0,72739.0,0.997,927624.0,317.0,0.99928,6133396.0,12.0,0.99995,986538596.0,65536.0,0.99993
L,L,L,H,namd_ID0000003,2,131,0.89726,759.35,0.63,0.9977,35304.87,1441.61,0.89076,5.38,0.0,1.0,11354250.0,224868.0,0.92663,4054.0,40.0,0.95885,51962802.0,74008.0,0.9956,927307.0,315.0,0.99894,6133384.0,284.0,0.99995,986473060.0,65536.0,0.99987
L,L,L,H,namd_ID0000003,2,126,0.86301,758.72,0.53,0.99687,33863.26,1441.62,0.85439,5.38,0.0,1.0,11129382.0,227374.0,0.90828,4014.0,70.0,0.94939,51888794.0,83943.0,0.99419,926992.0,354.0,0.9986,6133100.0,40.0,0.9999,986407524.0,131072.0,0.9998
L,L,L,H,namd_ID0000003,2,121,0.82877,758.19,0.83,0.99618,32421.64,1441.39,0.81802,5.38,0.0,1.0,10902008.0,447400.0,0.88972,3944.0,67.0,0.93283,51804851.0,72806.0,0.99258,926638.0,317.0,0.99822,6133060.0,292.0,0.9999,986276452.0,262144.0,0.99967
L,L,L,H,namd_ID0000003,2,116,0.79452,757.36,0.72,0.99509,30980.25,1441.46,0.78165,5.38,0.0,1.0,10454608.0,224226.0,0.85321,3877.0,38.0,0.91698,51732045.0,73121.0,0.99118,926321.0,313.0,0.99788,6132768.0,12.0,0.99985,986014308.0,65536.0,0.9994
L,L,L,H,namd_ID0000003,2,111,0.76027,756.64,0.73,0.99414,29538.79,1441.3,0.74528,5.38,0.0,1.0,10230382.0,225232.0,0.83491,3839.0,49.0,0.90799,51658924.0,79075.0,0.98978,926008.0,335.0,0.99754,6132756.0,272.0,0.99985,985948772.0,65536.0,0.99934
L,L,L,H,namd_ID0000003,2,106,0.72603,755.91,0.91,0.99318,28097.49,1441.94,0.70892,5.38,0.0,1.0,10005150.0,226391.0,0.81653,3790.0,59.0,0.8964,51579849.0,77259.0,0.98827,925673.0,330.0,0.99718,6132484.0,536.0,0.9998,985883236.0,65536.0,0.99927
L,L,L,H,namd_ID0000003,2,101,0.69178,755.0,1.01,0.99199,26655.55,1441.18,0.67253,5.38,0.0,1.0,9778759.0,447363.0,0.79806,3731.0,67.0,0.88245,51502590.0,72898.0,0.98679,925343.0,319.0,0.99683,6131948.0,272.0,0.99972,985817700.0,0.0,0.9992
L,L,L,H,namd_ID0000003,2,96,0.65753,753.99,1.0,0.99066,25214.37,1441.36,0.63617,5.38,0.0,1.0,9331396.0,225248.0,0.76155,3664.0,49.0,0.8666,51429692.0,78789.0,0.98539,925024.0,335.0,0.99648,6131676.0,4.0,0.99967,985817700.0,65536.0,0.9992
L,L,L,H,namd_ID0000003,2,91,0.62329,752.99,1.57,0.98934,23773.01,1440.62,0.59981,5.38,0.0,1.0,9106148.0,234480.0,0.74316,3615.0,321.0,0.85501,51350903.0,6004996.0,0.98388,924689.0,49136.0,0.99612,6131672.0,9184.0,0.99967,985752164.0,12288.0,0.99914
L,L,L,H,namd_ID0000003,2,86,0.58904,751.42,1.37,0.98728,22332.39,1441.41,0.56346,5.38,0.0,1.0,8871668.0,225346.0,0.72403,3294.0,45.0,0.77909,45345907.0,77153.0,0.86883,875553.0,327.0,0.94319,6122488.0,288.0,0.99817,985739876.0,65536.0,0.99912
L,L,L,H,namd_ID0000003,2,81,0.55479,750.05,1.33,0.98548,20890.98,1440.91,0.52709,5.38,0.0,1.0,8646322.0,447348.0,0.70564,3249.0,67.0,0.76845,45268754.0,72741.0,0.86735,875226.0,319.0,0.94284,6122200.0,20.0,0.99813,985674340.0,196608.0,0.99906
