atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,L,L,H,sassena_ID0000005,1,73,1.0,674.83,40.22,1.0,4325.21,320.25,1.0,7.09,0.0,1.0,201736.0,1519.0,1.0,3295.0,194.0,1.0,31243103.0,28899.0,1.0,62848.0,291.0,1.0,1707472.0,516.0,1.0,253691092.0,0.0,1.0
L,L,L,H,sassena_ID0000005,1,68,0.93151,634.61,40.53,0.9404,4004.96,319.99,0.92596,7.09,0.0,1.0,200217.0,2016.0,0.99247,3101.0,288.0,0.94112,31214204.0,28833.0,0.99908,62557.0,361.0,0.99537,1706956.0,268.0,0.9997,253691092.0,0.0,1.0
L,L,L,H,sassena_ID0000005,1,63,0.86301,594.08,40.43,0.88034,3684.97,320.04,0.85197,7.09,0.0,1.0,198201.0,1344.0,0.98248,2813.0,192.0,0.85372,31185371.0,28353.0,0.99815,62196.0,289.0,0.98963,1706688.0,768.0,0.99954,253691092.0,65536.0,1.0
L,L,L,H,sassena_ID0000005,1,58,0.79452,553.65,38.62,0.82043,3364.93,321.79,0.77798,7.09,0.0,1.0,196857.0,1960.0,0.97581,2621.0,280.0,0.79545,31157018.0,28833.0,0.99724,61907.0,361.0,0.98503,1705920.0,252.0,0.99909,253625556.0,0.0,0.99974
L,L,L,H,sassena_ID0000005,1,53,0.72603,515.03,30.49,0.7632,3043.14,328.35,0.70358,7.09,0.0,1.0,194897.0,1263.0,0.9661,2341.0,157.0,0.71047,31128185.0,28667.0,0.99632,61546.0,258.0,0.97928,1705668.0,512.0,0.99894,253625556.0,136.0,0.99974
L,L,L,H,sassena_ID0000005,1,48,0.65753,484.54,41.09,0.71802,2714.79,318.18,0.62767,7.09,0.0,1.0,193634.0,1492.0,0.95984,2184.0,213.0,0.66282,31099518.0,28573.0,0.9954,61288.0,322.0,0.97518,1705156.0,256.0,0.99864,253625420.0,0.0,0.99974
L,L,L,H,sassena_ID0000005,1,43,0.58904,443.45,40.41,0.65713,2396.61,320.22,0.5541,7.09,0.0,1.0,192142.0,1848.0,0.95244,1971.0,264.0,0.59818,31070945.0,28593.0,0.99449,60966.0,325.0,0.97005,1704900.0,1288.0,0.99849,253625420.0,0.0,0.99974
L,L,L,H,sassena_ID0000005,1,38,0.52055,403.04,40.67,0.59725,2076.39,319.83,0.48007,7.09,0.0,1.0,190294.0,1344.0,0.94328,1707.0,192.0,0.51806,31042352.0,28359.0,0.99357,60641.0,289.0,0.96488,1703612.0,256.0,0.99774,253625420.0,65536.0,0.99974
L,L,L,H,sassena_ID0000005,1,33,0.45205,362.37,41.06,0.53698,1756.56,319.44,0.40612,7.09,0.0,1.0,188950.0,2195.0,0.93662,1515.0,290.0,0.45979,31013993.0,29373.0,0.99267,60352.0,363.0,0.96029,1703356.0,1000.0,0.99759,253559884.0,0.0,0.99948
L,L,L,H,sassena_ID0000005,1,28,0.38356,321.31,33.54,0.47613,1437.12,327.0,0.33227,7.09,0.0,1.0,186755.0,1120.0,0.92574,1225.0,160.0,0.37178,30984620.0,28199.0,0.99173,59989.0,265.0,0.95451,1702356.0,504.0,0.997,253559884.0,0.0,0.99948
L,L,L,H,sassena_ID0000005,1,23,0.31507,287.77,42.11,0.42643,1110.12,312.32,0.25666,7.09,0.0,1.0,185635.0,1773.0,0.92019,1065.0,230.0,0.32322,30956421.0,29299.0,0.99082,59724.0,351.0,0.95029,1701852.0,280.0,0.99671,253559884.0,0.0,0.99948
L,L,L,H,sassena_ID0000005,1,18,0.24658,245.66,46.75,0.36403,797.8,313.75,0.18445,7.09,0.0,1.0,183862.0,1894.0,0.9114,835.0,224.0,0.25341,30927122.0,29346.0,0.98989,59373.0,281.0,0.94471,1701572.0,284.0,0.99654,253559884.0,196608.0,0.99948
L,L,L,H,sassena_ID0000005,1,13,0.17808,198.91,62.28,0.29476,484.05,312.44,0.11191,7.09,0.62,1.0,181968.0,17532.0,0.90201,611.0,424.0,0.18543,30897776.0,22164527.0,0.98895,59092.0,44436.0,0.94024,1701288.0,246784.0,0.99638,253363276.0,683968.0,0.99871
L,L,L,H,sassena_ID0000005,1,8,0.10959,136.63,136.62,0.20247,171.61,171.61,0.03968,6.47,6.47,0.91255,164436.0,27713.0,0.8151,187.0,173.0,0.05675,8733249.0,8642654.0,0.27953,14656.0,14456.0,0.2332,1454504.0,1452248.0,0.85185,252679308.0,252622760.0,0.99601
L,L,L,H,sassena_ID0000005,1,0,0.0,0.01,0.01,1.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136723.0,136723.0,0.67773,14.0,14.0,0.00425,90595.0,90595.0,0.0029,200.0,200.0,0.00318,2256.0,2256.0,0.00132,56548.0,56548.0,0.00022
L,L,L,H,sassena_ID0000005,2,86,1.0,763.2,40.29,1.0,4903.57,317.92,1.0,3.55,0.0,1.0,203681.0,1828.0,1.0,3818.0,261.0,1.0,31285524.0,28788.0,1.0,63470.0,319.0,1.0,1707172.0,508.0,1.0,253690264.0,65536.0,1.0
L,L,L,H,sassena_ID0000005,2,81,0.94186,722.91,29.17,0.94721,4585.65,331.35,0.93517,3.55,0.0,1.0,201853.0,1210.0,0.99103,3557.0,161.0,0.93164,31256736.0,28880.0,0.99908,63151.0,261.0,0.99497,1706664.0,8.0,0.9997,253624728.0,0.0,0.99974
L,L,L,H,sassena_ID0000005,2,76,0.88372,693.74,38.66,0.90899,4254.3,315.89,0.86759,3.55,0.0,1.0,200643.0,1685.0,0.98508,3396.0,229.0,0.88947,31227856.0,28713.0,0.99816,62890.0,319.0,0.99086,1706656.0,512.0,0.9997,253624728.0,65536.0,0.99974
