atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,L,L,L,namd_ID0000003,1,151,1.0,752.54,0.48,1.0,40679.95,1441.8,1.0,2.14,0.0,1.0,20092135.0,448462.0,1.0,5286.0,74.0,1.0,47656021.0,77236.0,1.0,890513.0,333.0,1.0,6125580.0,292.0,1.0,985790500.0,132.0,1.0
L,L,L,L,namd_ID0000003,1,146,0.96689,752.06,0.65,0.99936,39238.15,1445.9,0.96456,2.14,0.0,1.0,19643673.0,674476.0,0.97768,5212.0,133.0,0.986,47578785.0,88874.0,0.99838,890180.0,384.0,0.99963,6125288.0,264.0,0.99995,985790368.0,65536.0,1.0
L,L,L,L,namd_ID0000003,1,141,0.93377,751.41,0.68,0.9985,37792.25,1467.25,0.92901,2.14,0.0,1.0,18969197.0,449808.0,0.94411,5079.0,88.0,0.96084,47489911.0,82449.0,0.99651,889796.0,351.0,0.99919,6125024.0,284.0,0.99991,985724832.0,0.0,0.99993
L,L,L,L,namd_ID0000003,1,136,0.90066,750.73,1.08,0.99759,36325.0,1681.01,0.89295,2.14,0.0,1.0,18519389.0,672472.0,0.92172,4991.0,114.0,0.94419,47407462.0,166449.0,0.99478,889445.0,714.0,0.9988,6124740.0,288.0,0.99986,985724832.0,65536.0,0.99993
L,L,L,L,namd_ID0000003,1,130,0.86093,749.65,0.0,0.99616,34643.99,1194.91,0.85162,2.14,0.0,1.0,17846917.0,450282.0,0.88825,4877.0,86.0,0.92263,47241013.0,0.0,0.99129,888731.0,0.0,0.998,6124452.0,0.0,0.99982,985659296.0,0.0,0.99987
L,L,L,L,namd_ID0000003,1,125,0.82781,749.65,0.78,0.99616,33449.08,1441.61,0.82225,2.14,0.0,1.0,17396635.0,672576.0,0.86584,4791.0,117.0,0.90636,47241013.0,77254.0,0.99129,888731.0,342.0,0.998,6124452.0,272.0,0.99982,985659296.0,0.0,0.99987
L,L,L,L,namd_ID0000003,1,120,0.7947,748.87,0.71,0.99512,32007.47,1441.52,0.78681,2.14,0.0,1.0,16724059.0,672664.0,0.83237,4674.0,111.0,0.88422,47163759.0,82082.0,0.98967,888389.0,355.0,0.99761,6124180.0,276.0,0.99977,985659296.0,65536.0,0.99987
L,L,L,L,namd_ID0000003,1,115,0.76159,748.16,0.8,0.99418,30565.95,1441.35,0.75138,2.14,0.0,1.0,16051395.0,450118.0,0.79889,4563.0,89.0,0.86322,47081677.0,84781.0,0.98795,888034.0,361.0,0.99722,6123904.0,12.0,0.99973,985593760.0,65536.0,0.9998
L,L,L,L,namd_ID0000003,1,110,0.72848,747.36,0.92,0.99312,29124.6,1447.9,0.71594,2.14,0.0,1.0,15601277.0,673747.0,0.77649,4474.0,125.0,0.84639,46996896.0,82020.0,0.98617,887673.0,358.0,0.99681,6123892.0,548.0,0.99972,985528224.0,0.0,0.99973
L,L,L,L,namd_ID0000003,1,105,0.69536,746.44,0.88,0.99189,27676.7,1441.93,0.68035,2.14,0.0,1.0,14927530.0,448492.0,0.74295,4349.0,74.0,0.82274,46914876.0,76900.0,0.98445,887315.0,333.0,0.99641,6123344.0,32.0,0.99963,985528224.0,131072.0,0.99973
L,L,L,L,namd_ID0000003,1,100,0.66225,745.56,1.0,0.99072,26234.77,1441.53,0.64491,2.14,0.0,1.0,14479038.0,673732.0,0.72063,4275.0,124.0,0.80874,46837976.0,88557.0,0.98283,886982.0,381.0,0.99603,6123312.0,24.0,0.99963,985397152.0,131072.0,0.9996
L,L,L,L,namd_ID0000003,1,95,0.62914,744.56,1.0,0.9894,24793.24,1441.5,0.60947,2.14,0.0,1.0,13805306.0,450103.0,0.6871,4151.0,90.0,0.78528,46749419.0,77876.0,0.98098,886601.0,338.0,0.99561,6123288.0,260.0,0.99963,985266080.0,0.0,0.99947
L,L,L,L,namd_ID0000003,1,90,0.59603,743.56,1.24,0.98807,23351.74,1441.14,0.57404,2.14,0.0,1.0,13355203.0,672656.0,0.6647,4061.0,111.0,0.76826,46671543.0,81751.0,0.97934,886263.0,355.0,0.99523,6123028.0,280.0,0.99958,985266080.0,0.0,0.99947
L,L,L,L,namd_ID0000003,1,85,0.56291,742.32,1.4,0.98642,21910.6,1457.21,0.53861,2.14,0.0,1.0,12682547.0,448482.0,0.63122,3950.0,75.0,0.74726,46589792.0,77311.0,0.97763,885908.0,335.0,0.99483,6122748.0,280.0,0.99954,985266080.0,65536.0,0.99947
L,L,L,L,namd_ID0000003,1,80,0.5298,740.92,4.71,0.98456,20453.39,3479.66,0.50279,2.14,0.0,1.0,12234065.0,681529.0,0.6089,3875.0,297.0,0.73307,46512481.0,237439.0,0.976,885573.0,1028.0,0.99445,6122468.0,1356.0,0.99949,985200544.0,262144.0,0.9994
