atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
L,L,L,L,sassena_ID0000005,1,134,1.0,751.54,23.6,1.0,8536.71,337.03,1.0,8.65,0.0,1.0,205867.0,756.0,1.0,3650.0,108.0,1.0,54888773.0,28312.0,1.0,70769.0,217.0,1.0,1762044.0,8.0,1.0,254089460.0,131072.0,1.0
L,L,L,L,sassena_ID0000005,1,129,0.96269,727.94,23.29,0.9686,8199.68,337.27,0.96052,8.65,0.0,1.0,205111.0,846.0,0.99633,3542.0,109.0,0.97041,54860461.0,29064.0,0.99948,70552.0,255.0,0.99693,1762036.0,0.0,1.0,253958388.0,0.0,0.99948
L,L,L,L,sassena_ID0000005,1,124,0.92537,704.65,23.08,0.93761,7862.41,337.44,0.92101,8.65,0.0,1.0,204265.0,1265.0,0.99222,3433.0,169.0,0.94055,54831397.0,28495.0,0.99895,70297.0,253.0,0.99333,1762036.0,0.0,1.0,253958388.0,0.0,0.99948
L,L,L,L,sassena_ID0000005,1,119,0.88806,681.57,19.37,0.9069,7524.97,341.16,0.88148,8.65,0.0,1.0,203000.0,756.0,0.98607,3264.0,108.0,0.89425,54802902.0,28240.0,0.99844,70044.0,217.0,0.98976,1762036.0,236.0,1.0,253958388.0,0.0,0.99948
L,L,L,L,sassena_ID0000005,1,114,0.85075,662.2,21.52,0.88112,7183.81,338.71,0.84152,8.65,0.0,1.0,202244.0,608.0,0.9824,3156.0,87.0,0.86466,54774662.0,28212.0,0.99792,69827.0,220.0,0.98669,1761800.0,0.0,0.99986,253958388.0,0.0,0.99948
L,L,L,L,sassena_ID0000005,1,109,0.81343,640.68,22.74,0.85249,6845.1,335.32,0.80184,8.65,0.0,1.0,201636.0,1072.0,0.97945,3069.0,153.0,0.84082,54746450.0,28389.0,0.99741,69607.0,250.0,0.98358,1761800.0,264.0,0.99986,253958388.0,0.0,0.99948
L,L,L,L,sassena_ID0000005,1,104,0.77612,617.94,23.28,0.82223,6509.78,337.22,0.76256,8.65,0.0,1.0,200564.0,868.0,0.97424,2916.0,124.0,0.7989,54718061.0,28409.0,0.99689,69357.0,253.0,0.98005,1761536.0,12.0,0.99971,253958388.0,0.0,0.99948
L,L,L,L,sassena_ID0000005,1,99,0.73881,594.66,23.01,0.79126,6172.56,337.47,0.72306,8.65,0.0,1.0,199696.0,728.0,0.97002,2792.0,104.0,0.76493,54689652.0,28169.0,0.99637,69104.0,217.0,0.97647,1761524.0,4.0,0.9997,253958388.0,65536.0,0.99948
L,L,L,L,sassena_ID0000005,1,94,0.70149,571.65,22.88,0.76064,5835.09,337.6,0.68353,8.65,0.0,1.0,198968.0,1092.0,0.96649,2688.0,156.0,0.73644,54661483.0,28409.0,0.99586,68887.0,253.0,0.97341,1761520.0,756.0,0.9997,253892852.0,0.0,0.99923
L,L,L,L,sassena_ID0000005,1,89,0.66418,548.77,23.6,0.73019,5497.49,336.96,0.64398,8.65,0.0,1.0,197876.0,1103.0,0.96118,2532.0,134.0,0.6937,54633074.0,28942.0,0.99534,68634.0,255.0,0.96983,1760764.0,8.0,0.99927,253892852.0,0.0,0.99923
L,L,L,L,sassena_ID0000005,1,84,0.62687,525.17,23.53,0.69879,5160.53,336.99,0.60451,8.65,0.0,1.0,196773.0,672.0,0.95583,2398.0,96.0,0.65699,54604132.0,28169.0,0.99481,68379.0,217.0,0.96623,1760756.0,264.0,0.99927,253892852.0,65536.0,0.99923
L,L,L,L,sassena_ID0000005,1,79,0.58955,501.64,23.0,0.66748,4823.54,337.55,0.56504,8.65,0.0,1.0,196101.0,1092.0,0.95256,2302.0,156.0,0.63068,54575963.0,28409.0,0.9943,68162.0,253.0,0.96316,1760492.0,720.0,0.99912,253827316.0,136.0,0.99897
L,L,L,L,sassena_ID0000005,1,74,0.55224,478.64,23.18,0.63688,4485.99,337.4,0.52549,8.65,0.0,1.0,195009.0,924.0,0.94726,2146.0,132.0,0.58795,54547554.0,28409.0,0.99378,67909.0,253.0,0.95959,1759772.0,0.0,0.99871,253827180.0,0.0,0.99897
L,L,L,L,sassena_ID0000005,1,69,0.51493,455.46,23.49,0.60604,4148.59,337.15,0.48597,8.65,0.0,1.0,194085.0,756.0,0.94277,2014.0,108.0,0.55178,54519145.0,28169.0,0.99327,67656.0,217.0,0.95601,1759772.0,0.0,0.99871,253827180.0,0.0,0.99897
L,L,L,L,sassena_ID0000005,1,64,0.47761,431.97,23.74,0.57478,3811.44,336.8,0.44648,8.65,0.0,1.0,193329.0,1204.0,0.9391,1906.0,172.0,0.52219,54490976.0,28649.0,0.99275,67439.0,289.0,0.95295,1759772.0,760.0,0.99871,253827180.0,0.0,0.99897
L,L,L,L,sassena_ID0000005,1,59,0.4403,408.23,23.76,0.54319,3474.64,336.67,0.40702,8.65,0.0,1.0,192125.0,728.0,0.93325,1734.0,104.0,0.47507,54462327.0,28169.0,0.99223,67150.0,217.0,0.94886,1759012.0,12.0,0.99828,253827180.0,65684.0,0.99897
L,L,L,L,sassena_ID0000005,1,54,0.40299,384.47,24.11,0.51158,3137.97,336.48,0.36759,8.65,0.0,1.0,191397.0,846.0,0.92971,1630.0,109.0,0.44658,54434158.0,28702.0,0.99172,66933.0,219.0,0.9458,1759000.0,264.0,0.99827,253761496.0,65536.0,0.99871
L,L,L,L,sassena_ID0000005,1,49,0.36567,360.36,23.82,0.4795,2801.49,336.74,0.32817,8.65,0.0,1.0,190551.0,1349.0,0.9256,1521.0,181.0,0.41671,54405456.0,28655.0,0.99119,66714.0,289.0,0.9427,1758736.0,988.0,0.99812,253695960.0,131072.0,0.99845
L,L,L,L,sassena_ID0000005,1,44,0.32836,336.54,21.23,0.4478,2464.75,339.42,0.28872,8.65,0.0,1.0,189202.0,756.0,0.91905,1340.0,108.0,0.36712,54376801.0,28174.0,0.99067,66425.0,217.0,0.93862,1757748.0,64.0,0.99756,253564888.0,0.0,0.99794
L,L,L,L,sassena_ID0000005,1,39,0.29104,315.31,22.06,0.41955,2125.33,337.94,0.24896,8.65,0.0,1.0,188446.0,628.0,0.91538,1232.0,90.0,0.33753,54348627.0,28209.0,0.99016,66208.0,223.0,0.93555,1757684.0,484.0,0.99753,253564888.0,0.0,0.99794
L,L,L,L,sassena_ID0000005,1,34,0.25373,293.25,24.23,0.3902,1787.39,330.77,0.20938,8.65,0.0,1.0,187818.0,1113.0,0.91233,1142.0,147.0,0.31288,54320418.0,28902.0,0.98965,65985.0,249.0,0.9324,1757200.0,80.0,0.99725,253564888.0,0.0,0.99794
L,L,L,L,sassena_ID0000005,1,29,0.21642,269.02,26.52,0.35796,1456.62,333.96,0.17063,8.65,0.0,1.0,186705.0,1189.0,0.90692,995.0,135.0,0.2726,54291516.0,28948.0,0.98912,65736.0,255.0,0.92888,1757120.0,252.0,0.99721,253564888.0,0.0,0.99794
L,L,L,L,sassena_ID0000005,1,24,0.1791,242.5,22.27,0.32267,1122.66,338.21,0.13151,8.65,0.0,1.0,185516.0,651.0,0.90114,860.0,70.0,0.23562,54262568.0,28482.0,0.98859,65481.0,186.0,0.92528,1756868.0,248.0,0.99706,253564888.0,65536.0,0.99794
L,L,L,L,sassena_ID0000005,1,19,0.14179,220.23,32.06,0.29304,784.45,325.37,0.09189,8.65,0.0,1.0,184865.0,1584.0,0.89798,790.0,180.0,0.21644,54234086.0,29691.0,0.98807,65295.0,290.0,0.92265,1756620.0,8.0,0.99692,253499352.0,141312.0,0.99768
L,L,L,L,sassena_ID0000005,1,14,0.10448,188.17,52.23,0.25038,459.08,323.34,0.05378,8.65,0.0,1.0,183281.0,1527.0,0.89029,610.0,150.0,0.16712,54204395.0,29928.0,0.98753,65005.0,259.0,0.91855,1756612.0,1668.0,0.99692,253358040.0,71680.0,0.99712
L,L,L,L,sassena_ID0000005,1,9,0.06716,135.94,135.93,0.18088,135.74,135.74,0.0159,8.65,8.65,1.0,181754.0,45309.0,0.88287,460.0,447.0,0.12603,54174467.0,54084178.0,0.98699,64746.0,64548.0,0.91489,1754944.0,1752692.0,0.99597,253286360.0,253164276.0,0.99684
L,L,L,L,sassena_ID0000005,1,0,0.0,0.01,0.01,1.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136445.0,136445.0,0.66278,13.0,13.0,0.00356,90289.0,90289.0,0.00164,198.0,198.0,0.0028,2252.0,2252.0,0.00128,122084.0,122084.0,0.00048
