atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,H,H,H,namd_ID0000002,1,371,1.0,874.93,1.84,1.0,104262.93,1440.43,1.0,0.76,0.0,1.0,10771648.0,9097.0,1.0,41877.0,162.0,1.0,289104007.0,1751271.0,1.0,3234818.0,14177.0,1.0,6593012.0,356.0,1.0,1003794448.0,132.0,1.0
M,H,H,H,namd_ID0000002,1,366,0.98652,873.09,1.92,0.9979,102822.5,1452.66,0.98618,0.76,0.0,1.0,10762551.0,9212.0,0.99916,41715.0,169.0,0.99613,287352736.0,1911449.0,0.99394,3220641.0,15537.0,0.99562,6592656.0,188.0,0.99995,1003794316.0,65536.0,1.0
M,H,H,H,namd_ID0000002,1,361,0.97305,871.17,1.83,0.9957,101369.84,1440.74,0.97225,0.76,0.0,1.0,10753339.0,9317.0,0.9983,41546.0,172.0,0.9921,285441287.0,2116143.0,0.98733,3205104.0,17226.0,0.99081,6592468.0,376.0,0.99992,1003728780.0,264.0,0.99993
M,H,H,H,namd_ID0000002,1,356,0.95957,869.34,1.89,0.99361,99929.1,1506.19,0.95843,0.76,0.0,1.0,10744022.0,10451.0,0.99744,41374.0,189.0,0.98799,283325144.0,2267071.0,0.98001,3187878.0,18456.0,0.98549,6592092.0,236.0,0.99986,1003728516.0,264.0,0.99993
M,H,H,H,namd_ID0000002,1,351,0.94609,867.45,1.81,0.99145,98422.91,1440.46,0.94399,0.76,0.0,1.0,10733571.0,8949.0,0.99647,41185.0,161.0,0.98348,281058073.0,2010673.0,0.97217,3169422.0,16344.0,0.97978,6591856.0,232.0,0.99982,1003728252.0,65808.0,0.99993
M,H,H,H,namd_ID0000002,1,346,0.93261,865.64,1.89,0.98938,96982.45,1440.47,0.93017,0.76,0.0,1.0,10724622.0,9415.0,0.99563,41024.0,175.0,0.97963,279047400.0,2230508.0,0.96521,3153078.0,18199.0,0.97473,6591624.0,244.0,0.99979,1003662444.0,65536.0,0.99987
M,H,H,H,namd_ID0000002,1,341,0.91914,863.75,1.71,0.98722,95541.98,1440.46,0.91636,0.76,0.0,1.0,10715207.0,462714.0,0.99476,40849.0,213.0,0.97545,276816892.0,1712773.0,0.9575,3134879.0,13834.0,0.96911,6591380.0,404.0,0.99975,1003596908.0,132.0,0.9998
M,H,H,H,namd_ID0000002,1,336,0.90566,862.04,1.88,0.98527,94101.52,1440.61,0.90254,0.76,0.0,1.0,10252493.0,9194.0,0.9518,40636.0,152.0,0.97037,275104119.0,1497806.0,0.95157,3121045.0,12112.0,0.96483,6590976.0,480.0,0.99969,1003596776.0,0.0,0.9998
M,H,H,H,namd_ID0000002,1,331,0.89218,860.16,1.85,0.98312,92660.91,1454.7,0.88872,0.76,0.0,1.0,10243299.0,8385.0,0.95095,40484.0,141.0,0.96674,273606313.0,1592975.0,0.94639,3108933.0,12874.0,0.96108,6590496.0,452.0,0.99962,1003596776.0,65536.0,0.9998
M,H,H,H,namd_ID0000002,1,326,0.87871,858.31,1.86,0.981,91206.21,1440.58,0.87477,0.76,0.0,1.0,10234914.0,8615.0,0.95017,40343.0,150.0,0.96337,272013338.0,1755516.0,0.94088,3096059.0,14252.0,0.9571,6590044.0,176.0,0.99955,1003531240.0,0.0,0.99974
M,H,H,H,namd_ID0000002,1,321,0.86523,856.45,1.81,0.97888,89765.63,1443.22,0.86095,0.76,0.0,1.0,10226299.0,9773.0,0.94937,40193.0,186.0,0.95979,270257822.0,2274746.0,0.93481,3081807.0,18536.0,0.9527,6589868.0,400.0,0.99952,1003531240.0,6276.0,0.99974
